﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,马坊地区_110117005000,116.956516,40.061269,13021084.215678895,4848103.036772057
1,马坊地区_110117005000,116.957101,40.061255,13021149.179604521,4848102.604973609
2,马坊地区_110117005000,116.957687,40.061242,13021214.259270296,4848102.389282793
3,马坊地区_110117005000,116.958272,40.061235,13021279.215218399,4848103.090461697
4,马坊地区_110117005000,116.958858,40.061231,13021344.317733133,4848104.202253427
5,马坊地区_110117005000,116.959444,40.061229,13021409.38705279,4848105.6404864825
6,马坊地区_110117005000,116.960029,40.061231,13021474.333633779,4848107.637450413
7,马坊地区_110117005000,116.960615,40.061241,13021539.428253887,4848110.827024143
8,马坊地区_110117005000,116.961201,40.061254,13021604.49088098,4848114.456614407
9,马坊地区_110117005000,116.961787,40.061266,13021669.551659461,4848117.975109394
10,马坊地区_110117005000,116.962372,40.061286,13021734.551539999,4848122.637549449
11,马坊地区_110117005000,116.962958,40.061308,13021799.610547865,4848127.580492802
12,马坊地区_110117005000,116.963543,40.061331,13021864.548988726,4848132.719513479
13,马坊地区_110117005000,116.964128,40.061353,13021929.547117477,4848137.66434886
14,马坊地区_110117005000,116.964713,40.061383,13021994.515956175,4848143.826555869
15,马坊地区_110117005000,116.965297,40.061417,13022059.365543013,4848150.494900097
16,马坊地区_110117005000,116.96588,40.061452,13022124.126123777,4848157.354159248
17,马坊地区_110117005000,116.958016,40.052262,13021250.275791924,4846802.089576819
18,马坊地区_110117005000,116.957434,40.052309,13021185.648760617,4846807.21887187
19,马坊地区_110117005000,116.956861,40.052225,13021122.00566934,4846793.443641795
20,马坊地区_110117005000,116.969348,40.054638,13022508.888611203,4847180.33106602
21,马坊地区_110117005000,116.968835,40.054428,13022451.883876456,4847148.393427881
22,马坊地区_110117005000,116.968264,40.054327,13022388.462513903,4847132.056468441
23,马坊地区_110117005000,116.967693,40.054227,13022325.013967235,4847115.865673679
24,马坊地区_110117005000,116.967122,40.054126,13022261.597840158,4847099.509376851
25,马坊地区_110117005000,116.96655,40.054026,13022198.033774853,4847083.259768234
26,马坊地区_110117005000,116.965979,40.053926,13022134.621495701,4847067.046737956
27,马坊地区_110117005000,116.965407,40.053829,13022071.120651443,4847051.298253693
28,马坊地区_110117005000,116.964835,40.053732,13022007.560782366,4847035.4661604315
