﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,马昌营镇_110117108000,116.967477,40.116584,13022305.86033299,4856155.566343664
1,马昌营镇_110117108000,116.966972,40.116809,13022249.761240376,4856186.644042985
2,马昌营镇_110117108000,116.966404,40.11692,13022186.676499639,4856200.991155749
3,马昌营镇_110117108000,116.965836,40.117028,13022123.563372023,4856214.977623177
4,马昌营镇_110117108000,116.965267,40.117137,13022060.391362913,4856229.036692984
5,马昌营镇_110117108000,116.964698,40.117245,13021997.190201772,4856242.934451385
6,马昌营镇_110117108000,116.964129,40.117354,13021934.019432433,4856257.027668797
7,马昌营镇_110117108000,116.963561,40.117463,13021870.938774386,4856271.1225020755
8,马昌营镇_110117108000,116.96886,40.101566,13022459.30347887,4853982.016178145
9,马昌营镇_110117108000,116.968349,40.101788,13022402.527329914,4854012.745787328
10,马昌营镇_110117108000,116.967839,40.102009,13022345.903159136,4854043.234415082
11,马昌营镇_110117108000,116.967328,40.102231,13022289.130709069,4854073.908616959
12,马昌营镇_110117108000,116.966818,40.102453,13022232.509771444,4854104.540457833
13,马昌营镇_110117108000,116.966307,40.102674,13022175.79998846,4854135.046554124
14,马昌营镇_110117108000,116.965797,40.102896,13022119.151208866,4854165.667438686
15,马昌营镇_110117108000,116.966893,40.114621,13022241.053366745,4855869.1203959845
16,马昌营镇_110117108000,116.966908,40.115067,13022242.688682115,4855933.857635618
17,马昌营镇_110117108000,116.967075,40.115498,13022261.249061437,4855996.833879692
18,马昌营镇_110117108000,116.967245,40.115928,13022280.078726452,4856059.697839302
19,马昌营镇_110117108000,116.967406,40.116361,13022297.977111427,4856123.01098469
20,马昌营镇_110117108000,116.96813,40.114291,13022378.453478284,4855825.015503477
21,马昌营镇_110117108000,116.967564,40.114408,13022315.545774784,4855840.287870362
22,马昌营镇_110117108000,116.967016,40.114561,13022254.679778937,4855860.830995307
23,马昌营镇_110117108000,116.968744,40.116536,13022446.588847775,4856152.382534571
24,马昌营镇_110117108000,116.968164,40.116585,13022382.149267158,4856157.718537796
25,马昌营镇_110117108000,116.967581,40.116599,13022317.413844086,4856158.042027056
26,马昌营镇_110117108000,116.968524,40.113734,13022422.198168077,4855745.452580047
27,马昌营镇_110117108000,116.968249,40.114132,13022391.693731409,4855802.318014443
28,马昌营镇_110117108000,116.968524,40.113734,13022422.198168077,4855745.452580047
29,马昌营镇_110117108000,116.96909,40.113617,13022485.11010149,4855730.123216668
30,马昌营镇_110117108000,116.969656,40.113501,13022547.965088328,4855715.016297773
31,马昌营镇_110117108000,116.970222,40.113384,13022610.883616092,4855699.661346314
32,马昌营镇_110117108000,116.970798,40.113311,13022674.855500266,4855690.765491403
33,马昌营镇_110117108000,116.968744,40.116536,13022446.588847775,4856152.382534571
34,马昌营镇_110117108000,116.971974,40.100639,13022805.229358384,4853856.675003343
35,马昌营镇_110117108000,116.971446,40.100832,13022746.572550887,4853883.187804406
36,马昌营镇_110117108000,116.970902,40.100999,13022686.147181176,4853905.791197323
37,马昌营镇_110117108000,116.970349,40.101147,13022624.704194183,4853925.681909817
38,马昌营镇_110117108000,116.969795,40.101294,13022563.174766354,4853945.398926618
39,马昌营镇_110117108000,116.969244,40.101448,13022501.94911195,4853966.053684621
40,马昌营镇_110117108000,116.969443,40.117697,13022524.212295802,4856322.791117451
41,马昌营镇_110117108000,116.969152,40.11731,13022491.874908686,4856265.801349303
42,马昌营镇_110117108000,116.969025,40.116871,13022477.788443075,4856201.799026433
43,马昌营镇_110117108000,116.969443,40.117697,13022524.212295802,4856322.791117451
44,马昌营镇_110117108000,116.969439,40.118145,13022523.739415402,4856387.714423387
45,马昌营镇_110117108000,116.969604,40.118577,13022542.086129451,4856450.868767768
46,马昌营镇_110117108000,116.969443,40.117697,13022524.212295802,4856322.791117451
47,马昌营镇_110117108000,116.970011,40.117586,13022587.34184763,4856308.39029431
48,马昌营镇_110117108000,116.970579,40.117475,13022650.445124134,4856293.895793421
49,马昌营镇_110117108000,116.971137,40.11734,13022712.442784967,4856275.978485006
50,马昌营镇_110117108000,116.970262,40.119424,13022615.129668674,4856575.604067038
51,马昌营镇_110117108000,116.969942,40.119047,13022579.610692345,4856519.967540437
52,马昌营镇_110117108000,116.970323,40.119405,13022621.914845826,4856573.00518429
53,马昌营镇_110117108000,116.970323,40.119405,13022621.914845826,4856573.00518429
54,马昌营镇_110117108000,116.970866,40.119236,13022682.262789695,4856550.1023225095
55,马昌营镇_110117108000,116.97141,40.119067,13022742.704592435,4856527.147275266
56,马昌营镇_110117108000,116.971953,40.118898,13022803.090425475,4856504.174904082
57,马昌营镇_110117108000,116.972497,40.118729,13022863.54065259,4856481.226100718
58,马昌营镇_110117108000,116.97304,40.11856,13022923.905455668,4856458.217870722
59,马昌营镇_110117108000,116.973584,40.118391,13022984.395281564,4856435.232317306
60,马昌营镇_110117108000,116.974112,40.118199,13023043.119513603,4856408.807451007
61,马昌营镇_110117108000,116.974508,40.11787,13023087.167934617,4856362.162321134
62,马昌营镇_110117108000,116.971076,40.11333,13022705.77588095,4855694.330634234
63,马昌营镇_110117108000,116.971249,40.113761,13022724.977719976,4855757.334281618
64,马昌营镇_110117108000,116.971435,40.114188,13022745.620120294,4855819.778342785
65,马昌营镇_110117108000,116.971618,40.114615,13022765.961769275,4855882.213834778
66,马昌营镇_110117108000,116.971799,40.115043,13022786.062672123,4855944.799443163
