﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,高丽营镇_110113101000,116.477726,40.161413,12967790.205024432,4862652.917557674
1,高丽营镇_110113101000,116.477764,40.161859,12967794.389674678,4862717.754922881
2,高丽营镇_110113101000,116.477925,40.162291,12967812.113370348,4862780.737456962
3,高丽营镇_110113101000,116.478086,40.162724,12967829.867757784,4862843.919425914
4,高丽营镇_110113101000,116.478247,40.163157,12967847.592872394,4862907.102647132
5,高丽营镇_110113101000,116.478408,40.16359,12967865.348760236,4862970.288471702
6,高丽营镇_110113101000,116.478569,40.164022,12967883.07543424,4863033.318055268
7,高丽营镇_110113101000,116.47873,40.164455,12967900.832883794,4863096.468270033
8,高丽营镇_110113101000,116.478892,40.164888,12967918.681159927,4863159.701130345
9,高丽营镇_110113101000,116.479053,40.165321,12967936.410204334,4863222.854299878
10,高丽营镇_110113101000,116.479214,40.165754,12967954.170080442,4863286.049309779
11,高丽营镇_110113101000,116.479375,40.166186,12967971.930807889,4863349.088626452
12,高丽营镇_110113101000,116.479536,40.166619,12967989.662351986,4863412.286417608
13,高丽营镇_110113101000,116.479697,40.167052,12968007.42476868,4863475.447246381
14,高丽营镇_110113101000,116.479859,40.167485,12968025.278083958,4863538.651223743
15,高丽营镇_110113101000,116.48002,40.167918,12968043.012231803,4863601.814665507
16,高丽营镇_110113101000,116.480181,40.16835,12968060.777277194,4863664.9016950885
17,高丽营镇_110113101000,116.480089,40.161069,12968050.708541052,4862608.10561282
18,高丽营镇_110113101000,116.47951,40.161143,12967986.870847158,4862617.588985673
19,高丽营镇_110113101000,116.478929,40.1612,12967922.821032649,4862624.59858189
20,高丽营镇_110113101000,116.478347,40.161257,12967858.67803548,4862631.61806942
21,高丽营镇_110113101000,116.477789,40.161384,12967797.14010529,4862648.864330957
22,高丽营镇_110113101000,116.478727,40.140205,12967902.057734001,4859578.670993489
23,高丽营镇_110113101000,116.478926,40.140628,12967923.921489704,4859640.502706269
24,高丽营镇_110113101000,116.479125,40.141052,12967945.844944019,4859702.416323877
25,高丽营镇_110113101000,116.479368,40.141459,12967972.602086404,4859761.926872659
26,高丽营镇_110113101000,116.479461,40.136286,12967983.344380584,4859011.930841431
27,高丽营镇_110113101000,116.480046,40.136309,12968047.807222474,4859016.548504638
28,高丽营镇_110113101000,116.480632,40.136332,12968112.38761309,4859021.178441027
29,高丽营镇_110113101000,116.481218,40.136356,12968176.995799301,4859025.935138695
30,高丽营镇_110113101000,116.481804,40.136379,12968241.57231819,4859030.579744055
31,高丽营镇_110113101000,116.482389,40.136402,12968306.057447009,4859035.227377674
32,高丽营镇_110113101000,116.482975,40.136425,12968370.661622657,4859039.881619934
33,高丽营镇_110113101000,116.483555,40.13648,12968434.571581818,4859049.084294175
34,高丽营镇_110113101000,116.482086,40.172913,12968270.862234684,4864331.391788172
35,高丽营镇_110113101000,116.481565,40.173121,12968213.461681481,4864360.416393474
36,高丽营镇_110113101000,116.481026,40.173298,12968154.048743464,4864384.909659097
37,高丽营镇_110113101000,116.480484,40.173471,12968094.334200853,4864408.85076308
38,高丽营镇_110113101000,116.479943,40.173644,12968034.677957892,4864432.800594231
39,高丽营镇_110113101000,116.479401,40.173817,12967974.92964638,4864456.678002154
40,高丽营镇_110113101000,116.479653,40.141687,12968003.97014997,4859795.584995802
41,高丽营镇_110113101000,116.479689,40.142134,12968007.913185338,4859860.505420836
42,高丽营镇_110113101000,116.479942,40.142538,12968035.75026764,4859919.69272979
43,高丽营镇_110113101000,116.480474,40.141633,12968094.489643872,4859789.570335272
44,高丽营镇_110113101000,116.479896,40.141624,12968030.777458899,4859787.008356051
45,高丽营镇_110113101000,116.480089,40.161069,12968050.708541052,4862608.10561282
46,高丽营镇_110113101000,116.480042,40.16062,12968045.536396295,4862542.849836247
47,高丽营镇_110113101000,116.479961,40.160174,12968036.613761617,4862477.939787138
48,高丽营镇_110113101000,116.479879,40.159729,12968027.572012497,4862413.185419219
49,高丽营镇_110113101000,116.479798,40.159283,12968018.68132912,4862348.317589713
50,高丽营镇_110113101000,116.479738,40.158836,12968012.102560492,4862283.347570087
51,高丽营镇_110113101000,116.47971,40.158386,12968009.006309928,4862217.987846247
52,高丽营镇_110113101000,116.492707,40.133054,12969443.673168628,4858571.805167983
53,高丽营镇_110113101000,116.49212,40.133048,12969378.938027048,4858569.813432662
54,高丽营镇_110113101000,116.491535,40.133025,12969314.450119896,4858565.290002699
55,高丽营镇_110113101000,116.490949,40.133002,12969249.846970078,4858560.745601385
56,高丽营镇_110113101000,116.490363,40.132979,12969185.248292172,4858556.223522954
57,高丽营镇_110113101000,116.489777,40.132956,12969120.623767978,4858551.645775508
58,高丽营镇_110113101000,116.489192,40.132934,12969056.152955102,4858547.253862139
59,高丽营镇_110113101000,116.488606,40.132919,12968991.564776098,4858543.829611092
60,高丽营镇_110113101000,116.48802,40.132903,12968926.979754258,4858540.236537314
61,高丽营镇_110113101000,116.487434,40.132874,12968862.398743466,4858534.784774132
62,高丽营镇_110113101000,116.486849,40.132845,12968797.940093389,4858529.287859687
63,高丽营镇_110113101000,116.486263,40.132816,12968733.333309872,4858523.780158705
64,高丽营镇_110113101000,116.485677,40.132788,12968668.757960185,4858518.4246903015
65,高丽营镇_110113101000,116.485093,40.132748,12968604.395045707,4858511.378610757
66,高丽营镇_110113101000,116.484513,40.132681,12968540.485884251,4858500.367893294
67,高丽营镇_110113101000,116.483933,40.132615,12968476.577021362,4858489.47371004
68,高丽营镇_110113101000,116.483353,40.132548,12968412.668256335,4858478.4614728335
69,高丽营镇_110113101000,116.482773,40.132481,12968348.759132769,4858467.45058058
70,高丽营镇_110113101000,116.482193,40.132415,12968284.819158662,4858456.599045321
71,高丽营镇_110113101000,116.481613,40.132348,12968220.908177515,4858445.634380249
72,高丽营镇_110113101000,116.481032,40.13229,12968156.87478712,4858435.93102559
73,高丽营镇_110113101000,116.480451,40.132232,12968092.839526583,4858426.273962649
74,高丽营镇_110113101000,116.479974,40.142574,12968039.287761807,4859924.929077422
75,高丽营镇_110113101000,116.480462,40.142823,12968093.070360806,4859962.1112720845
76,高丽营镇_110113101000,116.480155,40.161108,12968057.969508909,4862613.904440243
77,高丽营镇_110113101000,116.480155,40.161108,12968057.969508909,4862613.904440243
78,高丽营镇_110113101000,116.480213,40.161556,12968064.373260308,4862679.032915573
79,高丽营镇_110113101000,116.480295,40.162002,12968073.389052678,4862743.948447626
80,高丽营镇_110113101000,116.480376,40.162448,12968082.315854302,4862808.823586488
81,高丽营镇_110113101000,116.480458,40.162893,12968091.333762536,4862873.544502921
82,高丽营镇_110113101000,116.480539,40.163339,12968100.2326325,4862938.460459753
83,高丽营镇_110113101000,116.480621,40.163785,12968109.282611957,4863003.381049546
84,高丽营镇_110113101000,116.480702,40.164231,12968118.183615992,4863068.259816987
85,高丽营镇_110113101000,116.480784,40.164676,12968127.235761149,4863133.025138556
86,高丽营镇_110113101000,116.480865,40.165122,12968136.168927168,4863197.9067804245
87,高丽营镇_110113101000,116.480947,40.165568,12968145.22321782,4863262.792349523
88,高丽营镇_110113101000,116.481029,40.166014,12968154.248582589,4863327.757013115
89,高丽营镇_110113101000,116.48111,40.16646,12968163.155017605,4863392.64118203
90,高丽营镇_110113101000,116.481192,40.166905,12968172.212611454,4863457.37253659
91,高丽营镇_110113101000,116.481273,40.167351,12968181.121249853,4863522.298213678
92,高丽营镇_110113101000,116.481355,40.167797,12968190.181044599,4863587.189165419
93,高丽营镇_110113101000,116.481436,40.168243,12968199.0919069,4863652.077614472
94,高丽营镇_110113101000,116.484135,40.160692,12968496.649551522,4862562.345208849
95,高丽营镇_110113101000,116.483553,40.160748,12968432.49162519,4862569.18814084
96,高丽营镇_110113101000,116.482972,40.160805,12968368.453490062,4862576.152880775
97,高丽营镇_110113101000,116.48239,40.160862,12968304.324757498,4862583.117738431
98,高丽营镇_110113101000,116.481808,40.160918,12968240.19511036,4862589.968221761
99,高丽营镇_110113101000,116.481226,40.160975,12968176.034083197,4862596.980519497
100,高丽营镇_110113101000,116.480645,40.161037,12968111.991200108,4862604.671225781
101,高丽营镇_110113101000,116.480384,40.143166,12968084.420507196,4860011.7093551075
102,高丽营镇_110113101000,116.480652,40.143563,12968113.908185707,4860069.8794208225
103,高丽营镇_110113101000,116.481001,40.143924,12968152.372335926,4860122.993042195
104,高丽营镇_110113101000,116.48135,40.144286,12968190.775881164,4860176.265508806
105,高丽营镇_110113101000,116.481699,40.144648,12968229.239067603,4860229.542022737
106,高丽营镇_110113101000,116.48207,40.144994,12968270.074308444,4860280.517137134
107,高丽营镇_110113101000,116.480384,40.143166,12968084.420507196,4860011.7093551075
108,高丽营镇_110113101000,116.480267,40.16858,12968070.260335013,4863698.467593063
109,高丽营镇_110113101000,116.480474,40.141633,12968094.489643872,4859789.570335272
110,高丽营镇_110113101000,116.481043,40.141741,12968157.168540971,4859806.513512371
111,高丽营镇_110113101000,116.481613,40.141849,12968220.025776157,4859823.428312493
112,高丽营镇_110113101000,116.482183,40.141954,12968282.821916534,4859839.914358545
113,高丽营镇_110113101000,116.480472,40.14283,12968094.119962217,4859963.158842748
114,高丽营镇_110113101000,116.481048,40.142767,12968157.657667715,4859955.300360246
115,高丽营镇_110113101000,116.481627,40.14284,12968221.449026626,4859967.163159413
116,高丽营镇_110113101000,116.480299,40.168666,12968073.80154167,4863711.029962379
117,高丽营镇_110113101000,116.480332,40.168753,12968077.402804995,4863723.711906546
118,高丽营镇_110113101000,116.480581,40.169157,12968104.86274299,4863782.897604849
119,高丽营镇_110113101000,116.481012,40.16946,12968152.399043664,4863827.799137089
120,高丽营镇_110113101000,116.492644,40.126338,12969437.27325623,4857597.854501896
121,高丽营镇_110113101000,116.492064,40.126404,12969373.31289479,4857606.260976563
122,高丽营镇_110113101000,116.491478,40.126394,12969308.703804208,4857603.621187722
123,高丽营镇_110113101000,116.490892,40.126374,12969244.100370301,4857599.586618018
124,高丽营镇_110113101000,116.490305,40.126354,12969179.411394672,4857595.4544729395
125,高丽营镇_110113101000,116.489719,40.126333,12969114.816654129,4857591.190842383
126,高丽营镇_110113101000,116.489133,40.12631,12969050.195806464,4857586.637068678
127,高丽营镇_110113101000,116.488547,40.126287,12968985.60837178,4857582.031902487
128,高丽营镇_110113101000,116.487961,40.126265,12968921.02382129,4857577.612038185
129,高丽营镇_110113101000,116.487378,40.126224,12968856.773702193,4857570.397574021
130,高丽营镇_110113101000,116.486795,40.126176,12968792.526428768,4857562.152084352
131,高丽营镇_110113101000,116.486223,40.126078,12968729.48572931,4857546.652052662
132,高丽营镇_110113101000,116.485651,40.125978,12968666.446578294,4857530.910608231
133,高丽营镇_110113101000,116.485079,40.12588,12968603.438323157,4857515.441101666
134,高丽营镇_110113101000,116.484506,40.125783,12968540.280635212,4857500.122570688
135,高丽营镇_110113101000,116.483927,40.125714,12968476.490745256,4857488.838521347
136,高丽营镇_110113101000,116.483346,40.125652,12968412.460216196,4857478.53192443
137,高丽营镇_110113101000,116.482765,40.125593,12968348.399031835,4857468.697935536
138,高丽营镇_110113101000,116.482183,40.125538,12968284.276766011,4857459.415912062
139,高丽营镇_110113101000,116.481601,40.125483,12968220.123375552,4857450.137369464
140,高丽营镇_110113101000,116.48215,40.172786,12968277.911073972,4864313.095349021
141,高丽营镇_110113101000,116.481944,40.172365,12968255.185678981,4864251.528089043
142,高丽营镇_110113101000,116.481816,40.171926,12968241.073161667,4864187.529962193
143,高丽营镇_110113101000,116.481695,40.171485,12968227.71184662,4864123.235927383
144,高丽营镇_110113101000,116.481573,40.171045,12968214.261566821,4864059.098376646
145,高丽营镇_110113101000,116.481451,40.170604,12968200.78230625,4863994.803806622
146,高丽营镇_110113101000,116.481329,40.170164,12968187.36411694,4863930.669322096
147,高丽营镇_110113101000,116.481208,40.169723,12968174.006979205,4863866.419357655
148,高丽营镇_110113101000,116.481155,40.169531,12968168.154185826,4863838.447938321
149,高丽营镇_110113101000,116.481433,40.169136,12968198.791789684,4863781.701545375
150,高丽营镇_110113101000,116.481518,40.168694,12968208.123917505,4863717.757297343
151,高丽营镇_110113101000,116.486838,40.150273,12968795.114290852,4861056.7870746255
152,高丽营镇_110113101000,116.486301,40.150449,12968735.950349603,4861081.151768669
153,高丽营镇_110113101000,116.485716,40.150474,12968671.459928252,4861083.5086637195
154,高丽营镇_110113101000,116.48513,40.15049,12968606.881500134,4861084.521244206
155,高丽营镇_110113101000,116.484544,40.15051,12968542.303513087,4861086.120956913
156,高丽营镇_110113101000,116.483959,40.150536,12968477.815461257,4861088.547473706
157,高丽营镇_110113101000,116.483373,40.150563,12968413.237285245,4861091.207759415
158,高丽营镇_110113101000,116.482788,40.15059,12968348.748841614,4861093.792824489
159,高丽营镇_110113101000,116.482203,40.150616,12968284.289759828,4861096.263321832
160,高丽营镇_110113101000,116.481617,40.150643,12968219.679440182,4861098.891801593
161,高丽营镇_110113101000,116.481468,40.168419,12968202.632560283,4863677.709924503
162,高丽营镇_110113101000,116.481485,40.168508,12968204.522985676,4863690.666779029
163,高丽营镇_110113101000,116.481962,40.142887,12968258.354396794,4859974.730815617
164,高丽营镇_110113101000,116.481664,40.18509,12968225.207702523,4866098.340082354
165,高丽营镇_110113101000,116.481566,40.18553,12968214.441769727,4866162.005466401
166,高丽营镇_110113101000,116.481617,40.185979,12968220.091897273,4866227.323253258
167,高丽营镇_110113101000,116.481675,40.186427,12968226.552860353,4866292.503618551
168,高丽营镇_110113101000,116.481732,40.186874,12968232.864387486,4866357.563044103
169,高丽营镇_110113101000,116.48178,40.187323,12968238.216480836,4866422.876052164
170,高丽营镇_110113101000,116.481812,40.187772,12968241.768727561,4866488.146848554
171,高丽营镇_110113101000,116.481845,40.188221,12968245.471614588,4866553.382573522
172,高丽营镇_110113101000,116.481877,40.188671,12968249.055199668,4866618.813102322
173,高丽营镇_110113101000,116.48191,40.18912,12968252.759293457,4866684.089657507
174,高丽营镇_110113101000,116.481664,40.18509,12968225.207702523,4866098.340082354
175,高丽营镇_110113101000,116.482236,40.184999,12968288.216878865,4866086.414843953
176,高丽营镇_110113101000,116.482823,40.184994,12968352.912573485,4866086.979580397
177,高丽营镇_110113101000,116.483407,40.184959,12968417.274991274,4866083.167291184
178,高丽营镇_110113101000,116.482041,40.142399,12968267.109429142,4859904.131448935
179,高丽营镇_110113101000,116.482204,40.141966,12968285.131237056,4859841.700400765
180,高丽营镇_110113101000,116.483382,40.142767,12968414.887823287,4859960.50074676
181,高丽营镇_110113101000,116.482811,40.142872,12968351.950775389,4859974.45182271
182,高丽营镇_110113101000,116.482232,40.142924,12968288.148524074,4859980.713865996
183,高丽营镇_110113101000,116.482327,40.141964,12968298.695093868,4859841.670636764
184,高丽营镇_110113101000,116.482164,40.142397,12968280.673349299,4859904.101436142
185,高丽营镇_110113101000,116.482207,40.141957,12968285.462297099,4859840.410175002
186,高丽营镇_110113101000,116.481998,40.190337,12968262.571498418,4866861.063977557
187,高丽营镇_110113101000,116.481703,40.190727,12968230.081919342,4866917.049329788
188,高丽营镇_110113101000,116.481852,40.190797,12968246.533434799,4866927.565238803
189,高丽营镇_110113101000,116.482378,40.190596,12968304.488195132,4866899.526345694
190,高丽营镇_110113101000,116.482903,40.190396,12968362.322311664,4866871.60589588
191,高丽营镇_110113101000,116.483429,40.190195,12968420.245979253,4866843.61092423
192,高丽营镇_110113101000,116.48395,40.190001,12968477.660059985,4866816.589518935
193,高丽营镇_110113101000,116.484037,40.190446,12968487.276568443,4866881.419675025
194,高丽营镇_110113101000,116.484123,40.190892,12968496.833651908,4866946.406592767
195,高丽营镇_110113101000,116.484209,40.191337,12968506.361048333,4867011.196459255
196,高丽营镇_110113101000,116.484295,40.191783,12968515.88898897,4867076.144499686
197,高丽营镇_110113101000,116.484382,40.192229,12968525.507389868,4867141.134687403
198,高丽营镇_110113101000,116.484468,40.192674,12968535.036043325,4867205.965722757
199,高丽营镇_110113101000,116.4849,40.192848,12968582.70554326,4867232.162698569
200,高丽营镇_110113101000,116.485483,40.192904,12968646.957244229,4867241.619818378
201,高丽营镇_110113101000,116.486066,40.192959,12968711.20986444,4867250.915503107
202,高丽营镇_110113101000,116.486649,40.193015,12968775.463979114,4867260.324082012
203,高丽营镇_110113101000,116.487159,40.192961,12968831.635665137,4867253.580900282
204,高丽营镇_110113101000,116.487468,40.1926,12968865.689132357,4867201.836757814
205,高丽营镇_110113101000,116.488053,40.192598,12968930.15213304,4867202.801689231
206,高丽营镇_110113101000,116.48864,40.192596,12968994.8579273,4867203.762054505
207,高丽营镇_110113101000,116.489227,40.192593,12969059.566694258,4867204.553200957
208,高丽营镇_110113101000,116.489814,40.192591,12969124.24904514,4867205.527567545
209,高丽营镇_110113101000,116.490402,40.192589,12969189.055291077,4867206.490215856
210,高丽营镇_110113101000,116.490989,40.192586,12969253.77554008,4867207.238009415
211,高丽营镇_110113101000,116.491577,40.192584,12969318.620545201,4867208.128828129
212,高丽营镇_110113101000,116.491576,40.192964,12969318.540268036,4867263.315271077
213,高丽营镇_110113101000,116.491477,40.193408,12969307.6591432,4867327.599164516
214,高丽营镇_110113101000,116.4917,40.193666,12969332.274596881,4867365.526658398
215,高丽营镇_110113101000,116.492284,40.193716,12969396.680748131,4867373.948546605
216,高丽营镇_110113101000,116.492867,40.193766,12969460.972044693,4867382.308528297
217,高丽营镇_110113101000,116.493451,40.193815,12969525.389008366,4867390.571105474
218,高丽营镇_110113101000,116.494035,40.193865,12969589.81201957,4867398.929363852
219,高丽营镇_110113101000,116.494619,40.193914,12969654.241206711,4867407.106299114
220,高丽营镇_110113101000,116.494863,40.193683,12969681.099449152,4867374.008750804
221,高丽营镇_110113101000,116.494843,40.193232,12969678.858981516,4867308.453599201
222,高丽营镇_110113101000,116.494823,40.192782,12969676.588931682,4867243.0559728835
223,高丽营镇_110113101000,116.494803,40.192332,12969674.319248129,4867177.65891607
224,高丽营镇_110113101000,116.494784,40.191882,12969672.170104824,4867112.264870509
225,高丽营镇_110113101000,116.494764,40.191431,12969669.93118528,4867046.751422758
226,高丽营镇_110113101000,116.495275,40.191381,12969726.277688488,4867040.397604849
227,高丽营镇_110113101000,116.495862,40.191387,12969791.047199246,4867042.30225946
228,高丽营镇_110113101000,116.49645,40.191394,12969855.944336941,4867044.299575076
229,高丽营镇_110113101000,116.497037,40.1914,12969920.698809765,4867046.107456661
230,高丽营镇_110113101000,116.497145,40.191033,12969932.591574127,4866993.031858345
231,高丽营镇_110113101000,116.497148,40.190582,12969932.846698554,4866927.530116777
232,高丽营镇_110113101000,116.497588,40.190485,12969981.401248159,4866914.119847897
233,高丽营镇_110113101000,116.498175,40.190506,12970046.202998452,4866918.074775481
234,高丽营镇_110113101000,116.498762,40.190527,12970110.983221209,4866921.996945624
235,高丽营镇_110113101000,116.499346,40.19055,12970175.471781796,4866926.156594322
236,高丽营镇_110113101000,116.499933,40.190569,12970240.299722642,4866929.736114256
237,高丽营镇_110113101000,116.50052,40.190588,12970305.106934367,4866933.279856445
238,高丽营镇_110113101000,116.500874,40.19045,12970344.191450987,4866913.671869161
239,高丽营镇_110113101000,116.500797,40.190004,12970335.665594934,4866848.784903645
240,高丽营镇_110113101000,116.50073,40.189563,12970328.2236736,4866784.702340645
241,高丽营镇_110113101000,116.501313,40.18951,12970392.615753205,4866777.673249073
242,高丽营镇_110113101000,116.501897,40.189456,12970457.107833313,4866770.52966907
243,高丽营镇_110113101000,116.50248,40.189403,12970521.519776717,4866763.465082294
244,高丽营镇_110113101000,116.503063,40.189349,12970585.941885112,4866756.243653858
245,高丽营镇_110113101000,116.503646,40.189296,12970650.374524904,4866749.100932972
246,高丽营镇_110113101000,116.50388,40.189455,12970676.246252306,4866772.380501368
247,高丽营镇_110113101000,116.50372,40.189888,12970658.619376147,4866835.150419673
248,高丽营镇_110113101000,116.503612,40.190331,12970646.743657386,4866899.367805592
249,高丽营镇_110113101000,116.503657,40.190778,12970651.754727265,4866964.345167378
250,高丽营镇_110113101000,116.503857,40.191191,12970673.92022439,4867024.489768355
251,高丽营镇_110113101000,116.504288,40.191494,12970721.604377547,4867068.897697564
252,高丽营镇_110113101000,116.504805,40.191706,12970778.769672884,4867100.07434312
253,高丽营镇_110113101000,116.505293,40.191956,12970832.785694491,4867136.778916125
254,高丽营镇_110113101000,116.505764,40.192225,12970884.884054791,4867176.192367224
255,高丽营镇_110113101000,116.506201,40.192526,12970933.258042503,4867220.151824447
256,高丽营镇_110113101000,116.506632,40.192832,12970980.97636367,4867264.829857132
257,高丽营镇_110113101000,116.507038,40.193157,12971025.93120101,4867312.257756876
258,高丽营镇_110113101000,116.507424,40.193497,12971068.693692505,4867361.853030559
259,高丽营镇_110113101000,116.507901,40.193685,12971121.511257993,4867389.366054716
260,高丽营镇_110113101000,116.508455,40.193536,12971182.801313967,4867367.941728035
261,高丽营镇_110113101000,116.509006,40.19338,12971243.799913507,4867345.45079941
262,高丽营镇_110113101000,116.509554,40.193218,12971304.44676945,4867322.01139629
263,高丽营镇_110113101000,116.510102,40.193056,12971365.13452587,4867298.571285222
264,高丽营镇_110113101000,116.510672,40.192962,12971428.253343528,4867284.948859031
265,高丽营镇_110113101000,116.511253,40.192896,12971492.62376837,4867275.343996139
266,高丽营镇_110113101000,116.511834,40.19283,12971556.97625819,4867265.732323146
267,高丽营镇_110113101000,116.512417,40.192772,12971621.61342725,4867257.177925058
268,高丽营镇_110113101000,116.513,40.192722,12971686.233673913,4867249.79786799
269,高丽营镇_110113101000,116.513584,40.192671,12971750.986981485,4867242.21345428
270,高丽营镇_110113101000,116.514168,40.192621,12971815.722635314,4867234.70014548
271,高丽营镇_110113101000,116.514752,40.192572,12971880.501058726,4867227.297333463
272,高丽营镇_110113101000,116.515336,40.192523,12971945.291936107,4867219.847465181
273,高丽营镇_110113101000,116.515919,40.192472,12972010.004399609,4867212.075085708
274,高丽营镇_110113101000,116.516502,40.192417,12972074.698585501,4867203.66518643
275,高丽营镇_110113101000,116.517085,40.192363,12972139.43539696,4867195.326830283
276,高丽营镇_110113101000,116.517668,40.192308,12972204.154187927,4867186.86347028
277,高丽营镇_110113101000,116.518253,40.192261,12972269.097633868,4867179.455922848
278,高丽营镇_110113101000,116.518837,40.192219,12972333.963097392,4867172.790686263
279,高丽营镇_110113101000,116.519422,40.192176,12972398.991715305,4867165.84248229
280,高丽营镇_110113101000,116.520007,40.192133,12972463.971900383,4867158.928065281
281,高丽营镇_110113101000,116.52059,40.192081,12972528.751190785,4867150.631080278
282,高丽营镇_110113101000,116.521174,40.192028,12972593.663158977,4867142.170686615
283,高丽营镇_110113101000,116.521754,40.191971,12972658.162466016,4867133.040147775
284,高丽营镇_110113101000,116.522337,40.191915,12972723.006281706,4867124.060495624
