﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,麦子店街道_110105012000,116.449879,39.957603,12964707.838052696,4833099.638495157
1,麦子店街道_110105012000,116.449374,39.95738,12964651.659998564,4833067.8169534225
2,麦子店街道_110105012000,116.448988,39.957042,12964608.707753096,4833019.227270503
3,麦子店街道_110105012000,116.448642,39.956681,12964570.164089229,4832967.332145217
4,麦子店街道_110105012000,116.448565,39.956526,12964561.61692934,4832944.971795335
5,麦子店街道_110105012000,116.448965,39.956197,12964606.04399844,4832896.9618236935
6,麦子店街道_110105012000,116.449069,39.956112,12964617.588172864,4832884.606845103
7,麦子店街道_110105012000,116.449293,39.955918,12964642.456979599,4832856.319119891
8,麦子店街道_110105012000,116.449794,39.955692,12964698.133570509,4832823.130372018
9,麦子店街道_110105012000,116.449851,39.955677,12964704.481702618,4832820.940081928
10,麦子店街道_110105012000,116.450435,39.95564,12964769.389607841,4832815.110697245
11,麦子店街道_110105012000,116.449879,39.957603,12964707.838052696,4833099.638495157
12,麦子店街道_110105012000,116.4502,39.957979,12964743.58686828,4833153.763343874
13,麦子店街道_110105012000,116.450692,39.955617,12964797.954154365,4832811.580573214
14,麦子店街道_110105012000,116.450234,39.955337,12964747.015167812,4832771.437868123
15,麦子店街道_110105012000,116.45022,39.957998,12964745.7959908,4833156.501454059
16,麦子店街道_110105012000,116.450713,39.958236,12964800.630497638,4833190.62377211
17,麦子店街道_110105012000,116.451119,39.95856,12964845.794111762,4833237.216197598
18,麦子店街道_110105012000,116.451502,39.958901,12964888.354718491,4833286.31195776
19,麦子店街道_110105012000,116.451043,39.955954,12964836.983503444,4832860.114211556
20,麦子店街道_110105012000,116.450692,39.955617,12964797.954154365,4832811.580573214
21,麦子店街道_110105012000,116.450845,39.955183,12964814.925039804,4832748.66970532
22,麦子店街道_110105012000,116.451149,39.954801,12964848.64541621,4832693.2031393
23,麦子店街道_110105012000,116.451585,39.954501,12964897.028318087,4832649.483926027
24,麦子店街道_110105012000,116.452044,39.954224,12964948.03571772,4832609.160931811
25,麦子店街道_110105012000,116.451043,39.955954,12964836.983503444,4832860.114211556
26,麦子店街道_110105012000,116.451625,39.955998,12964901.693971425,4832866.117200326
27,麦子店街道_110105012000,116.452377,39.957928,12964985.45263736,4833144.996998215
28,麦子店街道_110105012000,116.452001,39.957583,12964943.659126706,4833095.265538237
29,麦子店街道_110105012000,116.451624,39.957239,12964901.709558818,4833045.711167243
30,麦子店街道_110105012000,116.451276,39.956879,12964862.986957986,4832993.810966938
31,麦子店街道_110105012000,116.451084,39.956455,12964841.632645646,4832932.6028334005
32,麦子店街道_110105012000,116.45104,39.956007,12964836.656850867,4832867.809338972
33,麦子店街道_110105012000,116.451801,39.959124,12964921.620295057,4833318.373963192
34,麦子店街道_110105012000,116.452387,39.9564,12964986.371816816,4832923.867200411
35,麦子店街道_110105012000,116.453458,39.955085,12965105.151073841,4832733.112600582
36,麦子店街道_110105012000,116.453042,39.955402,12965059.004765272,4832779.112547257
