﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,黑庄户地区_110105040000,116.564314,39.854114,12977404.57386153,4818103.271368285
1,黑庄户地区_110105040000,116.563729,39.854102,12977339.350790784,4818102.448850681
2,黑庄户地区_110105040000,116.563145,39.854085,12977274.20759742,4818100.920819793
3,黑庄户地区_110105040000,116.564368,39.854317,12977410.61740333,4818132.516696882
4,黑庄户地区_110105040000,116.563784,39.854336,12977345.48861214,4818136.196405297
5,黑庄户地区_110105040000,116.5632,39.854345,12977280.378716417,4818138.426693173
6,黑庄户地区_110105040000,116.564067,39.854626,12977377.077442806,4818177.631651047
7,黑庄户地区_110105040000,116.563483,39.854618,12977311.971362367,4818177.373415806
8,黑庄户地区_110105040000,116.564256,39.853937,12977398.077723237,4818077.794200964
9,黑庄户地区_110105040000,116.563679,39.853865,12977333.757754095,4818068.26379545
10,黑庄户地区_110105040000,116.563101,39.853801,12977269.306907948,4818059.989058675
11,黑庄户地区_110105040000,116.563005,39.850618,12977258.279577361,4817600.250559601
12,黑庄户地区_110105040000,116.563029,39.850168,12977260.905064734,4817535.196638078
13,黑庄户地区_110105040000,116.563062,39.849719,12977264.52994357,4817470.286656985
14,黑庄户地区_110105040000,116.56329,39.849308,12977289.913546545,4817410.50482104
15,黑庄户地区_110105040000,116.563665,39.848963,12977331.692192987,4817360.048111012
16,黑庄户地区_110105040000,116.563154,39.841623,12977273.846748605,4816300.39984017
17,黑庄户地区_110105040000,116.563058,39.841183,12977263.102165334,4816237.013781497
18,黑庄户地区_110105040000,116.563006,39.855214,12977258.838808795,4818264.279260568
19,黑庄户地区_110105040000,116.563502,39.854976,12977314.11896864,4818229.080489878
20,黑庄户地区_110105040000,116.563963,39.8547,12977365.480548523,4818188.50994135
21,黑庄户地区_110105040000,116.563496,39.841701,12977312.002268054,4816311.081996978
22,黑庄户地区_110105040000,116.563301,39.844609,12977290.591520758,4816731.547548698
23,黑庄户地区_110105040000,116.563799,39.844843,12977346.151699997,4816764.594791129
24,黑庄户地区_110105040000,116.563447,39.84607,12977307.075287523,4816942.4193800595
25,黑庄户地区_110105040000,116.563227,39.846484,12977282.605548462,4817002.575978576
26,黑庄户地区_110105040000,116.563187,39.846933,12977278.166677438,4817067.494550193
27,黑庄户地区_110105040000,116.563165,39.847383,12977275.757579353,4817132.583225962
28,黑庄户地区_110105040000,116.563263,39.847822,12977286.739665842,4817195.8535746895
29,黑庄户地区_110105040000,116.563556,39.848211,12977319.439996911,4817251.600705068
30,黑庄户地区_110105040000,116.563939,39.848551,12977362.190340843,4817300.102880266
31,黑庄户地区_110105040000,116.563447,39.84607,12977307.075287523,4816942.4193800595
32,黑庄户地区_110105040000,116.563728,39.845676,12977338.33162099,4816885.045595814
33,黑庄户地区_110105040000,116.564111,39.845337,12977380.981206322,4816835.461224088
34,黑庄户地区_110105040000,116.563614,39.841711,12977325.15251114,4816312.367384831
35,黑庄户地区_110105040000,116.563496,39.841701,12977312.002268054,4816311.081996978
36,黑庄户地区_110105040000,116.563524,39.842151,12977315.172117589,4816376.0573122045
37,黑庄户地区_110105040000,116.563614,39.841711,12977325.15251114,4816312.367384831
38,黑庄户地区_110105040000,116.563614,39.841711,12977325.15251114,4816312.367384831
39,黑庄户地区_110105040000,116.564161,39.844972,12977386.547083607,4816782.644357578
40,黑庄户地区_110105040000,116.563947,39.844553,12977362.631763019,4816722.460178717
41,黑庄户地区_110105040000,116.564913,39.852124,12977471.137244346,4817814.841335904
42,黑庄户地区_110105040000,116.564336,39.85205,12977406.82861147,4817805.030396624
43,黑庄户地区_110105040000,116.563763,39.851961,12977342.932271928,4817793.059428676
44,黑庄户地区_110105040000,116.563731,39.841713,12977338.180219606,4816312.441043779
45,黑庄户地区_110105040000,116.564249,39.853898,12977397.287078999,4818072.159805538
46,黑庄户地区_110105040000,116.563818,39.853594,12977349.217528287,4818028.880975788
47,黑庄户地区_110105040000,116.563965,39.841704,12977364.293586472,4816310.789770731
48,黑庄户地区_110105040000,116.564081,39.8417,12977377.22848461,4816310.007210772
49,黑庄户地区_110105040000,116.564028,39.848626,12977372.103687238,4817310.760960007
50,黑庄户地区_110105040000,116.564028,39.848626,12977372.103687238,4817310.760960007
51,黑庄户地区_110105040000,116.564122,39.848182,12977382.572209347,4817246.479016339
52,黑庄户地区_110105040000,116.564081,39.8417,12977377.22848461,4816310.007210772
53,黑庄户地区_110105040000,116.564077,39.848675,12977377.591532217,4817317.788831398
54,黑庄户地区_110105040000,116.564356,39.854428,12977409.262826338,4818148.6014006585
55,黑庄户地区_110105040000,116.564161,39.844972,12977386.547083607,4816782.644357578
56,黑庄户地区_110105040000,116.564198,39.841696,12977390.25389605,4816309.303555858
57,黑庄户地区_110105040000,116.565475,39.842033,12977532.637489622,4816356.115178394
58,黑庄户地区_110105040000,116.564988,39.841788,12977478.313106839,4816321.387782489
59,黑庄户地区_110105040000,116.564423,39.841687,12977415.333905224,4816307.598871239
60,黑庄户地区_110105040000,116.564249,39.853898,12977397.287078999,4818072.159805538
61,黑庄户地区_110105040000,116.564927,39.852249,12977472.692466816,4817832.891760275
62,黑庄户地区_110105040000,116.564765,39.852682,12977454.67810487,4817895.682487703
63,黑庄户地区_110105040000,116.564602,39.853114,12977436.571254922,4817958.35994651
64,黑庄户地区_110105040000,116.564412,39.85354,12977415.433312593,4818020.174385893
65,黑庄户地区_110105040000,116.564314,39.854114,12977404.57386153,4818103.271368285
66,黑庄户地区_110105040000,116.564365,39.845163,12977409.316066558,4816809.927406115
67,黑庄户地区_110105040000,116.564932,39.845269,12977472.508327883,4816824.376780213
68,黑庄户地区_110105040000,116.564384,39.85425,12977412.399400093,4818122.81540665
69,黑庄户地区_110105040000,116.565475,39.842033,12977532.637489622,4816356.115178394
70,黑庄户地区_110105040000,116.565073,39.84236,12977487.884965062,4816403.894283142
71,黑庄户地区_110105040000,116.564566,39.842574,12977431.393243873,4816435.5632592235
72,黑庄户地区_110105040000,116.564356,39.854428,12977409.262826338,4818148.6014006585
73,黑庄户地区_110105040000,116.564718,39.854781,12977449.664964342,4818199.048831552
74,黑庄户地区_110105040000,116.56514,39.855092,12977496.721845487,4818243.4043117985
75,黑庄户地区_110105040000,116.565631,39.855335,12977551.458693681,4818277.786711138
76,黑庄户地区_110105040000,116.566187,39.855468,12977613.415251562,4818296.29532162
77,黑庄户地区_110105040000,116.566768,39.855453,12977678.16591026,4818293.3793684635
78,黑庄户地区_110105040000,116.564368,39.854317,12977410.61740333,4818132.516696882
79,黑庄户地区_110105040000,116.564384,39.85425,12977412.399400093,4818122.81540665
80,黑庄户地区_110105040000,116.564384,39.85425,12977412.399400093,4818122.81540665
81,黑庄户地区_110105040000,116.564956,39.854157,12977476.118246337,4818108.532900448
82,黑庄户地区_110105040000,116.565528,39.854063,12977539.85672865,4818094.133244393
83,黑庄户地区_110105040000,116.564663,39.84892,12977442.921668123,4817352.300014783
84,黑庄户地区_110105040000,116.564504,39.848731,12977425.184561346,4817325.225235251
85,黑庄户地区_110105040000,116.565148,39.845329,12977496.591007443,4816832.735580492
86,黑庄户地区_110105040000,116.564946,39.845751,12977474.103122769,4816894.040309949
87,黑庄户地区_110105040000,116.564696,39.846158,12977446.311636897,4816953.176152954
88,黑庄户地区_110105040000,116.564663,39.84892,12977442.921668123,4817352.300014783
89,黑庄户地区_110105040000,116.565247,39.848926,12977508.03615378,4817352.327122188
90,黑庄户地区_110105040000,116.565729,39.850554,12977561.936705612,4817586.876596329
91,黑庄户地区_110105040000,116.565413,39.850176,12977526.656086035,4817532.6862366935
92,黑庄户地区_110105040000,116.565175,39.849765,12977500.120738221,4817473.632257974
93,黑庄户地区_110105040000,116.564938,39.849353,12977473.643506862,4817414.427914216
94,黑庄户地区_110105040000,116.564681,39.848948,12977444.953644665,4817356.313741245
95,黑庄户地区_110105040000,116.564786,39.848512,12977456.632858222,4817293.162049196
96,黑庄户地区_110105040000,116.565365,39.848571,12977521.144539164,4817300.885872992
97,黑庄户地区_110105040000,116.565049,39.84825,12977485.893783499,4817254.940164247
98,黑庄户地区_110105040000,116.564927,39.852249,12977472.692466816,4817832.891760275
99,黑庄户地区_110105040000,116.565726,39.850615,12977561.609201128,4817595.737314085
100,黑庄户地区_110105040000,116.565411,39.850994,12977526.54860989,4817650.890415675
101,黑庄户地区_110105040000,116.565181,39.851407,12977500.935900936,4817710.891826293
102,黑庄户地区_110105040000,116.565031,39.851843,12977484.256998252,4817774.093866228
103,黑庄户地区_110105040000,116.564927,39.852249,12977472.692466816,4817832.891760275
104,黑庄户地区_110105040000,116.565446,39.852456,12977530.58175017,4817862.0546371685
105,黑庄户地区_110105040000,116.565049,39.84825,12977485.893783499,4817254.940164247
106,黑庄户地区_110105040000,116.565633,39.848266,12977550.971651208,4817256.406169799
107,黑庄户地区_110105040000,116.565163,39.848021,12977498.560411189,4817221.685859485
108,黑庄户地区_110105040000,116.565148,39.845329,12977496.591007443,4816832.735580492
109,黑庄户地区_110105040000,116.565168,39.84533,12977498.832121646,4816832.868145218
110,黑庄户地区_110105040000,116.565905,39.845017,12977580.919772388,4816786.633479018
111,黑庄户地区_110105040000,116.565392,39.845234,12977523.775012275,4816818.689500957
112,黑庄户地区_110105040000,116.565163,39.848021,12977498.560411189,4817221.685859485
113,黑庄户地区_110105040000,116.565245,39.847575,12977507.661845842,4817157.118182728
114,黑庄户地区_110105040000,116.565263,39.847497,12977509.652738646,4817145.809791476
115,黑庄户地区_110105040000,116.56613,39.845984,12977606.089119824,4816926.06139753
116,黑庄户地区_110105040000,116.565654,39.845723,12977553.016415797,4816889.007211618
117,黑庄户地区_110105040000,116.565327,39.845552,12977516.570789369,4816864.697168334
118,黑庄户地区_110105040000,116.565491,39.845985,12977534.905754479,4816927.091994118
119,黑庄户地区_110105040000,116.565657,39.846416,12977553.420849118,4816989.096611404
120,黑庄户地区_110105040000,116.565698,39.846862,12977558.06869486,4817053.5184067385
121,黑庄户地区_110105040000,116.566233,39.842135,12977617.123032773,4816369.846679052
122,黑庄户地区_110105040000,116.565664,39.84204,12977553.68293679,4816356.87724719
123,黑庄户地区_110105040000,116.56627,39.850953,12977622.252777657,4817643.85481832
124,黑庄户地区_110105040000,116.565819,39.850667,12977571.96906373,4817603.078987166
125,黑庄户地区_110105040000,116.565729,39.850554,12977561.936705612,4817586.876596329
126,黑庄户地区_110105040000,116.565729,39.850554,12977561.936705612,4817586.876596329
127,黑庄户地区_110105040000,116.565905,39.845017,12977580.919772388,4816786.633479018
128,黑庄户地区_110105040000,116.566488,39.845045,12977645.891775511,4816789.926205067
129,黑庄户地区_110105040000,116.565905,39.845017,12977580.919772388,4816786.633479018
130,黑庄户地区_110105040000,116.565991,39.844572,12977590.440315489,4816722.266694802
131,黑庄户地区_110105040000,116.566078,39.844126,12977600.081239784,4816657.703976484
132,黑庄户地区_110105040000,116.565861,39.854002,12977576.943792451,4818084.897337083
133,黑庄户地区_110105040000,116.566365,39.85423,12977633.122107347,4818117.193682174
134,黑庄户地区_110105040000,116.566876,39.854449,12977690.108280195,4818148.18240769
135,黑庄户地区_110105040000,116.567387,39.854667,12977747.055130333,4818179.126479107
136,黑庄户地区_110105040000,116.565861,39.854002,12977576.943792451,4818084.897337083
137,黑庄户地区_110105040000,116.566317,39.853722,12977627.754313428,4818043.837243283
138,黑庄户地区_110105040000,116.565941,39.850427,12977585.511525268,4817568.258716552
139,黑庄户地区_110105040000,116.566072,39.849988,12977600.064297177,4817504.663606247
140,黑庄户地区_110105040000,116.565941,39.850427,12977585.511525268,4817568.258716552
141,黑庄户地区_110105040000,116.566423,39.850172,12977639.195375726,4817530.821516817
142,黑庄户地区_110105040000,116.566121,39.84369,12977604.818127153,4816594.640094431
143,黑庄户地区_110105040000,116.566011,39.843252,12977592.509388769,4816531.508008328
144,黑庄户地区_110105040000,116.566162,39.84282,12977609.295877945,4816468.914820447
145,黑庄户地区_110105040000,116.566233,39.842135,12977617.123032773,4816369.846679052
146,黑庄户地区_110105040000,116.566233,39.842135,12977617.123032773,4816369.846679052
