﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,鼓楼街道_110118001000,116.817315,40.349887,13005601.737469206,4889993.223420063
1,鼓楼街道_110118001000,116.816785,40.349693,13005542.91403804,4889964.889452908
2,鼓楼街道_110118001000,116.816222,40.349563,13005480.368460288,4889945.938009256
3,鼓楼街道_110118001000,116.815655,40.349442,13005417.418818228,4889928.253194906
4,鼓楼街道_110118001000,116.815086,40.349327,13005354.245992657,4889911.599421662
5,鼓楼街道_110118001000,116.814518,40.349211,13005291.151784547,4889894.793335636
6,鼓楼街道_110118001000,116.814971,40.348106,13005341.446039421,4889733.842553885
7,鼓楼街道_110118001000,116.815554,40.348048,13005406.190796452,4889725.386742087
8,鼓楼街道_110118001000,116.816139,40.348,13005471.13434891,4889718.399641064
9,鼓楼街道_110118001000,116.816724,40.347952,13005536.09555409,4889711.459963352
10,鼓楼街道_110118001000,116.817309,40.347905,13005601.01412344,4889704.725213416
11,鼓楼街道_110118001000,116.817893,40.347857,13005665.829810353,4889697.918492526
12,鼓楼街道_110118001000,116.818478,40.347808,13005730.753801322,4889690.92211188
13,鼓楼街道_110118001000,116.819063,40.34776,13005795.635396903,4889684.169229774
14,鼓楼街道_110118001000,116.819647,40.347711,13005860.414413668,4889677.303746811
15,鼓楼街道_110118001000,116.820232,40.347661,13005925.301959738,4889670.366180739
16,鼓楼街道_110118001000,116.820817,40.34761,13005990.147434812,4889663.3155827625
17,鼓楼街道_110118001000,116.821401,40.34756,13006054.890751706,4889656.46661602
18,鼓楼街道_110118001000,116.821985,40.347509,13006119.622442164,4889649.503681903
19,鼓楼街道_110118001000,116.82257,40.347457,13006184.4329988,4889642.427157044
20,鼓楼街道_110118001000,116.823154,40.347405,13006249.11178366,4889635.3921365775
21,鼓楼街道_110118001000,116.823739,40.347356,13006313.92999268,4889628.874590473
22,鼓楼街道_110118001000,116.824324,40.347311,13006378.70714913,4889622.950807418
23,鼓楼街道_110118001000,116.82491,40.347265,13006443.62398245,4889616.91187258
24,鼓楼街道_110118001000,116.825494,40.347212,13006508.289415602,4889609.923031382
25,鼓楼街道_110118001000,116.826079,40.347195,13006573.035107879,4889608.184785509
26,鼓楼街道_110118001000,116.818674,40.350904,13005752.514059247,4890141.651155445
27,鼓楼街道_110118001000,116.819004,40.351276,13005789.140186597,4890195.910995757
28,鼓楼街道_110118001000,116.819336,40.351649,13005825.972643435,4890250.344737644
29,鼓楼街道_110118001000,116.819667,40.352021,13005862.679861287,4890304.673906697
30,鼓楼街道_110118001000,116.819998,40.352393,13005899.382445974,4890358.978132294
31,鼓楼街道_110118001000,116.820342,40.352758,13005937.527029397,4890412.321490208
32,鼓楼街道_110118001000,116.820688,40.353122,13005975.877699645,4890465.484774535
33,鼓楼街道_110118001000,116.821032,40.353487,13006014.012562273,4890518.859163784
34,鼓楼街道_110118001000,116.821453,40.353794,13006060.66950156,4890563.880476566
35,鼓楼街道_110118001000,116.821947,40.354038,13006115.42404482,4890599.767519524
36,鼓楼街道_110118001000,116.822442,40.354282,13006170.290514305,4890635.686849152
37,鼓楼街道_110118001000,116.822936,40.354526,13006224.997959089,4890671.635337731
38,鼓楼街道_110118001000,116.823431,40.354771,13006279.847575935,4890707.773685866
39,鼓楼街道_110118001000,116.823926,40.355015,13006334.628757294,4890743.822902895
40,鼓楼街道_110118001000,116.824425,40.355253,13006389.913700487,4890779.000235833
41,鼓楼街道_110118001000,116.824929,40.355485,13006445.73241769,4890813.345917516
42,鼓楼街道_110118001000,116.823815,40.352054,13006322.396007402,4890312.734037698
43,鼓楼街道_110118001000,116.824233,40.351738,13006368.697113397,4890267.154256267
44,鼓楼街道_110118001000,116.826387,40.3517,13006607.193642687,4890264.255840128
45,鼓楼街道_110118001000,116.825842,40.351869,13006546.812790947,4890288.138598024
46,鼓楼街道_110118001000,116.825259,40.351872,13006482.303445218,4890287.843256119
47,鼓楼街道_110118001000,116.824684,40.351774,13006418.658232572,4890272.915163999
48,鼓楼街道_110118001000,116.825018,40.35046,13006455.630929578,4890082.080514682
49,鼓楼街道_110118001000,116.825602,40.35049,13006520.264553338,4890087.176839093
50,鼓楼街道_110118001000,116.825931,40.355797,13006556.659633748,4890860.012530683
51,鼓楼街道_110118001000,116.825931,40.355797,13006556.659633748,4890860.012530683
52,鼓楼街道_110118001000,116.826519,40.355798,13006621.6986536,4890860.912756126
53,鼓楼街道_110118001000,116.827107,40.355798,13006686.787809907,4890861.733524093
54,鼓楼街道_110118001000,116.827693,40.355774,13006751.627507867,4890859.114237603
55,鼓楼街道_110118001000,116.826111,40.350453,13006576.61559052,4890082.404348705
56,鼓楼街道_110118001000,116.826114,40.350457,13006576.94647378,4890083.001157932
57,鼓楼街道_110118001000,116.826293,40.350884,13006596.766687663,4890145.37509994
58,鼓楼街道_110118001000,116.826369,40.35133,13006605.153763954,4890210.387582034
59,鼓楼街道_110118001000,116.826163,40.349648,13006582.367113369,4889965.336551475
60,鼓楼街道_110118001000,116.826163,40.349648,13006582.367113369,4889965.336551475
61,鼓楼街道_110118001000,116.82643,40.347958,13006611.877336498,4889719.701101449
62,鼓楼街道_110118001000,116.826327,40.348401,13006600.478126751,4889784.030815323
63,鼓楼街道_110118001000,116.826273,40.348849,13006594.522430496,4889849.15089124
64,鼓楼街道_110118001000,116.826241,40.349298,13006590.972109925,4889914.503337174
65,鼓楼街道_110118001000,116.826387,40.3517,13006607.193642687,4890264.255840128
66,鼓楼街道_110118001000,116.826396,40.351708,13006608.156116594,4890265.454036998
67,鼓楼街道_110118001000,116.82643,40.347958,13006611.877336498,4889719.701101449
68,鼓楼街道_110118001000,116.826586,40.347755,13006629.142420763,4889690.391373667
69,鼓楼街道_110118001000,116.826829,40.352051,13006656.097255103,4890315.977675388
70,鼓楼街道_110118001000,116.826889,40.352131,13006662.712886915,4890327.681908709
71,鼓楼街道_110118001000,116.826829,40.352051,13006656.097255103,4890315.977675388
72,鼓楼街道_110118001000,116.827388,40.351911,13006717.965849254,4890296.400864856
73,鼓楼街道_110118001000,116.827069,40.352628,13006682.64378789,4890400.295614935
74,鼓楼街道_110118001000,116.826927,40.352193,13006666.922544442,4890336.7844472155
75,鼓楼街道_110118001000,116.826889,40.352131,13006662.712886915,4890327.681908709
76,鼓楼街道_110118001000,116.827448,40.351991,13006724.58059686,4890308.108691487
77,鼓楼街道_110118001000,116.827353,40.352971,13006714.06448805,4890450.632050647
78,鼓楼街道_110118001000,116.82735,40.353024,13006713.732418457,4890458.323711105
79,鼓楼街道_110118001000,116.827502,40.353459,13006730.532538034,4890521.897657765
80,鼓楼街道_110118001000,116.82735,40.353024,13006713.732418457,4890458.323711105
81,鼓楼街道_110118001000,116.829164,40.352568,13006914.411775634,4890394.753271376
82,鼓楼街道_110118001000,116.828618,40.352727,13006854.012409462,4890417.014694402
83,鼓楼街道_110118001000,116.828037,40.352797,13006789.728183208,4890426.29658132
84,鼓楼街道_110118001000,116.827479,40.352938,13006727.989304123,4890445.994675549
85,鼓楼街道_110118001000,116.827934,40.354734,13006778.30769505,4890708.091846583
86,鼓楼街道_110118001000,116.827739,40.354309,13006756.760965325,4890645.935278526
87,鼓楼街道_110118001000,116.827549,40.353883,13006735.72344324,4890583.672264014
88,鼓楼街道_110118001000,116.827541,40.353561,13006734.860291963,4890536.806759151
89,鼓楼街道_110118001000,116.828048,40.355698,13006790.932070293,4890848.575124228
90,鼓楼街道_110118001000,116.828061,40.35525,13006792.362080293,4890783.392631148
91,鼓楼街道_110118001000,116.827939,40.35481,13006778.8764638,4890719.152838457
92,鼓楼街道_110118001000,116.828714,40.356124,13006864.577621698,4890911.603818531
93,鼓楼街道_110118001000,116.828259,40.355838,13006814.22929409,4890869.282818715
94,鼓楼街道_110118001000,116.828276,40.351709,13006816.179178705,4890268.331306294
95,鼓楼街道_110118001000,116.828822,40.351877,13006876.577158706,4890293.653163152
96,鼓楼街道_110118001000,116.829335,40.352097,13006933.329022419,4890326.480213738
97,鼓楼街道_110118001000,116.828276,40.351709,13006816.179178705,4890268.331306294
98,鼓楼街道_110118001000,116.828236,40.351263,13006811.76605906,4890203.328993763
99,鼓楼街道_110118001000,116.828261,40.350814,13006814.537905362,4890138.0498339515
100,鼓楼街道_110118001000,116.828285,40.350364,13006817.158255426,4890072.570826158
101,鼓楼街道_110118001000,116.828305,40.349915,13006819.386548767,4890007.2432394875
102,鼓楼街道_110118001000,116.828325,40.349465,13006821.613672096,4889941.797194053
103,鼓楼街道_110118001000,116.828344,40.349015,13006823.68928431,4889876.309151326
104,鼓楼街道_110118001000,116.828367,40.348565,13006826.244781217,4889810.868472958
105,鼓楼街道_110118001000,116.82839,40.348116,13006828.769032914,4889745.545678101
106,鼓楼街道_110118001000,116.828714,40.356124,13006864.577621698,4890911.603818531
107,鼓楼街道_110118001000,116.828714,40.356124,13006864.577621698,4890911.603818531
108,鼓楼街道_110118001000,116.829255,40.35595,13006924.40805304,4890887.167036364
109,鼓楼街道_110118001000,116.82984,40.355922,13006989.124251092,4890884.04152668
110,鼓楼街道_110118001000,116.830426,40.355961,13007053.919435956,4890890.738481773
111,鼓楼街道_110118001000,116.828717,40.356274,13006864.902121313,4890933.436603
112,鼓楼街道_110118001000,116.828884,40.356706,13006883.342449801,4890996.585923679
113,鼓楼街道_110118001000,116.830529,40.361231,13007065.116522543,4891657.939579762
114,鼓楼街道_110118001000,116.83025,40.360837,13007034.248437349,4891600.142416273
115,鼓楼街道_110118001000,116.830126,40.360397,13007020.5719361,4891535.873016554
116,鼓楼街道_110118001000,116.830022,40.359954,13007009.118385551,4891471.210843082
117,鼓楼街道_110118001000,116.829901,40.359513,13006995.739940142,4891406.831029842
118,鼓楼街道_110118001000,116.829796,40.35907,13006984.133631736,4891342.168358011
119,鼓楼街道_110118001000,116.829684,40.358628,13006971.774588784,4891277.651300661
120,鼓楼街道_110118001000,116.829523,40.358195,13006953.973264815,4891214.381789275
121,鼓楼街道_110118001000,116.829345,40.357766,13006934.30646114,4891151.634885618
122,鼓楼街道_110118001000,116.829155,40.35734,13006913.315075438,4891089.341861378
123,鼓楼街道_110118001000,116.828968,40.356913,13006892.652560912,4891026.860615975
124,鼓楼街道_110118001000,116.829461,40.352199,13006947.27451809,4890341.564569053
125,鼓楼街道_110118001000,116.829461,40.352199,13006947.27451809,4890341.564569053
126,鼓楼街道_110118001000,116.830675,40.35004,13007081.496539975,4890029.397845779
127,鼓楼街道_110118001000,116.830322,40.350397,13007042.486533504,4890080.743552219
128,鼓楼街道_110118001000,116.830116,40.350818,13007019.701650342,4890141.668307114
129,鼓楼街道_110118001000,116.829916,40.351241,13006997.575912734,4890202.8850237215
130,鼓楼街道_110118001000,116.829712,40.351663,13006975.027384678,4890263.940059068
131,鼓楼街道_110118001000,116.829474,40.352075,13006948.6896133,4890323.551089204
132,鼓楼街道_110118001000,116.829461,40.352199,13006947.27451809,4890341.564569053
