﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,龙山街道_110116002000,116.61169,40.306198,12982663.3967393,4883688.3554586135
1,龙山街道_110116002000,116.612102,40.30652,12982709.058226641,4883736.239807314
2,龙山街道_110116002000,116.612512,40.306842,12982754.512461388,4883784.149849301
3,龙山街道_110116002000,116.612923,40.307164,12982800.089762667,4883832.013466699
4,龙山街道_110116002000,116.613335,40.307485,12982845.790190246,4883879.7117403485
5,龙山街道_110116002000,116.613747,40.307806,12982891.463850083,4883927.438246626
6,龙山街道_110116002000,116.61416,40.308127,12982937.291015932,4883975.156848364
7,龙山街道_110116002000,116.614572,40.308448,12982983.001495339,4884022.82195767
8,龙山街道_110116002000,116.614984,40.308769,12983028.71559347,4884070.55404001
9,龙山街道_110116002000,116.615396,40.30909,12983074.403275972,4884118.194217323
10,龙山街道_110116002000,116.615809,40.309411,12983120.244937962,4884165.82455337
11,龙山街道_110116002000,116.616221,40.309732,12983165.97038076,4884213.518158525
12,龙山街道_110116002000,116.616633,40.310053,12983211.669709466,4884261.118600364
13,龙山街道_110116002000,116.617046,40.310374,12983257.523386247,4884308.747258394
14,龙山街道_110116002000,116.617458,40.310695,12983303.291113103,4884356.359683217
15,龙山街道_110116002000,116.61787,40.311016,12983349.003016448,4884403.956105774
16,龙山街道_110116002000,116.618282,40.311337,12983394.749343542,4884451.537794256
17,龙山街道_110116002000,116.618662,40.31168,12983436.95539249,4884502.238484475
18,龙山街道_110116002000,116.613509,40.305334,12982864.850908138,4883567.226114468
19,龙山街道_110116002000,116.613019,40.305089,12982810.54021385,4883530.35795986
20,龙山街道_110116002000,116.613509,40.305334,12982864.850908138,4883567.226114468
21,龙山街道_110116002000,116.613786,40.305429,12982895.549131993,4883581.68483562
22,龙山街道_110116002000,116.613797,40.305879,12982896.818437772,4883647.208384487
23,龙山街道_110116002000,116.613786,40.305429,12982895.549131993,4883581.68483562
24,龙山街道_110116002000,116.614329,40.305256,12982955.718167499,4883557.848373178
25,龙山街道_110116002000,116.617089,40.305091,12983261.728245812,4883540.183711564
26,龙山街道_110116002000,116.616509,40.305037,12983197.393269027,4883531.033188755
27,龙山街道_110116002000,116.615922,40.305053,12983132.320534987,4883532.058622493
28,龙山街道_110116002000,116.615336,40.305078,12983067.345998095,4883534.320621091
29,龙山街道_110116002000,116.614765,40.305186,12983004.037304772,4883548.702809796
30,龙山街道_110116002000,116.617241,40.305151,12983278.62087271,4883549.258292562
31,龙山街道_110116002000,116.617241,40.305151,12983278.62087271,4883549.258292562
32,龙山街道_110116002000,116.617231,40.305598,12983277.546339067,4883614.261304811
33,龙山街道_110116002000,116.617075,40.306031,12983260.274868347,4883676.91062836
34,龙山街道_110116002000,116.61692,40.306465,12983243.124924405,4883739.718624507
35,龙山街道_110116002000,116.616991,40.306891,12983251.035036644,4883801.8546527745
36,龙山街道_110116002000,116.617157,40.307323,12983269.493568886,4883865.056436896
37,龙山街道_110116002000,116.617571,40.307629,12983315.468584582,4883910.495021343
38,龙山街道_110116002000,116.618025,40.307915,12983365.864186263,4883953.077968964
39,龙山街道_110116002000,116.618479,40.308202,12983416.265186904,4883995.760445071
40,龙山街道_110116002000,116.618967,40.308449,12983470.42556099,4884032.727036464
41,龙山街道_110116002000,116.618022,40.320428,12983367.024191448,4885773.901833128
42,龙山街道_110116002000,116.618585,40.320557,12983429.496080639,4885793.87538504
43,龙山街道_110116002000,116.618788,40.303581,12983450.108822798,4883324.095233768
44,龙山街道_110116002000,116.618658,40.303142,12983435.617057594,4883259.968082114
45,龙山街道_110116002000,116.618527,40.302704,12983421.036445571,4883195.996317863
46,龙山街道_110116002000,116.618475,40.30249,12983415.279920023,4883164.766964432
47,龙山街道_110116002000,116.618691,40.302074,12983439.207159061,4883104.665465626
48,龙山街道_110116002000,116.619106,40.314337,12983486.563065,4884889.749397693
49,龙山街道_110116002000,116.618644,40.314611,12983435.309001511,4884928.684950775
50,龙山街道_110116002000,116.618926,40.312439,12983466.342096824,4884613.240754503
51,龙山街道_110116002000,116.618837,40.311994,12983456.406158026,4884548.272709768
52,龙山街道_110116002000,116.618769,40.320596,12983449.940634055,4885799.954221977
53,龙山街道_110116002000,116.619207,40.320296,12983498.486939853,4885757.174406803
54,龙山街道_110116002000,116.619398,40.301722,12983517.614126543,4883054.875277736
55,龙山街道_110116002000,116.618892,40.313879,12983462.735671815,4884822.687188461
56,龙山街道_110116002000,116.619088,40.314304,12983484.575458813,4884884.940406625
57,龙山街道_110116002000,116.618892,40.313879,12983462.735671815,4884822.687188461
58,龙山街道_110116002000,116.61916,40.313481,12983492.45457325,4884765.302846553
59,龙山街道_110116002000,116.619096,40.312631,12983485.240662327,4884641.464172643
60,龙山街道_110116002000,116.619025,40.300316,12983476.1259275,4882849.61897858
61,龙山街道_110116002000,116.619194,40.300742,12983494.911536079,4882911.955013038
62,龙山街道_110116002000,116.61938,40.301169,12983515.592839759,4882974.439160478
63,龙山街道_110116002000,116.619424,40.301614,12983520.52302977,4883039.222216173
64,龙山街道_110116002000,116.619249,40.312813,12983502.2450732,4884668.271636434
65,龙山街道_110116002000,116.624252,40.298144,12984056.519529045,4882542.923278414
66,龙山街道_110116002000,116.62443,40.297715,12984076.276380774,4882480.750004159
67,龙山街道_110116002000,116.624595,40.297282,12984094.589936122,4882418.004822339
68,龙山街道_110116002000,116.624786,40.296856,12984115.796005264,4882356.315417651
69,龙山街道_110116002000,116.624942,40.296445,12984133.120746493,4882296.748768688
70,龙山街道_110116002000,116.624517,40.296133,12984085.839387966,4882250.770847172
71,龙山街道_110116002000,116.624088,40.295825,12984038.173247369,4882205.358186537
72,龙山街道_110116002000,116.623628,40.295928,12983987.037846787,4882219.599638822
73,龙山街道_110116002000,116.623275,40.296282,12983947.80662101,4882270.536301732
74,龙山街道_110116002000,116.622953,40.29666,12983912.041577516,4882325.054978464
75,龙山街道_110116002000,116.622631,40.297037,12983876.280431442,4882379.364981122
76,龙山街道_110116002000,116.622337,40.297425,12983843.682824068,4882435.285564319
77,龙山街道_110116002000,116.622082,40.297832,12983815.39165015,4882494.019402339
78,龙山街道_110116002000,116.621828,40.298238,12983787.163408387,4882552.668616962
79,龙山街道_110116002000,116.621633,40.29866,12983765.526507031,4882613.695939415
80,龙山街道_110116002000,116.621512,40.2991,12983752.134551713,4882677.4848193815
81,龙山街道_110116002000,116.621391,40.299541,12983738.713953082,4882741.390841696
82,龙山街道_110116002000,116.621227,40.299923,12983720.568939215,4882796.703975055
83,龙山街道_110116002000,116.621316,40.300366,12983730.461647594,4882861.3137250105
84,龙山街道_110116002000,116.621252,40.300812,12983723.391227102,4882926.064590801
85,龙山街道_110116002000,116.621143,40.301254,12983711.328711946,4882990.14871024
86,龙山街道_110116002000,116.621033,40.301697,12983699.147205755,4883054.3883451605
87,龙山街道_110116002000,116.620924,40.302139,12983687.087179987,4883118.510982856
88,龙山街道_110116002000,116.620814,40.302582,12983674.908120146,4883182.749659795
89,龙山街道_110116002000,116.620704,40.303025,12983662.730258282,4883246.987849994
90,龙山街道_110116002000,116.62052,40.303445,12983642.311859591,4883307.742683523
91,龙山街道_110116002000,116.620305,40.303289,12983618.453150088,4883284.639775498
92,龙山街道_110116002000,116.620136,40.302857,12983599.657197066,4883221.489699892
93,龙山街道_110116002000,116.619967,40.302426,12983580.862888327,4883158.4557866
94,龙山街道_110116002000,116.619799,40.301994,12983562.19036587,4883095.26386776
95,龙山街道_110116002000,116.619634,40.301562,12983543.82011819,4883032.114282127
96,龙山街道_110116002000,116.619468,40.30113,12983525.361238377,4882968.9217629945
97,龙山街道_110116002000,116.619293,40.3007,12983505.881931262,4882906.025646533
98,龙山街道_110116002000,116.619089,40.300277,12983483.21814199,4882844.098700412
99,龙山街道_110116002000,116.618943,40.300505,12983467.029089317,4882876.95994101
100,龙山街道_110116002000,116.618816,40.300945,12983452.988726124,4882940.707013028
101,龙山街道_110116002000,116.618677,40.301382,12983437.566754049,4883003.995312132
102,龙山街道_110116002000,116.61854,40.30182,12983422.416752202,4883067.4450998055
103,龙山街道_110116002000,116.618405,40.302259,12983407.478548422,4883131.015971294
104,龙山街道_110116002000,116.618257,40.302695,12983391.098730184,4883194.126294535
105,龙山街道_110116002000,116.618114,40.303132,12983375.261359196,4883257.402835241
106,龙山街道_110116002000,116.617981,40.303571,12983360.567541089,4883321.014445748
107,龙山街道_110116002000,116.617841,40.304008,12983345.063319054,4883384.25540447
108,龙山街道_110116002000,116.617367,40.304089,12983292.4785647,4883395.010031999
109,龙山街道_110116002000,116.616781,40.304083,12983227.482821856,4883392.844676822
110,龙山街道_110116002000,116.616194,40.304107,12983162.37709434,4883395.066434644
111,龙山街道_110116002000,116.615608,40.304123,12983097.428428212,4883396.039666941
112,龙山街道_110116002000,116.615021,40.304087,12983032.33265607,4883389.407464102
113,龙山街道_110116002000,116.614438,40.304119,12982967.699628124,4883392.701201273
114,龙山街道_110116002000,116.613852,40.304151,12982902.7727287,4883395.924802276
115,龙山街道_110116002000,116.613265,40.304176,12982837.70133406,4883398.135504468
116,龙山街道_110116002000,116.612679,40.304213,12982772.756842747,4883402.062706165
117,龙山街道_110116002000,116.61209,40.304215,12982707.514848765,4883400.8729029
118,龙山街道_110116002000,116.611515,40.304293,12982643.785070306,4883410.744398612
119,龙山街道_110116002000,116.611226,40.304577,12982611.806460818,4883451.337934716
120,龙山街道_110116002000,116.610795,40.30485,12982564.098857589,4883489.9543957375
121,龙山街道_110116002000,116.610695,40.305285,12982553.088136297,4883552.951724695
122,龙山街道_110116002000,116.610852,40.305715,12982570.504612159,4883615.922764531
123,龙山街道_110116002000,116.611152,40.3061,12982603.768208336,4883672.739671525
124,龙山街道_110116002000,116.611529,40.306445,12982645.555789417,4883723.863786094
125,龙山街道_110116002000,116.611942,40.306766,12982691.336611232,4883771.636338744
126,龙山街道_110116002000,116.612352,40.307089,12982736.82019228,4883819.630013475
127,龙山街道_110116002000,116.612758,40.307415,12982781.856646212,4883868.1174940765
128,龙山街道_110116002000,116.613167,40.307739,12982827.196177257,4883916.286102624
129,龙山街道_110116002000,116.613586,40.308055,12982873.649156759,4883963.244799767
130,龙山街道_110116002000,116.614004,40.308372,12982920.015578836,4884010.427105751
131,龙山街道_110116002000,116.614412,40.308697,12982965.274973495,4884058.679624871
132,龙山街道_110116002000,116.614821,40.309021,12983010.657892626,4884106.804685339
133,龙山街道_110116002000,116.615225,40.309348,12983055.473962126,4884155.340293282
134,龙山街道_110116002000,116.615628,40.309676,12983100.203592623,4884203.980371306
135,龙山街道_110116002000,116.616037,40.31,12983145.56745162,4884252.107317263
136,龙山街道_110116002000,116.616446,40.310324,12983190.965177644,4884300.142657406
137,龙山街道_110116002000,116.616857,40.310646,12983236.607097099,4884347.93208788
138,龙山街道_110116002000,116.617269,40.310968,12983282.343251422,4884395.669481139
139,龙山街道_110116002000,116.617671,40.311297,12983326.972430296,4884444.437323034
140,龙山街道_110116002000,116.618069,40.311628,12983371.155079493,4884493.419507635
141,龙山街道_110116002000,116.6184,40.311988,12983407.920665829,4884546.518393495
142,龙山街道_110116002000,116.618532,40.312426,12983422.634080252,4884610.508589609
143,龙山街道_110116002000,116.618777,40.312774,12983449.843684083,4884661.65267057
144,龙山街道_110116002000,116.619096,40.312631,12983485.240662327,4884641.464172643
145,龙山街道_110116002000,116.6209,40.314211,12983685.665033842,4884874.901945729
146,龙山街道_110116002000,116.620326,40.314308,12983621.950051436,4884887.95487097
147,龙山街道_110116002000,116.619739,40.314308,12983556.790644374,4884886.82130598
148,龙山街道_110116002000,116.619155,40.314341,12983491.974727022,4884890.4334158525
149,龙山街道_110116002000,116.619262,40.312835,12983503.690404074,4884671.492535086
150,龙山街道_110116002000,116.619236,40.313284,12983500.85142182,4884736.794983953
151,龙山街道_110116002000,116.619262,40.312835,12983503.690404074,4884671.492535086
152,龙山街道_110116002000,116.619249,40.312813,12983502.2450732,4884668.271636434
153,龙山街道_110116002000,116.619044,40.313233,12983479.531785235,4884729.013448085
154,龙山街道_110116002000,116.618793,40.313633,12983451.737543235,4884786.664551481
155,龙山街道_110116002000,116.618388,40.31396,12983406.834584625,4884833.432693493
156,龙山街道_110116002000,116.618023,40.31431,12983366.356369626,4884883.580046655
157,龙山街道_110116002000,116.617728,40.314699,12983333.699495649,4884939.580291299
158,龙山街道_110116002000,116.617399,40.315072,12983297.226710519,4884993.134616014
159,龙山街道_110116002000,116.616944,40.315349,12983246.803909898,4885032.44683283
160,龙山街道_110116002000,116.616519,40.315638,12983199.692204747,4885073.541182316
161,龙山街道_110116002000,116.616461,40.316083,12983193.310904454,4885138.180417223
162,龙山街道_110116002000,116.616481,40.316533,12983195.58329011,4885203.73621511
163,龙山街道_110116002000,116.616501,40.316983,12983197.88584471,4885269.253596866
164,龙山街道_110116002000,116.616513,40.317433,12983199.257154962,4885334.793036855
165,龙山街道_110116002000,116.616328,40.317858,12983178.783315804,4885396.202546176
166,龙山街道_110116002000,116.616219,40.3183,12983166.754326666,4885460.299602829
167,龙山街道_110116002000,116.615963,40.318581,12983138.424921988,4885500.555406981
168,龙山街道_110116002000,116.615459,40.318371,12983082.496556705,4885468.86247425
169,龙山街道_110116002000,116.614877,40.318304,12983017.968792515,4885457.734090775
170,龙山街道_110116002000,116.614332,40.318154,12982957.523081742,4885434.627792674
171,龙山街道_110116002000,116.613824,40.317927,12982901.188657293,4885400.378507386
172,龙山街道_110116002000,116.613243,40.317908,12982836.804235062,4885396.210149682
173,龙山街道_110116002000,116.612658,40.317953,12982771.982134698,4885401.245609819
174,龙山街道_110116002000,116.61211,40.318101,12982711.28999584,4885421.427366994
175,龙山街道_110116002000,116.611695,40.31842,12982665.361419678,4885466.784398821
176,龙山街道_110116002000,116.611764,40.318843,12982673.03338906,4885528.522471578
177,龙山街道_110116002000,116.612219,40.31912,12982723.50139108,4885569.97142567
178,龙山街道_110116002000,116.612779,40.319248,12982785.545973795,4885590.0317803845
179,龙山街道_110116002000,116.613354,40.319339,12982849.303133467,4885604.702509076
180,龙山街道_110116002000,116.61394,40.319379,12982914.231565872,4885611.956479379
181,龙山街道_110116002000,116.614516,40.319464,12982978.089955477,4885625.71628585
182,龙山街道_110116002000,116.615098,40.319514,12983042.611652432,4885634.374178374
183,龙山街道_110116002000,116.615686,40.319512,12983107.795337955,4885635.481149374
184,龙山街道_110116002000,116.616239,40.319588,12983169.149237059,4885647.773908614
