﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,龙泉地区_110109007000,116.004951,39.926358,12915158.423932265,4828613.193423784
1,龙泉地区_110109007000,116.004409,39.9262,12915098.259251613,4828588.659303366
2,龙泉地区_110109007000,116.0053,39.926267,12915197.16644778,4828601.092086959
3,龙泉地区_110109007000,116.0053,39.926267,12915197.16644778,4828601.092086959
4,龙泉地区_110109007000,116.005643,39.926632,12915235.242930753,4828654.947272741
5,龙泉地区_110109007000,116.006579,39.92552,12915339.1534905,4828496.983040656
6,龙泉地区_110109007000,116.008641,39.928518,12915568.085097913,4828936.773027035
7,龙泉地区_110109007000,116.008079,39.928393,12915505.687118806,4828916.970715988
8,龙泉地区_110109007000,116.00844,39.925744,12915545.750897134,4828535.032520647
9,龙泉地区_110109007000,116.008072,39.926093,12915504.89703503,4828584.408222503
10,龙泉地区_110109007000,116.00844,39.925744,12915545.750897134,4828535.032520647
11,龙泉地区_110109007000,116.009011,39.925654,12915609.143018117,4828523.706454143
12,龙泉地区_110109007000,116.009595,39.92567,12915673.977279022,4828527.776194532
13,龙泉地区_110109007000,116.008641,39.928518,12915568.085097913,4828936.773027035
14,龙泉地区_110109007000,116.009035,39.92885,12915611.816404369,4828985.948726179
15,龙泉地区_110109007000,116.009227,39.929007,12915633.127560925,4829009.227452225
16,龙泉地区_110109007000,116.009772,39.929168,12915693.641234292,4829034.1023604125
17,龙泉地区_110109007000,116.011619,39.935629,12915898.964856958,4829973.939090144
18,龙泉地区_110109007000,116.011167,39.935345,12915848.785712289,4829931.562026467
19,龙泉地区_110109007000,116.010673,39.935106,12915793.868207915,4829895.542636373
20,龙泉地区_110109007000,116.010143,39.934918,12915735.053531477,4829866.799729527
21,龙泉地区_110109007000,116.009623,39.934713,12915677.292423876,4829835.635738861
22,龙泉地区_110109007000,116.011613,39.927536,12915898.084431853,4828803.46008151
23,龙泉地区_110109007000,116.011065,39.927385,12915837.229460392,4828780.077550897
24,龙泉地区_110109007000,116.011184,39.925763,12915850.399597015,4828545.850792148
25,龙泉地区_110109007000,116.011759,39.925823,12915914.288058538,4828556.194379931
26,龙泉地区_110109007000,116.012333,39.9259,12915978.031045582,4828568.948020929
27,龙泉地区_110109007000,116.012348,39.929545,12915979.720544064,4829096.090026742
28,龙泉地区_110109007000,116.011764,39.929543,12915914.835193241,4829094.137347335
29,龙泉地区_110109007000,116.012739,39.926346,12916023.125783758,4828634.590509134
30,龙泉地区_110109007000,116.012739,39.926346,12916023.125783758,4828634.590509134
31,龙泉地区_110109007000,116.012757,39.926085,12916025.111510161,4828596.900044511
32,龙泉地区_110109007000,116.013298,39.925921,12916085.20388389,4828574.712180003
33,龙泉地区_110109007000,116.013002,39.9273,12916052.333432231,4828773.277335786
34,龙泉地区_110109007000,116.012944,39.926852,12916045.881443286,4828708.342640433
35,龙泉地区_110109007000,116.013002,39.9273,12916052.333432231,4828773.277335786
36,龙泉地区_110109007000,116.013562,39.927422,12916114.526762133,4828792.46614919
37,龙泉地区_110109007000,116.014145,39.927447,12916179.309559321,4828797.644062532
38,龙泉地区_110109007000,116.014724,39.927508,12916243.617924178,4828808.004934568
39,龙泉地区_110109007000,116.013855,39.928879,12916147.107474798,4829003.938143309
40,龙泉地区_110109007000,116.014161,39.932539,12916181.17749369,4829534.067530495
41,龙泉地区_110109007000,116.014319,39.93297,12916198.728240019,4829596.841563078
42,龙泉地区_110109007000,116.014906,39.927529,12916263.833911842,4828811.507180882
43,龙泉地区_110109007000,116.01534,39.927831,12916312.077105086,4828856.352513964
44,龙泉地区_110109007000,116.015778,39.928129,12916360.745400084,4828900.5639288565
45,龙泉地区_110109007000,116.016156,39.928784,12916402.74764642,4828996.255233985
46,龙泉地区_110109007000,116.015944,39.928364,12916379.162118519,4828935.004916424
47,龙泉地区_110109007000,116.015845,39.92813,12916368.196421048,4828900.903488539
48,龙泉地区_110109007000,116.015973,39.928035,12916382.378051557,4828887.485760858
