﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,龙泽园街道_110114012000,116.303655,40.085584,12948408.680862904,4851670.146937339
1,龙泽园街道_110114012000,116.303113,40.085421,12948347.827660082,4851647.82929161
2,龙泽园街道_110114012000,116.302614,40.085186,12948291.829363018,4851614.9729736
3,龙泽园街道_110114012000,116.302114,40.084951,12948235.679613546,4851582.078636207
4,龙泽园街道_110114012000,116.301615,40.084716,12948179.621810531,4851549.218302217
5,龙泽园街道_110114012000,116.301115,40.084481,12948123.504206333,4851516.315982392
6,龙泽园街道_110114012000,116.300624,40.084236,12948068.35913578,4851481.970172397
7,龙泽园街道_110114012000,116.302131,40.082021,12948237.220690476,4851157.24274084
8,龙泽园街道_110114012000,116.301659,40.082282,12948184.28476912,4851196.203726904
9,龙泽园街道_110114012000,116.301331,40.082653,12948147.526994407,4851250.789477023
10,龙泽园街道_110114012000,116.301033,40.08304,12948114.144080902,4851307.575699026
11,龙泽园街道_110114012000,116.300734,40.083427,12948080.609590407,4851364.442516605
12,龙泽园街道_110114012000,116.300459,40.083823,12948049.810976136,4851422.502454016
13,龙泽园街道_110114012000,116.302131,40.082021,12948237.220690476,4851157.24274084
14,龙泽园街道_110114012000,116.30264,40.082244,12948294.403295726,4851188.341861236
15,龙泽园街道_110114012000,116.303158,40.082455,12948352.527205994,4851217.68597171
16,龙泽园街道_110114012000,116.304647,40.078587,12948519.17563542,4850653.319993724
17,龙泽园街道_110114012000,116.304206,40.07888,12948469.706256099,4850696.844305046
18,龙泽园街道_110114012000,116.303904,40.079265,12948435.866236234,4850753.371209226
19,龙泽园街道_110114012000,116.303607,40.079653,12948402.573494112,4850810.318104677
20,龙泽园街道_110114012000,116.30331,40.08004,12948369.280694509,4850867.186470759
21,龙泽园街道_110114012000,116.303013,40.080428,12948336.018377503,4850924.132699868
22,龙泽园街道_110114012000,116.302715,40.080816,12948302.634608513,4850981.120852752
23,龙泽园街道_110114012000,116.302418,40.081203,12948269.341955526,4851037.909741814
24,龙泽园街道_110114012000,116.302162,40.081606,12948240.639677955,4851096.988975574
25,龙泽园街道_110114012000,116.305342,40.083433,12948597.80050439,4851354.225634534
26,龙泽园街道_110114012000,116.304876,40.083164,12948545.44446677,4851316.327779563
27,龙泽园街道_110114012000,116.304359,40.082952,12948487.411570992,4851286.86421917
28,龙泽园街道_110114012000,116.30386,40.082717,12948431.381460767,4851253.971950766
29,龙泽园街道_110114012000,116.30365,40.08257,12948407.784633162,4851233.173889137
30,龙泽园街道_110114012000,116.303917,40.082169,12948437.703653933,4851174.377492498
31,龙泽园街道_110114012000,116.304253,40.081804,12948475.375338878,4851120.668230405
32,龙泽园街道_110114012000,116.304635,40.081464,12948518.215413928,4851070.416332617
33,龙泽园街道_110114012000,116.303655,40.085584,12948408.680862904,4851670.146937339
34,龙泽园街道_110114012000,116.304066,40.085271,12948454.777288863,4851623.827393342
35,龙泽园街道_110114012000,116.30436,40.084881,12948487.737824855,4851566.530816861
36,龙泽园街道_110114012000,116.304654,40.084492,12948520.69814308,4851509.431390285
37,龙泽园街道_110114012000,116.304948,40.084102,12948553.65795562,4851452.175341635
38,龙泽园街道_110114012000,116.305212,40.083701,12948583.243163962,4851393.38722875
39,龙泽园街道_110114012000,116.304647,40.078587,12948519.17563542,4850653.319993724
40,龙泽园街道_110114012000,116.30531,40.078688,12948593.605795851,4850666.350698485
41,龙泽园街道_110114012000,116.304916,40.079023,12948549.45935991,4850715.843357128
