﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,龙潭街道_110101014000,116.418353,39.871804,12961188.954743573,4820765.6789945075
1,龙潭街道_110101014000,116.417823,39.871618,12961129.659222955,4820740.209841977
2,龙潭街道_110101014000,116.418415,39.871816,12961195.911394738,4820767.245746917
3,龙潭街道_110101014000,116.418415,39.871816,12961195.911394738,4820767.245746917
4,龙潭街道_110101014000,116.418892,39.871812,12961249.258886654,4820765.404912055
5,龙潭街道_110101014000,116.419433,39.871741,12961309.779818827,4820753.750335164
6,龙潭街道_110101014000,116.420009,39.871666,12961374.253006255,4820741.329045696
7,龙潭街道_110101014000,116.420589,39.871618,12961439.123047354,4820732.808724586
8,龙潭街道_110101014000,116.421155,39.87172,12961502.442830581,4820745.989697245
9,龙潭街道_110101014000,116.422284,39.871803,12961628.75467281,4820754.9025502205
10,龙潭街道_110101014000,116.421713,39.87171,12961564.88499904,4820743.03848903
11,龙潭街道_110101014000,116.422031,39.872217,12961600.48744224,4820815.411787832
12,龙潭街道_110101014000,116.424557,39.89199,12961881.972463794,4823665.230264136
13,龙潭街道_110101014000,116.423986,39.892077,12961818.090245755,4823679.396061308
14,龙潭街道_110101014000,116.423402,39.892064,12961752.790101033,4823679.133993648
15,龙潭街道_110101014000,116.422817,39.892048,12961687.308182988,4823678.444190903
16,龙潭街道_110101014000,116.422237,39.892005,12961622.437398912,4823673.85766322
17,龙潭街道_110101014000,116.422269,39.891042,12961626.091633232,4823534.601743182
18,龙潭街道_110101014000,116.421979,39.891429,12961593.629990917,4823591.291394012
19,龙潭街道_110101014000,116.42194,39.891875,12961589.208366955,4823655.904980283
20,龙潭街道_110101014000,116.422284,39.871803,12961628.75467281,4820754.9025502205
21,龙潭街道_110101014000,116.422312,39.874996,12961631.857700448,4821216.145739296
22,龙潭街道_110101014000,116.42267,39.875336,12961671.89434601,4821264.270121717
23,龙潭街道_110101014000,116.423089,39.87565,12961718.799059834,4821308.50841408
24,龙潭街道_110101014000,116.423502,39.875968,12961764.9740344,4821353.3116730945
25,龙潭街道_110101014000,116.423912,39.876289,12961810.844574975,4821398.513636326
26,龙潭街道_110101014000,116.423006,39.872254,12961709.543425223,4820818.096625155
27,龙潭街道_110101014000,116.42256,39.871965,12961659.654525992,4820777.533370998
28,龙潭街道_110101014000,116.422385,39.871802,12961640.088774161,4820754.47917755
29,龙潭街道_110101014000,116.422872,39.871554,12961694.576110667,4820717.297109566
30,龙潭街道_110101014000,116.423431,39.871429,12961757.114033995,4820697.677216816
31,龙潭街道_110101014000,116.424013,39.871394,12961822.20313393,4820691.007843223
32,龙潭街道_110101014000,116.424596,39.871361,12961887.413581286,4820684.649714935
33,龙潭街道_110101014000,116.425179,39.871326,12961952.653907591,4820677.979351887
34,龙潭街道_110101014000,116.425762,39.871291,12962017.893314267,4820671.312429598
35,龙潭街道_110101014000,116.426345,39.871256,12962083.101044256,4820664.611892539
36,龙潭街道_110101014000,116.426928,39.87122,12962148.276733223,4820657.800769303
37,龙潭街道_110101014000,116.42751,39.871185,12962213.359216455,4820651.156206437
38,龙潭街道_110101014000,116.428093,39.871149,12962278.591226613,4820644.321256588
39,龙潭街道_110101014000,116.428676,39.871113,12962343.790068464,4820637.536695645
40,龙潭街道_110101014000,116.429258,39.871079,12962408.833840922,4820631.041793466
41,龙潭街道_110101014000,116.429842,39.871048,12962474.147475561,4820624.985059634
42,龙潭街道_110101014000,116.430425,39.871016,12962539.305361446,4820618.828798891
43,龙潭街道_110101014000,116.431008,39.870989,12962604.48933745,4820613.354081351
44,龙潭街道_110101014000,116.431592,39.870982,12962669.75957771,4820610.834042884
45,龙潭街道_110101014000,116.432176,39.870995,12962735.024616752,4820611.1936472505
46,龙潭街道_110101014000,116.43276,39.871013,12962800.314673102,4820612.317235537
47,龙潭街道_110101014000,116.422269,39.891042,12961626.091633232,4823534.601743182
48,龙潭街道_110101014000,116.422747,39.890782,12961679.598275516,4823495.718075624
49,龙潭街道_110101014000,116.422957,39.890643,12961703.101238709,4823475.058900299
50,龙潭街道_110101014000,116.423458,39.890412,12961759.188207563,4823440.2665965725
51,龙潭街道_110101014000,116.423969,39.890192,12961816.367982982,4823407.094039873
52,龙潭街道_110101014000,116.42327,39.889441,12961738.226301042,4823300.534602918
53,龙潭街道_110101014000,116.423702,39.889744,12961786.542095415,4823343.092936486
54,龙潭街道_110101014000,116.427885,39.874216,12962255.307857724,4821088.028571764
55,龙潭街道_110101014000,116.427301,39.874226,12962189.98397154,4821091.067539027
56,龙潭街道_110101014000,116.426717,39.874237,12962124.657769669,4821094.271896615
57,龙潭街道_110101014000,116.426133,39.874248,12962059.329660434,4821097.483464125
58,龙潭街道_110101014000,116.42555,39.874253,12961994.121755151,4821099.835762026
59,龙潭街道_110101014000,116.424969,39.874228,12961929.12637022,4821097.837198176
60,龙潭街道_110101014000,116.424385,39.87421,12961863.795741787,4821096.829193288
61,龙潭街道_110101014000,116.42404,39.890163,12961824.332267568,4823402.673465185
62,龙潭街道_110101014000,116.424404,39.890515,12961864.985025475,4823452.545763079
63,龙潭街道_110101014000,116.4241,39.890009,12961831.063069277,4823380.293180273
64,龙潭街道_110101014000,116.4241,39.890009,12961831.063069277,4823380.293180273
65,龙潭街道_110101014000,116.424097,39.889997,12961830.730025716,4823378.537428335
66,龙潭街道_110101014000,116.424106,39.889547,12961831.746794835,4823313.53433846
67,龙潭街道_110101014000,116.424199,39.889103,12961842.212789534,4823249.13153025
68,龙潭街道_110101014000,116.4241,39.890009,12961831.063069277,4823380.293180273
69,龙潭街道_110101014000,116.424634,39.889826,12961890.791316628,4823352.352082472
70,龙潭街道_110101014000,116.425158,39.889626,12961949.426747663,4823322.00864304
71,龙潭街道_110101014000,116.425695,39.889447,12962009.517825989,4823294.651514882
72,龙潭街道_110101014000,116.424326,39.876621,12961857.139431853,4821445.351712437
73,龙潭街道_110101014000,116.424782,39.876903,12961908.14578722,4821484.82917591
74,龙潭街道_110101014000,116.424315,39.888866,12961855.18050331,4823214.533467508
75,龙潭街道_110101014000,116.424767,39.887749,12961905.84976563,4823051.872301428
76,龙潭街道_110101014000,116.424491,39.888145,12961874.939813573,4823109.858721126
77,龙潭街道_110101014000,116.424315,39.888866,12961855.18050331,4823214.533467508
78,龙潭街道_110101014000,116.424846,39.888678,12961914.604621861,4823185.894877706
79,龙潭街道_110101014000,116.424557,39.89199,12961881.972463794,4823665.230264136
80,龙潭街道_110101014000,116.42512,39.892101,12961944.982784368,4823679.7361034
81,龙潭街道_110101014000,116.42463,39.890796,12961890.268873213,4823492.512811199
82,龙潭街道_110101014000,116.424602,39.891246,12961887.093278453,4823557.60651488
83,龙潭街道_110101014000,116.424575,39.891696,12961884.038761659,4823622.736785519
84,龙潭街道_110101014000,116.42463,39.890796,12961890.268873213,4823492.512811199
85,龙潭街道_110101014000,116.425161,39.890983,12961949.655712023,4823518.038566743
86,龙潭街道_110101014000,116.425272,39.888514,12961962.266274752,4823161.0231139995
87,龙潭街道_110101014000,116.425013,39.888111,12961933.315772092,4823103.505939571
88,龙潭街道_110101014000,116.424767,39.887749,12961905.84976563,4823051.872301428
89,龙潭街道_110101014000,116.424817,39.8873,12961911.482305853,4822986.878856617
90,龙潭街道_110101014000,116.424867,39.886852,12961917.083706848,4822922.0430520745
91,龙潭街道_110101014000,116.424917,39.886403,12961922.745326623,4822857.01000993
92,龙潭街道_110101014000,116.424967,39.885955,12961928.345378067,4822792.1353051355
93,龙潭街道_110101014000,116.425017,39.885506,12961933.975166047,4822727.142443884
94,龙潭街道_110101014000,116.425187,39.885078,12961953.03327112,4822664.81212567
95,龙潭街道_110101014000,116.425175,39.877277,12961952.09728412,4821537.759634662
96,龙潭街道_110101014000,116.425432,39.877678,12961980.822852032,4821595.007567563
97,龙潭街道_110101014000,116.425175,39.877277,12961952.09728412,4821537.759634662
98,龙潭街道_110101014000,116.425552,39.876842,12961994.263466537,4821473.867623793
99,龙潭街道_110101014000,116.425225,39.885014,12961957.292711634,4822655.4629659
100,龙潭街道_110101014000,116.425808,39.885047,12962022.498507876,4822658.633766164
101,龙潭街道_110101014000,116.426389,39.885019,12962087.49539058,4822652.996548814
102,龙潭街道_110101014000,116.426967,39.885066,12962152.150133118,4822658.150971073
