﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,万柳地区_110108023000,116.238947,39.999712,12941203,4839210
1,万柳地区_110108023000,116.239455,39.999935,12941259,4839244
2,万柳地区_110108023000,116.239967,40.000154,12941316,4839277
3,万柳地区_110108023000,116.240491,40.000354,12941374,4839307
4,万柳地区_110108023000,116.240916,40.000661,12941421,4839353
5,万柳地区_110108023000,116.241049,40.00098,12941436,4839399
6,万柳地区_110108023000,116.240485,40.001097,12941373,4839415
7,万柳地区_110108023000,116.241049,40.00098,12941436,4839399
8,万柳地区_110108023000,116.241249,40.001402,12941458,4839461
9,万柳地区_110108023000,116.241621,40.001746,12941499,4839512
10,万柳地区_110108023000,116.241049,40.00098,12941436,4839399
11,万柳地区_110108023000,116.241109,40.00087,12941442,4839384
12,万柳地区_110108023000,116.241684,40.000789,12941506,4839373
13,万柳地区_110108023000,116.242264,40.000833,12941570,4839381
14,万柳地区_110108023000,116.241791,40.001829,12941518,4839524
15,万柳地区_110108023000,116.24371,40.002597,12941730,4839640
16,万柳地区_110108023000,116.243163,40.002449,12941669,4839617
17,万柳地区_110108023000,116.242659,40.002222,12941614,4839583
18,万柳地区_110108023000,116.242154,40.001994,12941558,4839549
19,万柳地区_110108023000,116.242358,40.000854,12941580,4839384
20,万柳地区_110108023000,116.242194,40.001286,12941562,4839447
21,万柳地区_110108023000,116.243017,40.000994,12941653,4839406
22,万柳地区_110108023000,116.242453,40.000874,12941591,4839388
23,万柳地区_110108023000,116.243017,40.000994,12941653,4839406
24,万柳地区_110108023000,116.243546,40.001096,12941712,4839423
25,万柳地区_110108023000,116.244117,40.001194,12941775,4839438
26,万柳地区_110108023000,116.244698,40.001239,12941839,4839446
27,万柳地区_110108023000,116.24371,40.002597,12941730,4839640
28,万柳地区_110108023000,116.244205,40.002838,12941784,4839676
29,万柳地区_110108023000,116.245017,40.001198,12941874,4839441
30,万柳地区_110108023000,116.245566,40.001351,12941935,4839465
31,万柳地区_110108023000,116.246129,40.001472,12941997,4839484
32,万柳地区_110108023000,116.245017,40.001198,12941874,4839441
33,万柳地区_110108023000,116.245094,40.000751,12941883,4839377
34,万柳地区_110108023000,116.24528,40.000325,12941903,4839315
35,万柳地区_110108023000,116.245494,39.999907,12941927,4839256
36,万柳地区_110108023000,116.245707,39.999488,12941951,4839195
37,万柳地区_110108023000,116.245921,39.999069,12941974,4839135
38,万柳地区_110108023000,116.246135,39.99865,12941998,4839075
39,万柳地区_110108023000,116.246322,39.998224,12942019,4839014
40,万柳地区_110108023000,116.246306,39.997776,12942017,4838949
41,万柳地区_110108023000,116.245533,39.992231,12941932,4838145
42,万柳地区_110108023000,116.245637,39.992672,12941943,4838209
43,万柳地区_110108023000,116.245706,39.992794,12941951,4838227
44,万柳地区_110108023000,116.245985,39.994037,12941982,4838407
45,万柳地区_110108023000,116.245765,39.993622,12941957,4838347
46,万柳地区_110108023000,116.245752,39.993278,12941956,4838297
47,万柳地区_110108023000,116.246262,39.997593,12942012,4838923
48,万柳地区_110108023000,116.245924,39.997228,12941975,4838869
49,万柳地区_110108023000,116.245917,39.992959,12941974,4838251
50,万柳地区_110108023000,116.245985,39.994037,12941982,4838407
51,万柳地区_110108023000,116.24652,39.994215,12942041,4838434
52,万柳地区_110108023000,116.247003,39.994466,12942094,4838472
53,万柳地区_110108023000,116.247463,39.994745,12942145,4838513
54,万柳地区_110108023000,116.24787,39.995065,12942190,4838561
55,万柳地区_110108023000,116.246257,39.997628,12942012,4838928
56,万柳地区_110108023000,116.247999,39.99522,12942204,4838584
57,万柳地区_110108023000,116.247688,39.9956,12942170,4838638
58,万柳地区_110108023000,116.247475,39.996019,12942146,4838698
59,万柳地区_110108023000,116.247261,39.996438,12942123,4838758
60,万柳地区_110108023000,116.247048,39.996857,12942099,4838818
61,万柳地区_110108023000,116.246783,39.997256,12942070,4838875
62,万柳地区_110108023000,116.246348,39.997554,12942022,4838917
63,万柳地区_110108023000,116.246456,39.992894,12942034,4838243
64,万柳地区_110108023000,116.247022,39.992885,12942096,4838243
65,万柳地区_110108023000,116.250886,40.00175,12942523,4839536
66,万柳地区_110108023000,116.250301,40.001753,12942459,4839535
67,万柳地区_110108023000,116.249717,40.001728,12942394,4839530
68,万柳地区_110108023000,116.249132,40.001701,12942329,4839525
69,万柳地区_110108023000,116.248548,40.001668,12942265,4839518
70,万柳地区_110108023000,116.247964,40.001638,12942200,4839512
71,万柳地区_110108023000,116.247379,40.001618,12942135,4839508
72,万柳地区_110108023000,116.246794,40.001599,12942071,4839504
73,万柳地区_110108023000,116.247022,39.992885,12942096,4838243
74,万柳地区_110108023000,116.249171,39.993193,12942334,4838293
75,万柳地区_110108023000,116.248596,39.993112,12942270,4838280
76,万柳地区_110108023000,116.24802,39.993036,12942207,4838268
77,万柳地区_110108023000,116.251333,39.996427,12942573,4838767
78,万柳地区_110108023000,116.25082,39.996215,12942516,4838735
79,万柳地区_110108023000,116.250262,39.996079,12942455,4838714
80,万柳地区_110108023000,116.249719,39.995911,12942394,4838688
81,万柳地区_110108023000,116.249214,39.995689,12942339,4838655
82,万柳地区_110108023000,116.248727,39.995439,12942285,4838617
83,万柳地区_110108023000,116.248199,39.995251,12942226,4838589
84,万柳地区_110108023000,116.249739,39.994148,12942397,4838433
85,万柳地区_110108023000,116.24954,39.993725,12942375,4838371
86,万柳地区_110108023000,116.24928,39.993322,12942346,4838312
87,万柳地区_110108023000,116.251485,40.001485,12942590,4839499
88,万柳地区_110108023000,116.250978,40.00171,12942534,4839531
89,万柳地区_110108023000,116.251513,40.000923,12942593,4839418
90,万柳地区_110108023000,116.251232,40.00053,12942562,4839360
91,万柳地区_110108023000,116.251157,40.000086,12942553,4839296
92,万柳地区_110108023000,116.251158,39.999636,12942554,4839231
93,万柳地区_110108023000,116.251157,39.999186,12942553,4839166
94,万柳地区_110108023000,116.251155,39.998736,12942553,4839101
95,万柳地区_110108023000,116.251158,39.998286,12942554,4839035
96,万柳地区_110108023000,116.251189,39.997836,12942557,4838970
97,万柳地区_110108023000,116.25122,39.997387,12942560,4838905
98,万柳地区_110108023000,116.251251,39.996937,12942564,4838840
99,万柳地区_110108023000,116.251333,39.996427,12942573,4838767
100,万柳地区_110108023000,116.252507,39.996493,12942703,4838779
101,万柳地区_110108023000,116.251941,39.996378,12942640,4838761
