﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,上地街道_110108022000,116.279145,40.050066,12945659,4846565
1,上地街道_110108022000,116.280362,40.04318,12945795,4845566
2,上地街道_110108022000,116.280244,40.04362,12945782,4845630
3,上地街道_110108022000,116.280147,40.044064,12945771,4845694
4,上地街道_110108022000,116.28005,40.044508,12945760,4845759
5,上地街道_110108022000,116.279953,40.044952,12945750,4845823
6,上地街道_110108022000,116.279856,40.045396,12945739,4845888
7,上地街道_110108022000,116.279759,40.04584,12945728,4845952
8,上地街道_110108022000,116.279663,40.046284,12945717,4846016
9,上地街道_110108022000,116.279566,40.046728,12945706,4846081
10,上地街道_110108022000,116.279469,40.047172,12945695,4846145
11,上地街道_110108022000,116.279372,40.047616,12945685,4846209
12,上地街道_110108022000,116.279275,40.04806,12945674,4846274
13,上地街道_110108022000,116.279178,40.048504,12945663,4846338
14,上地街道_110108022000,116.279082,40.048948,12945652,4846403
15,上地街道_110108022000,116.278989,40.049393,12945642,4846467
16,上地街道_110108022000,116.279038,40.049839,12945647,4846532
17,上地街道_110108022000,116.27925,40.050129,12945671,4846574
18,上地街道_110108022000,116.27953,40.050186,12945702,4846582
19,上地街道_110108022000,116.280107,40.050113,12945767,4846571
20,上地街道_110108022000,116.280357,40.042104,12945795,4845410
21,上地街道_110108022000,116.280938,40.042048,12945860,4845402
22,上地街道_110108022000,116.280362,40.04318,12945795,4845566
23,上地街道_110108022000,116.280469,40.042737,12945807,4845502
24,上地街道_110108022000,116.280734,40.042337,12945837,4845444
25,上地街道_110108022000,116.280611,40.040935,12945823,4845241
26,上地街道_110108022000,116.281139,40.04113,12945882,4845269
27,上地街道_110108022000,116.280648,40.050077,12945827,4846565
28,上地街道_110108022000,116.280648,40.050077,12945827,4846565
29,上地街道_110108022000,116.280813,40.049644,12945846,4846502
30,上地街道_110108022000,116.280906,40.049528,12945856,4846485
31,上地街道_110108022000,116.280906,40.049528,12945856,4846485
32,上地街道_110108022000,116.281397,40.049288,12945911,4846450
33,上地街道_110108022000,116.280988,40.042045,12945865,4845401
34,上地街道_110108022000,116.281449,40.041767,12945917,4845361
35,上地街道_110108022000,116.280951,40.050309,12945861,4846599
36,上地街道_110108022000,116.281209,40.041152,12945890,4845272
37,上地街道_110108022000,116.281067,40.040715,12945874,4845209
38,上地街道_110108022000,116.280988,40.04027,12945865,4845144
39,上地街道_110108022000,116.281072,40.039844,12945875,4845083
40,上地街道_110108022000,116.281333,40.039441,12945904,4845024
41,上地街道_110108022000,116.281431,40.039284,12945915,4845001
42,上地街道_110108022000,116.281177,40.039061,12945886,4844969
43,上地街道_110108022000,116.281049,40.038624,12945872,4844906
44,上地街道_110108022000,116.280976,40.038178,12945864,4844841
45,上地街道_110108022000,116.280896,40.037732,12945855,4844777
46,上地街道_110108022000,116.280804,40.037287,12945845,4844712
47,上地街道_110108022000,116.28083,40.036839,12945848,4844648
48,上地街道_110108022000,116.280886,40.036391,12945854,4844583
49,上地街道_110108022000,116.280951,40.035944,12945861,4844518
50,上地街道_110108022000,116.281016,40.035497,12945869,4844453
51,上地街道_110108022000,116.281081,40.035049,12945876,4844388
52,上地街道_110108022000,116.281145,40.034602,12945883,4844323
53,上地街道_110108022000,116.281211,40.034155,12945890,4844259
54,上地街道_110108022000,116.2813,40.03371,12945900,4844194
55,上地街道_110108022000,116.28139,40.033265,12945911,4844130
56,上地街道_110108022000,116.281644,40.041666,12945938,4845346
57,上地街道_110108022000,116.281317,40.041292,12945902,4845292
58,上地街道_110108022000,116.283721,40.050788,12946171,4846665
59,上地街道_110108022000,116.283159,40.050909,12946108,4846683
60,上地街道_110108022000,116.282579,40.050871,12946043,4846678
61,上地街道_110108022000,116.282013,40.050757,12945980,4846663
62,上地街道_110108022000,116.281485,40.050569,12945921,4846636
63,上地街道_110108022000,116.281406,40.033218,12945912,4844123
64,上地街道_110108022000,116.282891,40.039483,12946078,4845029
65,上地街道_110108022000,116.282322,40.039382,12946014,4845015
66,上地街道_110108022000,116.281749,40.039291,12945950,4845002
67,上地街道_110108022000,116.281652,40.03287,12945940,4844072
68,上地街道_110108022000,116.286327,40.032908,12946463,4844072
69,上地街道_110108022000,116.285764,40.032789,12946400,4844056
70,上地街道_110108022000,116.285179,40.032783,12946334,4844056
71,上地街道_110108022000,116.284594,40.03278,12946269,4844056
72,上地街道_110108022000,116.284008,40.032777,12946203,4844056
73,上地街道_110108022000,116.283423,40.032778,12946138,4844057
74,上地街道_110108022000,116.282837,40.032794,12946072,4844060
75,上地街道_110108022000,116.282252,40.032789,12946007,4844060
76,上地街道_110108022000,116.281709,40.041677,12945946,4845348
77,上地街道_110108022000,116.281655,40.042126,12945940,4845413
78,上地街道_110108022000,116.28163,40.042576,12945937,4845478
79,上地街道_110108022000,116.281709,40.041677,12945946,4845348
80,上地街道_110108022000,116.281709,40.041677,12945946,4845348
81,上地街道_110108022000,116.282285,40.041757,12946010,4845359
82,上地街道_110108022000,116.282858,40.041851,12946074,4845372
83,上地街道_110108022000,116.283431,40.041946,12946138,4845385
84,上地街道_110108022000,116.281745,40.046517,12945950,4846049
85,上地街道_110108022000,116.282317,40.046423,12946014,4846034
86,上地街道_110108022000,116.282356,40.04642,12946018,4846034
87,上地街道_110108022000,116.282713,40.046774,12946058,4846085
88,上地街道_110108022000,116.282362,40.046411,12946019,4846033
89,上地街道_110108022000,116.282362,40.046411,12946019,4846033
90,上地街道_110108022000,116.283974,40.022408,12946200,4842555
91,上地街道_110108022000,116.283756,40.02282,12946176,4842615
92,上地街道_110108022000,116.283648,40.023263,12946164,4842679
93,上地街道_110108022000,116.28354,40.023706,12946152,4842743
94,上地街道_110108022000,116.283432,40.024149,12946139,4842808
95,上地街道_110108022000,116.283325,40.024591,12946127,4842872
96,上地街道_110108022000,116.283217,40.025034,12946115,4842936
97,上地街道_110108022000,116.283109,40.025477,12946103,4843000
98,上地街道_110108022000,116.283002,40.025919,12946091,4843064
99,上地街道_110108022000,116.285104,40.039824,12946325,4845075
