﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,上庄地区_110108030000,116.161469,40.126396,12932583,4857642
1,上庄地区_110108030000,116.161852,40.126055,12932626,4857592
2,上庄地区_110108030000,116.162241,40.125718,12932669,4857543
3,上庄地区_110108030000,116.162678,40.125418,12932718,4857499
4,上庄地区_110108030000,116.16316,40.125169,12932771,4857462
5,上庄地区_110108030000,116.163694,40.124984,12932831,4857434
6,上庄地区_110108030000,116.16412,40.124685,12932878,4857390
7,上庄地区_110108030000,116.164476,40.124327,12932918,4857338
8,上庄地区_110108030000,116.164831,40.123969,12932957,4857285
9,上庄地区_110108030000,116.165187,40.123612,12932997,4857233
10,上庄地区_110108030000,116.165542,40.123254,12933037,4857180
11,上庄地区_110108030000,116.165897,40.122896,12933076,4857128
12,上庄地区_110108030000,116.166253,40.122538,12933116,4857075
13,上庄地区_110108030000,116.161895,40.121358,12932631,4856911
14,上庄地区_110108030000,116.161645,40.120954,12932603,4856853
15,上庄地区_110108030000,116.161659,40.120509,12932604,4856788
16,上庄地区_110108030000,116.161723,40.120366,12932612,4856767
17,上庄地区_110108030000,116.162903,40.120393,12932743,4856770
18,上庄地区_110108030000,116.162345,40.120268,12932681,4856752
19,上庄地区_110108030000,116.162913,40.12129,12932744,4856900
20,上庄地区_110108030000,116.162344,40.12139,12932681,4856915
21,上庄地区_110108030000,116.164167,40.13558,12932882,4858970
22,上庄地区_110108030000,116.163594,40.135481,12932819,4858956
23,上庄地区_110108030000,116.163021,40.135387,12932755,4858944
24,上庄地区_110108030000,116.162448,40.135293,12932691,4858931
25,上庄地区_110108030000,116.162398,40.141228,12932685,4859792
26,上庄地区_110108030000,116.162984,40.141227,12932750,4859791
27,上庄地区_110108030000,116.162903,40.120393,12932743,4856770
28,上庄地区_110108030000,116.16289,40.120844,12932741,4856835
29,上庄地区_110108030000,116.162903,40.120393,12932743,4856770
30,上庄地区_110108030000,116.163467,40.120284,12932806,4856753
31,上庄地区_110108030000,116.164028,40.120367,12932868,4856764
32,上庄地区_110108030000,116.162913,40.12129,12932744,4856900
33,上庄地区_110108030000,116.163485,40.121381,12932808,4856912
34,上庄地区_110108030000,116.16372,40.109232,12932834,4855150
35,上庄地区_110108030000,116.164247,40.109425,12932893,4855177
36,上庄地区_110108030000,116.164783,40.109609,12932952,4855203
37,上庄地区_110108030000,116.165318,40.109793,12933012,4855229
38,上庄地区_110108030000,116.165853,40.109977,12933072,4855254
39,上庄地区_110108030000,116.166388,40.110162,12933131,4855280
40,上庄地区_110108030000,116.166923,40.110346,12933191,4855306
41,上庄地区_110108030000,116.167459,40.11053,12933251,4855332
42,上庄地区_110108030000,116.167994,40.110715,12933310,4855357
43,上庄地区_110108030000,116.168529,40.110899,12933370,4855383
44,上庄地区_110108030000,116.169072,40.111068,12933431,4855406
45,上庄地区_110108030000,116.169617,40.111233,12933491,4855429
46,上庄地区_110108030000,116.170164,40.111395,12933552,4855451
47,上庄地区_110108030000,116.16372,40.109232,12932834,4855150
48,上庄地区_110108030000,116.163533,40.109659,12932813,4855212
49,上庄地区_110108030000,116.163347,40.110086,12932793,4855274
50,上庄地区_110108030000,116.16316,40.110513,12932772,4855337
51,上庄地区_110108030000,116.162974,40.11094,12932751,4855399
52,上庄地区_110108030000,116.162787,40.111367,12932730,4855461
53,上庄地区_110108030000,116.162582,40.111789,12932707,4855523
54,上庄地区_110108030000,116.162379,40.112208,12932685,4855584
55,上庄地区_110108030000,116.162172,40.11263,12932662,4855645
56,上庄地区_110108030000,116.161965,40.113051,12932639,4855706
57,上庄地区_110108030000,116.161758,40.113473,12932616,4855768
58,上庄地区_110108030000,116.161551,40.113894,12932593,4855829
59,上庄地区_110108030000,116.161345,40.114316,12932570,4855891
60,上庄地区_110108030000,116.161149,40.114741,12932548,4855953
61,上庄地区_110108030000,116.160953,40.115165,12932526,4856014
62,上庄地区_110108030000,116.160756,40.11559,12932504,4856076
63,上庄地区_110108030000,116.16056,40.116014,12932482,4856138
