﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东小口地区_110114007000,116.33473,40.105038,12951890,4854448
1,东小口地区_110114007000,116.334677,40.10459,12951884,4854383
2,东小口地区_110114007000,116.334614,40.104143,12951877,4854318
3,东小口地区_110114007000,116.334508,40.1037,12951865,4854254
4,东小口地区_110114007000,116.33441,40.103257,12951855,4854189
5,东小口地区_110114007000,116.334319,40.102812,12951844,4854125
6,东小口地区_110114007000,116.334246,40.102366,12951836,4854060
7,东小口地区_110114007000,116.334223,40.101917,12951834,4853995
8,东小口地区_110114007000,116.334246,40.101467,12951836,4853930
9,东小口地区_110114007000,116.334306,40.10102,12951843,4853865
10,东小口地区_110114007000,116.334418,40.100579,12951855,4853801
11,东小口地区_110114007000,116.334575,40.100145,12951873,4853738
12,东小口地区_110114007000,116.334704,40.099706,12951887,4853675
13,东小口地区_110114007000,116.334804,40.099263,12951898,4853610
14,东小口地区_110114007000,116.334896,40.098818,12951908,4853546
15,东小口地区_110114007000,116.334986,40.098374,12951918,4853482
16,东小口地区_110114007000,116.335074,40.097929,12951928,4853417
17,东小口地区_110114007000,116.335294,40.097516,12951953,4853357
18,东小口地区_110114007000,116.335514,40.097351,12951977,4853333
19,东小口地区_110114007000,116.335514,40.097351,12951977,4853333
20,东小口地区_110114007000,116.335335,40.096976,12951957,4853279
21,东小口地区_110114007000,116.335398,40.09653,12951964,4853214
22,东小口地区_110114007000,116.335498,40.096086,12951975,4853150
23,东小口地区_110114007000,116.335597,40.095643,12951986,4853086
24,东小口地区_110114007000,116.335721,40.095204,12952000,4853022
25,东小口地区_110114007000,116.336029,40.094823,12952035,4852967
26,东小口地区_110114007000,116.335514,40.097351,12951977,4853333
27,东小口地区_110114007000,116.336094,40.097414,12952042,4853343
28,东小口地区_110114007000,116.336679,40.09744,12952107,4853347
29,东小口地区_110114007000,116.337265,40.097466,12952172,4853351
30,东小口地区_110114007000,116.33785,40.097492,12952238,4853355
31,东小口地区_110114007000,116.338431,40.097438,12952302,4853348
32,东小口地区_110114007000,116.336126,40.094742,12952045,4852955
33,东小口地区_110114007000,116.336126,40.094742,12952045,4852955
34,东小口地区_110114007000,116.335958,40.094313,12952027,4852893
35,东小口地区_110114007000,116.335995,40.093865,12952031,4852828
36,东小口地区_110114007000,116.336094,40.093421,12952042,4852764
37,东小口地区_110114007000,116.336194,40.092978,12952053,4852700
38,东小口地区_110114007000,116.336904,40.09272,12952132,4852663
39,东小口地区_110114007000,116.336327,40.092642,12952068,4852651
40,东小口地区_110114007000,116.336272,40.092635,12952061,4852650
41,东小口地区_110114007000,116.336306,40.092574,12952065,4852641
42,东小口地区_110114007000,116.336448,40.092004,12952081,4852559
