﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东辛房街道_110109003000,116.050396,39.928636,12920224,4828989
1,东辛房街道_110109003000,116.049837,39.928509,12920161,4828972
2,东辛房街道_110109003000,116.049263,39.928422,12920097,4828960
3,东辛房街道_110109003000,116.04869,39.928335,12920033,4828948
4,东辛房街道_110109003000,116.048117,39.928247,12919969,4828936
5,东辛房街道_110109003000,116.047554,39.928124,12919906,4828920
6,东辛房街道_110109003000,116.050396,39.928636,12920224,4828989
7,东辛房街道_110109003000,116.050866,39.928904,12920277,4829027
8,东辛房街道_110109003000,116.051317,39.92919,12920327,4829068
9,东辛房街道_110109003000,116.051763,39.929481,12920377,4829109
10,东辛房街道_110109003000,116.053406,39.928314,12920562,4828937
11,东辛房街道_110109003000,116.053942,39.928492,12920622,4828962
12,东辛房街道_110109003000,116.054595,39.928789,12920695,4829003
13,东辛房街道_110109003000,116.05419,39.929114,12920650,4829051
14,东辛房街道_110109003000,116.054595,39.928789,12920695,4829003
15,东辛房街道_110109003000,116.054751,39.928817,12920712,4829007
16,东辛房街道_110109003000,116.054891,39.929411,12920728,4829092
17,东辛房街道_110109003000,116.054844,39.929856,12920723,4829157
18,东辛房街道_110109003000,116.054751,39.928817,12920712,4829007
19,东辛房街道_110109003000,116.054856,39.929261,12920724,4829071
20,东辛房街道_110109003000,116.054751,39.928817,12920712,4829007
21,东辛房街道_110109003000,116.054891,39.929411,12920728,4829092
22,东辛房街道_110109003000,116.055456,39.929529,12920792,4829108
23,东辛房街道_110109003000,116.055742,39.928722,12920824,4828991
24,东辛房街道_110109003000,116.055742,39.928722,12920824,4828991
25,东辛房街道_110109003000,116.056167,39.929032,12920871,4829035
26,东辛房街道_110109003000,116.056281,39.927415,12920884,4828801
27,东辛房街道_110109003000,116.056822,39.927572,12920945,4828822
28,东辛房街道_110109003000,116.056551,39.929311,12920914,4829074
29,东辛房街道_110109003000,116.057852,39.930015,12921060,4829173
30,东辛房街道_110109003000,116.057307,39.930178,12920999,4829198
31,东辛房街道_110109003000,116.057455,39.929682,12921016,4829126
32,东辛房街道_110109003000,116.057019,39.929397,12920967,4829086
33,东辛房街道_110109003000,116.057136,39.928956,12920980,4829022
34,东辛房街道_110109003000,116.057852,39.930015,12921060,4829173
35,东辛房街道_110109003000,116.057455,39.929682,12921016,4829126
36,东辛房街道_110109003000,116.057682,39.929267,12921041,4829066
37,东辛房街道_110109003000,116.057696,39.93102,12921043,4829319
38,东辛房街道_110109003000,116.057751,39.931468,12921049,4829384
39,东辛房街道_110109003000,116.057696,39.93102,12921043,4829319
40,东辛房街道_110109003000,116.05806,39.930667,12921084,4829267
41,东辛房街道_110109003000,116.057852,39.930015,12921060,4829173
42,东辛房街道_110109003000,116.058141,39.930589,12921093,4829256
43,东辛房街道_110109003000,116.057948,39.930163,12921071,4829195
44,东辛房街道_110109003000,116.058598,39.929526,12921144,4829101
45,东辛房街道_110109003000,116.058171,39.929834,12921096,4829146
46,东辛房街道_110109003000,116.058141,39.930589,12921093,4829256
