﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东邵渠镇_110118113000,116.849385,40.300454,13009143,4882855
1,东邵渠镇_110118113000,116.849066,40.300076,13009108,4882799
2,东邵渠镇_110118113000,116.849337,40.302602,13009138,4883167
3,东邵渠镇_110118113000,116.849272,40.302155,13009131,4883102
4,东邵渠镇_110118113000,116.852119,40.298842,13009445,4882626
5,东邵渠镇_110118113000,116.851625,40.2986,13009390,4882590
6,东邵渠镇_110118113000,116.852912,40.300843,13009533,4882919
7,东邵渠镇_110118113000,116.853499,40.300861,13009598,4882923
8,东邵渠镇_110118113000,116.854061,40.300991,13009660,4882943
9,东邵渠镇_110118113000,116.854617,40.301133,13009721,4882965
10,东邵渠镇_110118113000,116.8552,40.301077,13009786,4882958
11,东邵渠镇_110118113000,116.855333,40.301066,13009800,4882957
12,东邵渠镇_110118113000,116.856529,40.301337,13009933,4882998
13,东邵渠镇_110118113000,116.85597,40.301203,13009871,4882978
14,东邵渠镇_110118113000,116.856529,40.301337,13009933,4882998
15,东邵渠镇_110118113000,116.856799,40.301735,13009963,4883057
16,东邵渠镇_110118113000,116.856832,40.301792,13009966,4883065
17,东邵渠镇_110118113000,116.857391,40.30193,13010028,4883086
18,东邵渠镇_110118113000,116.857947,40.302076,13010090,4883108
19,东邵渠镇_110118113000,116.8585,40.30223,13010151,4883132
20,东邵渠镇_110118113000,116.859061,40.302359,13010213,4883151
21,东邵渠镇_110118113000,116.85964,40.302438,13010277,4883164
22,东邵渠镇_110118113000,116.860193,40.30259,13010338,4883187
23,东邵渠镇_110118113000,116.860743,40.302751,13010399,4883211
24,东邵渠镇_110118113000,116.859879,40.316295,13010305,4885180
25,东邵渠镇_110118113000,116.859422,40.316022,13010254,4885140
26,东邵渠镇_110118113000,116.858923,40.315783,13010199,4885104
27,东邵渠镇_110118113000,116.858425,40.315544,13010144,4885069
28,东邵渠镇_110118113000,116.857926,40.315304,13010089,4885033
29,东邵渠镇_110118113000,116.8625,40.304319,13010594,4883442
30,东邵渠镇_110118113000,116.862224,40.303922,13010563,4883384
31,东邵渠镇_110118113000,116.861863,40.303568,13010523,4883332
32,东邵渠镇_110118113000,116.861498,40.303216,13010483,4883280
33,东邵渠镇_110118113000,116.861228,40.311665,13010454,4884509
34,东邵渠镇_110118113000,116.861214,40.311216,13010452,4884443
35,东邵渠镇_110118113000,116.861271,40.310768,13010458,4884378
36,东邵渠镇_110118113000,116.861339,40.310321,13010466,4884313
37,东邵渠镇_110118113000,116.86119,40.309888,13010449,4884250
38,东邵渠镇_110118113000,116.861172,40.309833,13010447,4884242
39,东邵渠镇_110118113000,116.861412,40.309422,13010474,4884183
40,东邵渠镇_110118113000,116.861653,40.309011,13010501,4884123
41,东邵渠镇_110118113000,116.861894,40.308601,13010527,4884064
42,东邵渠镇_110118113000,116.861914,40.313109,13010530,4884720
43,东邵渠镇_110118113000,116.861649,40.31271,13010501,4884661
44,东邵渠镇_110118113000,116.861965,40.308479,13010535,4884046
45,东邵渠镇_110118113000,116.862116,40.308045,13010552,4883983
46,东邵渠镇_110118113000,116.862349,40.307632,13010578,4883923
47,东邵渠镇_110118113000,116.86244,40.307189,13010588,4883859
48,东邵渠镇_110118113000,116.862475,40.30674,13010591,4883794
49,东邵渠镇_110118113000,116.862475,40.30629,13010591,4883728
50,东邵渠镇_110118113000,116.863278,40.314797,13010681,4884967
51,东邵渠镇_110118113000,116.862787,40.315044,13010627,4885003
52,东邵渠镇_110118113000,116.864389,40.314842,13010804,4884975
53,东邵渠镇_110118113000,116.863801,40.314813,13010739,4884970
54,东邵渠镇_110118113000,116.866389,40.31582,13011026,4885119
55,东邵渠镇_110118113000,116.865854,40.315635,13010967,4885092
56,东邵渠镇_110118113000,116.865374,40.315375,13010914,4885054
57,东邵渠镇_110118113000,116.864894,40.315116,13010860,4885015
58,东邵渠镇_110118113000,116.864414,40.314857,13010807,4884977
59,东邵渠镇_110118113000,116.866389,40.31582,13011026,4885119
60,东邵渠镇_110118113000,116.866351,40.316268,13011022,4885184
61,东邵渠镇_110118113000,116.866148,40.31669,13011000,4885246
62,东邵渠镇_110118113000,116.865938,40.317111,13010976,4885307
63,东邵渠镇_110118113000,116.866389,40.31582,13011026,4885119
64,东邵渠镇_110118113000,116.866444,40.315795,13011032,4885116
65,东邵渠镇_110118113000,116.866791,40.315436,13011071,4885064
66,东邵渠镇_110118113000,116.86701,40.315019,13011095,4885003
67,东邵渠镇_110118113000,116.867229,40.314601,13011119,4884943
68,东邵渠镇_110118113000,116.866734,40.309251,13011064,4884164
69,东邵渠镇_110118113000,116.867274,40.309424,13011124,4884189
70,东邵渠镇_110118113000,116.867835,40.309553,13011186,4884208
71,东邵渠镇_110118113000,116.868356,40.309761,13011244,4884239
72,东邵渠镇_110118113000,116.869316,40.312706,13011351,4884668
73,东邵渠镇_110118113000,116.868903,40.313026,13011305,4884714
74,东邵渠镇_110118113000,116.868489,40.313346,13011259,4884761
75,东邵渠镇_110118113000,116.868066,40.313659,13011212,4884806
76,东邵渠镇_110118113000,116.867641,40.31397,13011165,4884851
77,东邵渠镇_110118113000,116.867363,40.314363,13011134,4884908
78,东邵渠镇_110118113000,116.869317,40.312703,13011351,4884668
79,东邵渠镇_110118113000,116.869659,40.312336,13011389,4884614
80,东邵渠镇_110118113000,116.870009,40.269125,13011427,4878331
81,东邵渠镇_110118113000,116.869796,40.268706,13011403,4878270
82,东邵渠镇_110118113000,116.869469,40.268332,13011367,4878215
83,东邵渠镇_110118113000,116.871167,40.309435,13011556,4884193
84,东邵渠镇_110118113000,116.870734,40.309134,13011508,4884149
85,东邵渠镇_110118113000,116.870175,40.308995,13011446,4884129
86,东邵渠镇_110118113000,116.869663,40.308779,13011389,4884097
