﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东铁匠营街道_110106007000,116.394466,39.856599,12958520,4818605
1,东铁匠营街道_110106007000,116.394892,39.856292,12958567,4818561
2,东铁匠营街道_110106007000,116.395162,39.855981,12958597,4818516
3,东铁匠营街道_110106007000,116.395727,39.855879,12958660,4818501
4,东铁匠营街道_110106007000,116.396311,39.855871,12958725,4818500
5,东铁匠营街道_110106007000,116.396894,39.855853,12958790,4818497
6,东铁匠营街道_110106007000,116.397116,39.855811,12958815,4818491
7,东铁匠营街道_110106007000,116.3977,39.855809,12958880,4818490
8,东铁匠营街道_110106007000,116.39844,39.855805,12958963,4818489
9,东铁匠营街道_110106007000,116.397859,39.855799,12958898,4818489
10,东铁匠营街道_110106007000,116.39899,39.855805,12959024,4818489
11,东铁匠营街道_110106007000,116.399611,39.855807,12959093,4818489
12,东铁匠营街道_110106007000,116.399032,39.855798,12959029,4818488
13,东铁匠营街道_110106007000,116.399611,39.855807,12959093,4818489
14,东铁匠营街道_110106007000,116.400195,39.85581,12959159,4818489
15,东铁匠营街道_110106007000,116.400779,39.855808,12959224,4818488
16,东铁匠营街道_110106007000,116.403391,39.856014,12959515,4818515
17,东铁匠营街道_110106007000,116.40285,39.855848,12959455,4818491
18,东铁匠营街道_110106007000,116.402268,39.855828,12959390,4818489
19,东铁匠营街道_110106007000,116.401684,39.85583,12959325,4818490
20,东铁匠营街道_110106007000,116.4011,39.855829,12959260,4818491
21,东铁匠营街道_110106007000,116.403391,39.856014,12959515,4818515
22,东铁匠营街道_110106007000,116.403226,39.856444,12959497,4818577
23,东铁匠营街道_110106007000,116.402859,39.856791,12959456,4818628
24,东铁匠营街道_110106007000,116.402441,39.857105,12959409,4818673
25,东铁匠营街道_110106007000,116.402023,39.85742,12959363,4818719
26,东铁匠营街道_110106007000,116.407941,39.855874,12960023,4818487
27,东铁匠营街道_110106007000,116.407359,39.855833,12959958,4818482
28,东铁匠营街道_110106007000,116.406775,39.855826,12959893,4818482
29,东铁匠营街道_110106007000,116.406191,39.855821,12959828,4818483
30,东铁匠营街道_110106007000,116.405607,39.855819,12959763,4818483
31,东铁匠营街道_110106007000,116.405023,39.855818,12959697,4818484
32,东铁匠营街道_110106007000,116.404439,39.855817,12959632,4818485
33,东铁匠营街道_110106007000,116.403861,39.855873,12959568,4818494
34,东铁匠营街道_110106007000,116.407941,39.855874,12960023,4818487
35,东铁匠营街道_110106007000,116.407948,39.856324,12960024,4818552
36,东铁匠营街道_110106007000,116.407924,39.856774,12960022,4818617
37,东铁匠营街道_110106007000,116.407901,39.857223,12960019,4818682
38,东铁匠营街道_110106007000,116.407879,39.857673,12960017,4818747
39,东铁匠营街道_110106007000,116.407856,39.858123,12960014,4818812
40,东铁匠营街道_110106007000,116.407834,39.858572,12960012,4818877
41,东铁匠营街道_110106007000,116.407811,39.859022,12960009,4818942
42,东铁匠营街道_110106007000,116.407789,39.859472,12960007,4819007
43,东铁匠营街道_110106007000,116.407766,39.859921,12960004,4819072
44,东铁匠营街道_110106007000,116.407941,39.855874,12960023,4818487
45,东铁匠营街道_110106007000,116.408761,39.868706,12960116,4820340
46,东铁匠营街道_110106007000,116.408271,39.868465,12960061,4820306
47,东铁匠营街道_110106007000,116.41108,39.855719,12960374,4818459
48,东铁匠营街道_110106007000,116.410496,39.855713,12960309,4818459
49,东铁匠营街道_110106007000,116.409911,39.855708,12960244,4818460
50,东铁匠营街道_110106007000,116.409327,39.855704,12960178,4818460
51,东铁匠营街道_110106007000,116.408742,39.855703,12960113,4818461
52,东铁匠营街道_110106007000,116.408433,39.852852,12960078,4818050
53,东铁匠营街道_110106007000,116.408197,39.853263,12960052,4818110
54,东铁匠营街道_110106007000,116.40815,39.85371,12960047,4818174
55,东铁匠营街道_110106007000,116.408135,39.85416,12960045,4818239
56,东铁匠营街道_110106007000,116.408124,39.85461,12960044,4818304
57,东铁匠营街道_110106007000,116.408113,39.855061,12960043,4818370
58,东铁匠营街道_110106007000,116.408242,39.855499,12960057,4818433
59,东铁匠营街道_110106007000,116.408433,39.852852,12960078,4818050
60,东铁匠营街道_110106007000,116.408223,39.852434,12960055,4817990
61,东铁匠营街道_110106007000,116.408214,39.851985,12960054,4817925
62,东铁匠营街道_110106007000,116.408232,39.851534,12960056,4817860
