﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,东高村镇_110117101000,117.020929,40.073094,13028279,4849870
1,东高村镇_110117101000,117.021446,40.073304,13028338,4849899
2,东高村镇_110117101000,117.021983,40.073481,13028398,4849923
3,东高村镇_110117101000,117.029037,40.076069,13029192,4850283
4,东高村镇_110117101000,117.028502,40.075884,13029132,4850257
5,东高村镇_110117101000,117.027977,40.075685,13029073,4850229
6,东高村镇_110117101000,117.027452,40.075484,13029014,4850201
7,东高村镇_110117101000,117.02692,40.075294,13028954,4850175
8,东高村镇_110117101000,117.026386,40.075109,13028894,4850149
9,东高村镇_110117101000,117.025852,40.074924,13028833,4850124
10,东高村镇_110117101000,117.025328,40.074722,13028775,4850096
11,东高村镇_110117101000,117.024799,40.074528,13028715,4850069
12,东高村镇_110117101000,117.024271,40.074334,13028656,4850042
13,东高村镇_110117101000,117.023742,40.074141,13028596,4850015
14,东高村镇_110117101000,117.023214,40.073946,13028537,4849988
15,东高村镇_110117101000,117.022688,40.073747,13028477,4849960
16,东高村镇_110117101000,117.022166,40.073543,13028419,4849932
17,东高村镇_110117101000,117.028144,40.077511,13029092,4850494
18,东高村镇_110117101000,117.027661,40.077256,13029037,4850458
19,东高村镇_110117101000,117.02714,40.077051,13028979,4850429
20,东高村镇_110117101000,117.02661,40.076859,13028919,4850403
21,东高村镇_110117101000,117.02608,40.076667,13028859,4850376
22,东高村镇_110117101000,117.02555,40.076475,13028800,4850349
23,东高村镇_110117101000,117.02502,40.076283,13028740,4850323
24,东高村镇_110117101000,117.02449,40.076091,13028680,4850296
25,东高村镇_110117101000,117.025339,40.088445,13028777,4852085
26,东高村镇_110117101000,117.025555,40.088027,13028802,4852024
27,东高村镇_110117101000,117.025847,40.087638,13028834,4851967
28,东高村镇_110117101000,117.026161,40.087258,13028870,4851911
29,东高村镇_110117101000,117.026448,40.086865,13028902,4851854
30,东高村镇_110117101000,117.026712,40.086464,13028932,4851795
31,东高村镇_110117101000,117.026927,40.086045,13028956,4851734
