﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,中仓街道_110112001000,116.651087,39.897709,12987050,4824482
1,中仓街道_110112001000,116.651608,39.897507,12987108,4824451
2,中仓街道_110112001000,116.652127,39.897301,12987166,4824421
3,中仓街道_110112001000,116.652039,39.900106,12987156,4824826
4,中仓街道_110112001000,116.652089,39.900348,12987162,4824861
5,中仓街道_110112001000,116.652089,39.900348,12987162,4824861
6,中仓街道_110112001000,116.652149,39.900797,12987168,4824926
7,中仓街道_110112001000,116.652196,39.901245,12987174,4824991
8,中仓街道_110112001000,116.652237,39.901695,12987178,4825055
9,中仓街道_110112001000,116.652295,39.902143,12987185,4825120
10,中仓街道_110112001000,116.652308,39.902593,12987186,4825185
11,中仓街道_110112001000,116.652275,39.903042,12987182,4825250
12,中仓街道_110112001000,116.652234,39.903492,12987178,4825315
13,中仓街道_110112001000,116.652192,39.903941,12987173,4825380
14,中仓街道_110112001000,116.652142,39.90439,12987167,4825445
15,中仓街道_110112001000,116.652092,39.904839,12987162,4825510
16,中仓街道_110112001000,116.652043,39.905288,12987156,4825575
17,中仓街道_110112001000,116.651991,39.905736,12987150,4825640
18,中仓街道_110112001000,116.651938,39.906185,12987144,4825705
19,中仓街道_110112001000,116.651841,39.906629,12987133,4825769
20,中仓街道_110112001000,116.651996,39.906931,12987151,4825813
21,中仓街道_110112001000,116.652577,39.906983,12987216,4825819
22,中仓街道_110112001000,116.653155,39.907042,12987281,4825826
23,中仓街道_110112001000,116.653734,39.907102,12987346,4825834
24,中仓街道_110112001000,116.654317,39.907137,12987411,4825838
25,中仓街道_110112001000,116.6549,39.907172,12987477,4825842
26,中仓街道_110112001000,116.655477,39.907209,12987541,4825846
27,中仓街道_110112001000,116.656054,39.907226,12987606,4825847
28,中仓街道_110112001000,116.656638,39.907246,12987672,4825849
29,中仓街道_110112001000,116.657223,39.907266,12987737,4825850
30,中仓街道_110112001000,116.657807,39.907286,12987803,4825852
31,中仓街道_110112001000,116.658391,39.907306,12987868,4825853
32,中仓街道_110112001000,116.658976,39.907326,12987934,4825855
33,中仓街道_110112001000,116.65956,39.907347,12988000,4825857
34,中仓街道_110112001000,116.660144,39.907368,12988065,4825858
35,中仓街道_110112001000,116.660729,39.907389,12988131,4825860
36,中仓街道_110112001000,116.661313,39.90741,12988197,4825862
37,中仓街道_110112001000,116.661897,39.907431,12988262,4825863
38,中仓街道_110112001000,116.662482,39.907452,12988328,4825865
39,中仓街道_110112001000,116.663066,39.907473,12988394,4825867
40,中仓街道_110112001000,116.66365,39.907494,12988459,4825868
41,中仓街道_110112001000,116.664235,39.907514,12988525,4825870
42,中仓街道_110112001000,116.664819,39.907534,12988590,4825871
43,中仓街道_110112001000,116.665403,39.907553,12988656,4825873
44,中仓街道_110112001000,116.665988,39.907573,12988722,4825874
45,中仓街道_110112001000,116.666572,39.907593,12988787,4825876
46,中仓街道_110112001000,116.667157,39.907612,12988853,4825877
47,中仓街道_110112001000,116.667741,39.907632,12988919,4825878
48,中仓街道_110112001000,116.668325,39.907652,12988984,4825880
49,中仓街道_110112001000,116.668907,39.907699,12989050,4825885
50,中仓街道_110112001000,116.669482,39.907779,12989114,4825896
51,中仓街道_110112001000,116.670032,39.907928,12989176,4825916
52,中仓街道_110112001000,116.670576,39.908095,12989237,4825939
53,中仓街道_110112001000,116.671088,39.908308,12989294,4825969
54,中仓街道_110112001000,116.671561,39.908572,12989348,4826006
55,中仓街道_110112001000,116.672007,39.908863,12989398,4826047
56,中仓街道_110112001000,116.672453,39.909154,12989448,4826088
57,中仓街道_110112001000,116.672907,39.909439,12989499,4826128
58,中仓街道_110112001000,116.673358,39.909721,12989549,4826168
59,中仓街道_110112001000,116.673804,39.910011,12989599,4826209
60,中仓街道_110112001000,116.674294,39.910253,12989654,4826243
61,中仓街道_110112001000,116.674814,39.910457,12989713,4826271
62,中仓街道_110112001000,116.675345,39.910645,12989772,4826297
63,中仓街道_110112001000,116.675877,39.910832,12989832,4826323
64,中仓街道_110112001000,116.676407,39.911022,12989891,4826350
65,中仓街道_110112001000,116.676935,39.911217,12989951,4826377
66,中仓街道_110112001000,116.677463,39.91141,12990010,4826404
67,中仓街道_110112001000,116.677986,39.911612,12990068,4826432
68,中仓街道_110112001000,116.678528,39.911775,12990129,4826455
69,中仓街道_110112001000,116.679086,39.91191,12990192,4826474
70,中仓街道_110112001000,116.679645,39.912044,12990254,4826492
71,中仓街道_110112001000,116.680203,39.912179,12990317,4826511
72,中仓街道_110112001000,116.680761,39.912313,12990380,4826529
73,中仓街道_110112001000,116.681312,39.912462,12990441,4826550
74,中仓街道_110112001000,116.681827,39.912675,12990499,4826580
75,中仓街道_110112001000,116.682342,39.912889,12990557,4826610
76,中仓街道_110112001000,116.682857,39.913102,12990614,4826641
77,中仓街道_110112001000,116.683373,39.913316,12990672,4826671
78,中仓街道_110112001000,116.683888,39.913529,12990730,4826701
79,中仓街道_110112001000,116.684403,39.913742,12990787,4826731
80,中仓街道_110112001000,116.684892,39.913813,12990842,4826741
81,中仓街道_110112001000,116.685307,39.913496,12990889,4826695
82,中仓街道_110112001000,116.685722,39.91318,12990935,4826649
83,中仓街道_110112001000,116.686136,39.912862,12990981,4826603
84,中仓街道_110112001000,116.686486,39.912506,12991021,4826551
85,中仓街道_110112001000,116.686779,39.912116,12991053,4826494
86,中仓街道_110112001000,116.687073,39.911727,12991086,4826438
87,中仓街道_110112001000,116.687367,39.911337,12991119,4826381
88,中仓街道_110112001000,116.687661,39.910948,12991152,4826325
89,中仓街道_110112001000,116.687957,39.910559,12991185,4826269
90,中仓街道_110112001000,116.688263,39.910175,12991220,4826213
91,中仓街道_110112001000,116.688569,39.909791,12991254,4826157
92,中仓街道_110112001000,116.688888,39.909414,12991290,4826103
93,中仓街道_110112001000,116.68924,39.909054,12991329,4826050
94,中仓街道_110112001000,116.689593,39.908695,12991368,4825998
95,中仓街道_110112001000,116.689945,39.908335,12991408,4825946
96,中仓街道_110112001000,116.690298,39.907976,12991447,4825894
97,中仓街道_110112001000,116.690685,39.90771,12991491,4825856
98,中仓街道_110112001000,116.691231,39.907871,12991552,4825879
99,中仓街道_110112001000,116.691777,39.908032,12991613,4825902
100,中仓街道_110112001000,116.692324,39.908194,12991674,4825926
101,中仓街道_110112001000,116.69287,39.908355,12991735,4825949
102,中仓街道_110112001000,116.693394,39.908506,12991793,4825971
103,中仓街道_110112001000,116.69394,39.908667,12991854,4825994
104,中仓街道_110112001000,116.694486,39.908829,12991915,4826018
105,中仓街道_110112001000,116.695032,39.90899,12991976,4826041
106,中仓街道_110112001000,116.695578,39.909151,12992037,4826065
107,中仓街道_110112001000,116.695577,39.908786,12992037,4826012
108,中仓街道_110112001000,116.695491,39.90834,12992027,4825947
109,中仓街道_110112001000,116.695405,39.907895,12992018,4825883
110,中仓街道_110112001000,116.695279,39.90747,12992003,4825822
111,中仓街道_110112001000,116.694905,39.907124,12991962,4825771
112,中仓街道_110112001000,116.694532,39.906777,12991920,4825721
113,中仓街道_110112001000,116.694159,39.90643,12991879,4825671
114,中仓街道_110112001000,116.693685,39.906172,12991826,4825633
115,中仓街道_110112001000,116.693189,39.905932,12991770,4825599
