﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.265826,39.686173,12944171,4793983
1,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.266383,39.686291,12944233,4794000
2,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.266964,39.686318,12944298,4794005
3,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.267545,39.686346,12944362,4794010
4,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.268127,39.686373,12944427,4794014
5,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.268701,39.686434,12944491,4794023
6,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.265826,39.686173,12944171,4793983
7,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.265763,39.685728,12944164,4793919
8,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.265821,39.68528,12944171,4793854
9,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.26588,39.684832,12944177,4793790
10,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.265938,39.684384,12944184,4793725
11,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.266054,39.683945,12944197,4793662
12,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.266181,39.683746,12944211,4793633
13,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.266761,39.683792,12944275,4793641
14,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.267342,39.683826,12944340,4793646
15,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.267923,39.68386,12944404,4793652
16,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.268503,39.683894,12944469,4793657
17,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.269083,39.683934,12944533,4793663
18,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.266552,39.681248,12944252,4793274
19,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.266331,39.681663,12944227,4793334
20,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.26626,39.68211,12944220,4793398
21,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.266194,39.682557,12944212,4793462
22,中关村国家自主创新示范区大兴生物医药产业基地_110115404000,116.266127,39.683004,12944205,4793526
