﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,九渡河镇_110116109000,116.284111,40.395972,12946219,4896807
1,九渡河镇_110116109000,116.283955,40.395538,12946202,4896744
2,九渡河镇_110116109000,116.283831,40.395098,12946188,4896680
3,九渡河镇_110116109000,116.284292,40.397685,12946240,4897056
4,九渡河镇_110116109000,116.284442,40.398121,12946256,4897120
5,九渡河镇_110116109000,116.284496,40.398274,12946262,4897142
6,九渡河镇_110116109000,116.284982,40.398529,12946317,4897179
7,九渡河镇_110116109000,116.284996,40.413578,12946318,4899371
8,九渡河镇_110116109000,116.285373,40.413238,12946360,4899321
9,九渡河镇_110116109000,116.285333,40.398683,12946356,4897201
10,九渡河镇_110116109000,116.285905,40.398789,12946420,4897215
11,九渡河镇_110116109000,116.286557,40.409741,12946493,4898810
12,九渡河镇_110116109000,116.287137,40.409665,12946558,4898798
13,九渡河镇_110116109000,116.287724,40.409634,12946623,4898792
14,九渡河镇_110116109000,116.288186,40.399172,12946675,4897268
15,九渡河镇_110116109000,116.288315,40.398733,12946690,4897203
16,九渡河镇_110116109000,116.288443,40.398294,12946704,4897139
17,九渡河镇_110116109000,116.288497,40.397846,12946710,4897074
18,九渡河镇_110116109000,116.28853,40.397397,12946714,4897008
19,九渡河镇_110116109000,116.288546,40.396947,12946716,4896943
20,九渡河镇_110116109000,116.288559,40.396872,12946717,4896932
21,九渡河镇_110116109000,116.289531,40.396251,12946826,4896840
22,九渡河镇_110116109000,116.289032,40.396488,12946770,4896875
23,九渡河镇_110116109000,116.288892,40.412877,12946754,4899263
24,九渡河镇_110116109000,116.288744,40.412442,12946738,4899200
25,九渡河镇_110116109000,116.288896,40.411224,12946755,4899022
26,九渡河镇_110116109000,116.289207,40.410841,12946790,4898966
27,九渡河镇_110116109000,116.288892,40.412877,12946754,4899263
28,九渡河镇_110116109000,116.289167,40.407384,12946785,4898462
29,九渡河镇_110116109000,116.289671,40.40715,12946841,4898427
30,九渡河镇_110116109000,116.289531,40.396251,12946826,4896840
31,九渡河镇_110116109000,116.289685,40.395817,12946843,4896776
32,九渡河镇_110116109000,116.290146,40.413504,12946895,4899352
33,九渡河镇_110116109000,116.28963,40.413297,12946837,4899323
34,九渡河镇_110116109000,116.288766,40.474946,12946745,4908313
35,九渡河镇_110116109000,116.288724,40.474499,12946740,4908248
36,九渡河镇_110116109000,116.290799,40.39506,12946968,4896664
37,九渡河镇_110116109000,116.290273,40.395259,12946909,4896694
38,九渡河镇_110116109000,116.290518,40.385436,12946937,4895263
39,九渡河镇_110116109000,116.290192,40.385061,12946901,4895209
40,九渡河镇_110116109000,116.290146,40.413504,12946895,4899352
41,九渡河镇_110116109000,116.291267,40.389543,12947021,4895860
42,九渡河镇_110116109000,116.29103,40.389132,12946994,4895801
43,九渡河镇_110116109000,116.290786,40.388724,12946967,4895742
44,九渡河镇_110116109000,116.290447,40.388356,12946929,4895689
45,九渡河镇_110116109000,116.290431,40.388338,12946927,4895686
46,九渡河镇_110116109000,116.29062,40.387912,12946949,4895624
47,九渡河镇_110116109000,116.290985,40.387562,12946990,4895572
48,九渡河镇_110116109000,116.291379,40.387227,12947034,4895522
49,九渡河镇_110116109000,116.290426,40.41063,12946926,4898933
50,九渡河镇_110116109000,116.290582,40.410198,12946944,4898870
51,九渡河镇_110116109000,116.290799,40.39506,12946968,4896664
52,九渡河镇_110116109000,116.290955,40.394628,12946986,4896601
53,九渡河镇_110116109000,116.290988,40.394181,12946989,4896536
54,九渡河镇_110116109000,116.290977,40.393731,12946988,4896470
55,九渡河镇_110116109000,116.290664,40.413339,12946953,4899327
56,九渡河镇_110116109000,116.29234,40.412805,12947141,4899246
57,九渡河镇_110116109000,116.291795,40.412976,12947080,4899272
58,九渡河镇_110116109000,116.291237,40.413115,12947017,4899293
59,九渡河镇_110116109000,116.29071,40.413313,12946958,4899323
60,九渡河镇_110116109000,116.290987,40.393666,12946989,4896461
61,九渡河镇_110116109000,116.291169,40.393418,12947010,4896424
62,九渡河镇_110116109000,116.291651,40.39316,12947064,4896386
63,九渡河镇_110116109000,116.292105,40.392875,12947115,4896343
64,九渡河镇_110116109000,116.292529,40.392562,12947162,4896297
65,九渡河镇_110116109000,116.291267,40.389543,12947021,4895860
66,九渡河镇_110116109000,116.291738,40.389813,12947074,4895898
