﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,于家务回族乡_110112209000,116.669265,39.681541,12989086,4793243
1,于家务回族乡_110112209000,116.668682,39.68155,12989020,4793245
2,于家务回族乡_110112209000,116.6681,39.681532,12988955,4793244
3,于家务回族乡_110112209000,116.667518,39.681538,12988889,4793246
4,于家务回族乡_110112209000,116.666936,39.681553,12988824,4793250
5,于家务回族乡_110112209000,116.666354,39.681563,12988759,4793252
6,于家务回族乡_110112209000,116.665772,39.681572,12988693,4793255
7,于家务回族乡_110112209000,116.665189,39.681569,12988628,4793256
8,于家务回族乡_110112209000,116.664607,39.681565,12988563,4793257
9,于家务回族乡_110112209000,116.664024,39.681561,12988497,4793258
10,于家务回族乡_110112209000,116.663442,39.681569,12988432,4793260
11,于家务回族乡_110112209000,116.663808,39.67558,12988473,4792397
12,于家务回族乡_110112209000,116.664356,39.675731,12988535,4792417
13,于家务回族乡_110112209000,116.664911,39.675866,12988597,4792435
14,于家务回族乡_110112209000,116.665487,39.675935,12988662,4792444
15,于家务回族乡_110112209000,116.666063,39.676005,12988726,4792452
16,于家务回族乡_110112209000,116.666639,39.676074,12988791,4792461
17,于家务回族乡_110112209000,116.667215,39.676143,12988856,4792470
18,于家务回族乡_110112209000,116.667791,39.676212,12988920,4792478
19,于家务回族乡_110112209000,116.668366,39.676282,12988985,4792487
20,于家务回族乡_110112209000,116.66894,39.676359,12989049,4792497
21,于家务回族乡_110112209000,116.664698,39.686898,12988573,4794025
22,于家务回族乡_110112209000,116.66528,39.686877,12988638,4794021
23,于家务回族乡_110112209000,116.665862,39.686856,12988703,4794016
24,于家务回族乡_110112209000,116.666445,39.686843,12988769,4794013
25,于家务回族乡_110112209000,116.667027,39.68683,12988834,4794010
26,于家务回族乡_110112209000,116.66761,39.686817,12988900,4794007
27,于家务回族乡_110112209000,116.668192,39.686804,12988965,4794003
28,于家务回族乡_110112209000,116.668775,39.686792,12989031,4794000
29,于家务回族乡_110112209000,116.669232,39.678952,12989082,4792870
30,于家务回族乡_110112209000,116.66865,39.678933,12989017,4792868
31,于家务回族乡_110112209000,116.668079,39.678842,12988953,4792856
32,于家务回族乡_110112209000,116.66751,39.678745,12988889,4792844
33,于家务回族乡_110112209000,116.666943,39.678644,12988825,4792830
34,于家务回族乡_110112209000,116.666375,39.678542,12988761,4792817
35,于家务回族乡_110112209000,116.665808,39.678441,12988698,4792804
36,于家务回族乡_110112209000,116.666002,39.684656,12988719,4793699
37,于家务回族乡_110112209000,116.666024,39.684206,12988722,4793634
38,于家务回族乡_110112209000,116.666071,39.683759,12988727,4793570
39,于家务回族乡_110112209000,116.666178,39.683551,12988739,4793539
40,于家务回族乡_110112209000,116.666178,39.683551,12988739,4793539
41,于家务回族乡_110112209000,116.666743,39.683454,12988802,4793524
42,于家务回族乡_110112209000,116.667325,39.683434,12988868,4793520
43,于家务回族乡_110112209000,116.667907,39.683413,12988933,4793515
44,于家务回族乡_110112209000,116.66849,39.683393,12988999,4793511
45,于家务回族乡_110112209000,116.669072,39.683393,12989064,4793510
46,于家务回族乡_110112209000,116.677294,39.717374,12989989,4798392
47,于家务回族乡_110112209000,116.676711,39.71738,12989924,4798394
48,于家务回族乡_110112209000,116.676128,39.717392,12989858,4798396
49,于家务回族乡_110112209000,116.675545,39.717404,12989793,4798399
50,于家务回族乡_110112209000,116.674963,39.717417,12989728,4798402
51,于家务回族乡_110112209000,116.67438,39.717429,12989662,4798405
52,于家务回族乡_110112209000,116.673797,39.717441,12989597,4798408
53,于家务回族乡_110112209000,116.673214,39.717453,12989531,4798411
54,于家务回族乡_110112209000,116.672631,39.717465,12989466,4798414
55,于家务回族乡_110112209000,116.672049,39.717477,12989401,4798417
56,于家务回族乡_110112209000,116.671466,39.717489,12989335,4798420
57,于家务回族乡_110112209000,116.670883,39.717495,12989270,4798422
58,于家务回族乡_110112209000,116.670299,39.7175,12989204,4798424
59,于家务回族乡_110112209000,116.669716,39.717505,12989139,4798426
60,于家务回族乡_110112209000,116.669133,39.71751,12989073,4798428
61,于家务回族乡_110112209000,116.66855,39.717516,12989008,4798430
62,于家务回族乡_110112209000,116.667967,39.717524,12988942,4798433
63,于家务回族乡_110112209000,116.667383,39.717533,12988877,4798435
64,于家务回族乡_110112209000,116.6668,39.717541,12988811,4798438
65,于家务回族乡_110112209000,116.669445,39.677394,12989106,4792645
66,于家务回族乡_110112209000,116.669316,39.676959,12989092,4792582
67,于家务回族乡_110112209000,116.66925,39.676513,12989084,4792518
68,于家务回族乡_110112209000,116.669232,39.678952,12989082,4792870
69,于家务回族乡_110112209000,116.669614,39.679291,12989125,4792918
