﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,五里坨街道_110107010000,116.110103,39.958481,12926894,4833249
1,五里坨街道_110107010000,116.110663,39.958351,12926956,4833231
2,五里坨街道_110107010000,116.111184,39.958155,12927014,4833203
3,五里坨街道_110107010000,116.111649,39.957881,12927065,4833165
4,五里坨街道_110107010000,116.111176,39.957698,12927013,4833137
5,五里坨街道_110107010000,116.111748,39.957825,12927076,4833157
6,五里坨街道_110107010000,116.11181,39.95776,12927083,4833148
7,五里坨街道_110107010000,116.111771,39.95771,12927079,4833140
8,五里坨街道_110107010000,116.111613,39.957278,12927061,4833077
9,五里坨街道_110107010000,116.111608,39.956829,12927061,4833012
10,五里坨街道_110107010000,116.111712,39.956387,12927072,4832949
11,五里坨街道_110107010000,116.111782,39.956023,12927080,4832896
12,五里坨街道_110107010000,116.111886,39.95558,12927091,4832832
13,五里坨街道_110107010000,116.111771,39.95771,12927079,4833140
14,五里坨街道_110107010000,116.11181,39.95776,12927083,4833148
15,五里坨街道_110107010000,116.112394,39.957755,12927148,4833148
16,五里坨街道_110107010000,116.11296,39.957643,12927210,4833133
17,五里坨街道_110107010000,116.111944,39.955335,12927098,4832797
18,五里坨街道_110107010000,116.111943,39.95514,12927097,4832769
19,五里坨街道_110107010000,116.11209,39.954704,12927114,4832706
20,五里坨街道_110107010000,116.112259,39.954274,12927132,4832644
21,五里坨街道_110107010000,116.112436,39.954079,12927152,4832616
22,五里坨街道_110107010000,116.112609,39.953752,12927171,4832569
23,五里坨街道_110107010000,116.112609,39.953752,12927171,4832569
24,五里坨街道_110107010000,116.112898,39.953361,12927203,4832513
25,五里坨街道_110107010000,116.112736,39.97,12927187,4834921
26,五里坨街道_110107010000,116.113313,39.969925,12927251,4834911
27,五里坨街道_110107010000,116.113896,39.96995,12927315,4834916
28,五里坨街道_110107010000,116.114461,39.970062,12927378,4834934
29,五里坨街道_110107010000,116.112974,39.95764,12927212,4833133
30,五里坨街道_110107010000,116.113519,39.957805,12927272,4833158
31,五里坨街道_110107010000,116.114058,39.95798,12927332,4833184
32,五里坨街道_110107010000,116.113151,39.953153,12927231,4832484
33,五里坨街道_110107010000,116.113149,39.952718,12927231,4832421
34,五里坨街道_110107010000,116.113401,39.952313,12927258,4832363
35,五里坨街道_110107010000,116.113151,39.953153,12927231,4832484
36,五里坨街道_110107010000,116.113675,39.953349,12927289,4832513
37,五里坨街道_110107010000,116.114072,39.953678,12927333,4832562
38,五里坨街道_110107010000,116.114446,39.954025,12927374,4832613
39,五里坨街道_110107010000,116.114818,39.954373,12927415,4832664
40,五里坨街道_110107010000,116.115186,39.954723,12927456,4832715
41,五里坨街道_110107010000,116.113895,39.951789,12927313,4832288
42,五里坨街道_110107010000,116.113573,39.952162,12927277,4832341
43,五里坨街道_110107010000,116.113551,39.958904,12927276,4833317
44,五里坨街道_110107010000,116.113633,39.959346,12927285,4833381
45,五里坨街道_110107010000,116.11382,39.959772,12927306,4833443
46,五里坨街道_110107010000,116.113551,39.958904,12927276,4833317
47,五里坨街道_110107010000,116.113928,39.958559,12927317,4833268
48,五里坨街道_110107010000,116.114257,39.958187,12927354,4833215
49,五里坨街道_110107010000,116.113895,39.951789,12927313,4832288
50,五里坨街道_110107010000,116.114246,39.951429,12927352,4832237
51,五里坨街道_110107010000,116.114021,39.948365,12927327,4831793
52,五里坨街道_110107010000,116.114459,39.948069,12927375,4831751
53,五里坨街道_110107010000,116.114122,39.970578,12927340,4835008
54,五里坨街道_110107010000,116.114547,39.970268,12927387,4834964
55,五里坨街道_110107010000,116.114859,39.958032,12927420,4833194
