﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,亚运村街道_110105009000,116.370445,39.992363,12955854,4838201
1,亚运村街道_110105009000,116.369864,39.992419,12955790,4838208
2,亚运村街道_110105009000,116.370445,39.992363,12955854,4838201
3,亚运村街道_110105009000,116.370832,39.992199,12955897,4838178
4,亚运村街道_110105009000,116.371342,39.991978,12955954,4838148
5,亚运村街道_110105009000,116.371224,39.990551,12955941,4837941
6,亚运村街道_110105009000,116.371346,39.990992,12955954,4838005
7,亚运村街道_110105009000,116.371538,39.991416,12955976,4838067
8,亚运村街道_110105009000,116.371224,39.990551,12955941,4837941
9,亚运村街道_110105009000,116.371305,39.990108,12955950,4837877
10,亚运村街道_110105009000,116.371976,39.990207,12956024,4837893
11,亚运村街道_110105009000,116.371415,39.990079,12955962,4837873
12,亚运村街道_110105009000,116.371963,39.989279,12956023,4837759
13,亚运村街道_110105009000,116.371571,39.989613,12955979,4837806
14,亚运村街道_110105009000,116.371336,39.990022,12955953,4837865
15,亚运村街道_110105009000,116.371409,39.991942,12955961,4838143
16,亚运村街道_110105009000,116.371721,39.991796,12955996,4838122
17,亚运村街道_110105009000,116.372173,39.992081,12956046,4838165
18,亚运村街道_110105009000,116.371721,39.991796,12955996,4838122
19,亚运村街道_110105009000,116.372178,39.99143,12956046,4838071
20,亚运村街道_110105009000,116.373426,39.989758,12956185,4837832
21,亚运村街道_110105009000,116.372928,39.989522,12956130,4837796
22,亚运村街道_110105009000,116.372377,39.989373,12956069,4837773
23,亚运村街道_110105009000,116.371963,39.989279,12956023,4837759
24,亚运村街道_110105009000,116.37183,39.988842,12956008,4837695
25,亚运村街道_110105009000,116.371879,39.988395,12956013,4837631
26,亚运村街道_110105009000,116.372015,39.987958,12956028,4837568
27,亚运村街道_110105009000,116.372039,39.987884,12956031,4837557
28,亚运村街道_110105009000,116.372186,39.98745,12956047,4837495
29,亚运村街道_110105009000,116.372497,39.987071,12956082,4837440
30,亚运村街道_110105009000,116.373423,39.990172,12956185,4837892
