﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,交道口街道_110101003000,116.390688,39.939398,12958097,4830571
1,交道口街道_110101003000,116.391273,39.93941,12958162,4830573
2,交道口街道_110101003000,116.391858,39.939417,12958227,4830574
3,交道口街道_110101003000,116.392439,39.939454,12958292,4830580
4,交道口街道_110101003000,116.391683,39.934756,12958207,4829900
5,交道口街道_110101003000,116.391099,39.934778,12958142,4829903
6,交道口街道_110101003000,116.390976,39.934091,12958129,4829804
7,交道口街道_110101003000,116.391361,39.93443,12958172,4829853
8,交道口街道_110101003000,116.391005,39.935981,12958132,4830077
9,交道口街道_110101003000,116.391132,39.936421,12958146,4830141
10,交道口街道_110101003000,116.391005,39.935981,12958132,4830077
11,交道口街道_110101003000,116.391189,39.935556,12958153,4830016
12,交道口街道_110101003000,116.39169,39.937471,12958208,4830293
13,交道口街道_110101003000,116.391273,39.937786,12958162,4830338
14,交道口街道_110101003000,116.391249,39.936795,12958159,4830195
15,交道口街道_110101003000,116.39168,39.937099,12958207,4830239
16,交道口街道_110101003000,116.391739,39.935064,12958214,4829945
17,交道口街道_110101003000,116.391467,39.932655,12958183,4829596
18,交道口街道_110101003000,116.391578,39.932217,12958196,4829533
19,交道口街道_110101003000,116.391611,39.932164,12958199,4829525
20,交道口街道_110101003000,116.391683,39.934756,12958207,4829900
21,交道口街道_110101003000,116.391679,39.93471,12958207,4829893
22,交道口街道_110101003000,116.392095,39.934393,12958253,4829848
23,交道口街道_110101003000,116.392595,39.934164,12958309,4829815
24,交道口街道_110101003000,116.393176,39.934172,12958374,4829816
25,交道口街道_110101003000,116.391752,39.935023,12958215,4829939
26,交道口街道_110101003000,116.39169,39.937471,12958208,4830293
27,交道口街道_110101003000,116.391987,39.937859,12958241,4830349
28,交道口街道_110101003000,116.39169,39.937471,12958208,4830293
29,交道口街道_110101003000,116.391739,39.935064,12958214,4829945
30,交道口街道_110101003000,116.392087,39.935426,12958252,4829997
31,交道口街道_110101003000,116.391752,39.935023,12958215,4829939
32,交道口街道_110101003000,116.391752,39.935023,12958215,4829939
33,交道口街道_110101003000,116.392336,39.934998,12958280,4829935
34,交道口街道_110101003000,116.39292,39.934974,12958345,4829932
35,交道口街道_110101003000,116.393495,39.934904,12958409,4829922
36,交道口街道_110101003000,116.393053,39.936958,12958360,4830219
37,交道口街道_110101003000,116.39247,39.937002,12958295,4830225
38,交道口街道_110101003000,116.391908,39.93712,12958233,4830242
39,交道口街道_110101003000,116.391912,39.93205,12958233,4829509
40,交道口街道_110101003000,116.392496,39.932041,12958298,4829508
41,交道口街道_110101003000,116.39219,39.935532,12958264,4830012
42,交道口街道_110101003000,116.392672,39.935784,12958318,4830049
43,交道口街道_110101003000,116.392719,39.935804,12958323,4830052
44,交道口街道_110101003000,116.393172,39.936089,12958373,4830093
