﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,仁和地区_110113003000,116.624032,40.079662,12984031,4850823
1,仁和地区_110113003000,116.624071,40.079218,12984035,4850759
2,仁和地区_110113003000,116.626201,40.081728,12984272,4851126
3,仁和地区_110113003000,116.62671,40.081505,12984329,4851094
4,仁和地区_110113003000,116.626744,40.081487,12984332,4851091
5,仁和地区_110113003000,116.627256,40.081358,12984389,4851073
6,仁和地区_110113003000,116.627256,40.081358,12984389,4851073
7,仁和地区_110113003000,116.627813,40.081222,12984451,4851054
8,仁和地区_110113003000,116.632968,40.080925,12985026,4851015
9,仁和地区_110113003000,116.632442,40.081121,12984967,4851043
10,仁和地区_110113003000,116.631863,40.081175,12984902,4851051
11,仁和地区_110113003000,116.631277,40.081174,12984837,4851050
12,仁和地区_110113003000,116.630691,40.081173,12984772,4851050
13,仁和地区_110113003000,116.630105,40.081179,12984707,4851050
14,仁和地区_110113003000,116.629519,40.081188,12984641,4851051
15,仁和地区_110113003000,116.628933,40.081203,12984576,4851053
16,仁和地区_110113003000,116.628348,40.081226,12984511,4851055
17,仁和地区_110113003000,116.632968,40.080925,12985026,4851015
18,仁和地区_110113003000,116.632748,40.08051,12985001,4850955
19,仁和地区_110113003000,116.632359,40.080176,12984958,4850906
20,仁和地区_110113003000,116.632968,40.080925,12985026,4851015
21,仁和地区_110113003000,116.633314,40.081023,12985064,4851029
22,仁和地区_110113003000,116.633898,40.081056,12985129,4851034
23,仁和地区_110113003000,116.634481,40.081092,12985194,4851039
24,仁和地区_110113003000,116.635067,40.081093,12985260,4851040
25,仁和地区_110113003000,116.635653,40.081094,12985325,4851040
26,仁和地区_110113003000,116.636239,40.081094,12985390,4851040
27,仁和地区_110113003000,116.636825,40.081095,12985456,4851040
28,仁和地区_110113003000,116.637411,40.081096,12985521,4851040
29,仁和地区_110113003000,116.637997,40.081096,12985587,4851040
30,仁和地区_110113003000,116.638582,40.081095,12985652,4851039
31,仁和地区_110113003000,116.639168,40.081094,12985718,4851039
32,仁和地区_110113003000,116.639754,40.081092,12985783,4851038
33,仁和地区_110113003000,116.64034,40.081091,12985849,4851038
34,仁和地区_110113003000,116.640926,40.08109,12985914,4851037
35,仁和地区_110113003000,116.641511,40.081088,12985980,4851037
36,仁和地区_110113003000,116.642097,40.081087,12986045,4851036
37,仁和地区_110113003000,116.642683,40.081085,12986111,4851035
38,仁和地区_110113003000,116.643269,40.081084,12986176,4851034
39,仁和地区_110113003000,116.643842,40.081007,12986240,4851023
40,仁和地区_110113003000,116.64434,40.080772,12986296,4850988
41,仁和地区_110113003000,116.643035,40.078741,12986150,4850695
42,仁和地区_110113003000,116.642462,40.078825,12986086,4850708
43,仁和地区_110113003000,116.641877,40.078842,12986020,4850711
44,仁和地区_110113003000,116.644558,40.080196,12986320,4850904
45,仁和地区_110113003000,116.643977,40.080136,12986255,4850896
46,仁和地区_110113003000,116.643397,40.080067,12986190,4850887
47,仁和地区_110113003000,116.642819,40.079999,12986126,4850878
48,仁和地区_110113003000,116.642243,40.079914,12986061,4850866
49,仁和地区_110113003000,116.643035,40.078741,12986150,4850695
50,仁和地区_110113003000,116.643507,40.079002,12986203,4850732
51,仁和地区_110113003000,116.644046,40.079179,12986263,4850757
52,仁和地区_110113003000,116.64324,40.078014,12986173,4850589
53,仁和地区_110113003000,116.643107,40.07845,12986158,4850653
54,仁和地区_110113003000,116.643243,40.076531,12986173,4850374
55,仁和地区_110113003000,116.643172,40.076975,12986165,4850439
56,仁和地区_110113003000,116.643261,40.078001,12986175,4850587
57,仁和地区_110113003000,116.643198,40.077553,12986168,4850523
