﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,体育馆路街道_110101015000,116.41143,39.886511,12960413,4822907
1,体育馆路街道_110101015000,116.411438,39.886958,12960414,4822971
2,体育馆路街道_110101015000,116.411659,39.887371,12960439,4823031
3,体育馆路街道_110101015000,116.412052,39.887703,12960483,4823078
4,体育馆路街道_110101015000,116.413107,39.886213,12960601,4822860
5,体育馆路街道_110101015000,116.412526,39.886171,12960536,4822855
6,体育馆路街道_110101015000,116.411953,39.886248,12960472,4822868
7,体育馆路街道_110101015000,116.411462,39.886487,12960417,4822903
8,体育馆路街道_110101015000,116.412213,39.887801,12960501,4823092
9,体育馆路街道_110101015000,116.412527,39.889074,12960536,4823275
10,体育馆路街道_110101015000,116.412406,39.888634,12960522,4823211
11,体育馆路街道_110101015000,116.412374,39.888184,12960519,4823146
12,体育馆路街道_110101015000,116.413316,39.886962,12960624,4822968
13,体育馆路街道_110101015000,116.412927,39.887299,12960581,4823017
14,体育馆路街道_110101015000,116.412561,39.88765,12960540,4823069
15,体育馆路街道_110101015000,116.412468,39.889896,12960529,4823394
16,体育馆路街道_110101015000,116.412729,39.890297,12960558,4823451
17,体育馆路街道_110101015000,116.412874,39.890733,12960575,4823514
18,体育馆路街道_110101015000,116.413059,39.891135,12960595,4823571
19,体育馆路街道_110101015000,116.413427,39.891484,12960636,4823621
20,体育馆路街道_110101015000,116.412527,39.889074,12960536,4823275
21,体育馆路街道_110101015000,116.412461,39.88952,12960529,4823339
22,体育馆路街道_110101015000,116.412527,39.889074,12960536,4823275
23,体育馆路街道_110101015000,116.413112,39.889091,12960601,4823276
24,体育馆路街道_110101015000,116.413692,39.889137,12960666,4823281
25,体育馆路街道_110101015000,116.414259,39.889234,12960730,4823294
26,体育馆路街道_110101015000,116.414843,39.889244,12960795,4823294
27,体育馆路街道_110101015000,116.415411,39.889342,12960858,4823307
28,体育馆路街道_110101015000,116.415969,39.889477,12960921,4823325
29,体育馆路街道_110101015000,116.416527,39.889612,12960983,4823343
30,体育馆路街道_110101015000,116.41316,39.886432,12960607,4822892
31,体育馆路街道_110101015000,116.413107,39.886213,12960601,4822860
32,体育馆路街道_110101015000,116.413316,39.886962,12960624,4822968
33,体育馆路街道_110101015000,116.413187,39.886523,12960610,4822905
34,体育馆路街道_110101015000,116.413316,39.886962,12960624,4822968
35,体育馆路街道_110101015000,116.413867,39.887112,12960686,4822988
36,体育馆路街道_110101015000,116.413343,39.885869,12960627,4822810
37,体育馆路街道_110101015000,116.41388,39.885417,12960688,4822743
38,体育馆路街道_110101015000,116.416468,39.885351,12960977,4822727
39,体育馆路街道_110101015000,116.41599,39.885609,12960924,4822766
40,体育馆路街道_110101015000,116.41545,39.885777,12960863,4822791
41,体育馆路街道_110101015000,116.414871,39.885782,12960798,4822794
42,体育馆路街道_110101015000,116.414334,39.885607,12960738,4822770
43,体育馆路街道_110101015000,116.41388,39.885417,12960688,4822743
44,体育馆路街道_110101015000,116.414088,39.884996,12960711,4822682
45,体育馆路街道_110101015000,116.414393,39.884613,12960745,4822626
46,体育馆路街道_110101015000,116.413968,39.891609,12960697,4823638
47,体育馆路街道_110101015000,116.414541,39.89154,12960761,4823626
48,体育馆路街道_110101015000,116.415063,39.891338,12960819,4823596
49,体育馆路街道_110101015000,116.415568,39.887702,12960876,4823069
50,体育馆路街道_110101015000,116.415016,39.887552,12960814,4823049
51,体育馆路街道_110101015000,116.414472,39.88739,12960754,4823027
52,体育馆路街道_110101015000,116.414505,39.884517,12960758,4822612
53,体育馆路街道_110101015000,116.415134,39.882926,12960828,4822380
54,体育馆路街道_110101015000,116.414722,39.883246,12960782,4822428
55,体育馆路街道_110101015000,116.414341,39.883574,12960739,4822476
56,体育馆路街道_110101015000,116.414307,39.88402,12960735,4822540
57,体育馆路街道_110101015000,116.414477,39.884451,12960754,4822602
58,体育馆路街道_110101015000,116.415645,39.884546,12960885,4822613
59,体育馆路街道_110101015000,116.415061,39.884521,12960820,4822611
60,体育馆路街道_110101015000,116.414626,39.882066,12960771,4822257
61,体育馆路街道_110101015000,116.415009,39.882407,12960814,4822306
62,体育馆路街道_110101015000,116.414626,39.882066,12960771,4822257
63,体育馆路街道_110101015000,116.414618,39.881617,12960770,4822192
64,体育馆路街道_110101015000,116.414638,39.881167,12960773,4822127
65,体育馆路街道_110101015000,116.414658,39.880717,12960775,4822062
66,体育馆路街道_110101015000,116.414678,39.880267,12960777,4821997
67,体育馆路街道_110101015000,116.414723,39.879819,12960782,4821932
68,体育馆路街道_110101015000,116.415137,39.8913,12960828,4823590
69,体育馆路街道_110101015000,116.414709,39.890993,12960780,4823547
70,体育馆路街道_110101015000,116.414757,39.879718,12960786,4821918
71,体育馆路街道_110101015000,116.415099,39.879353,12960824,4821864
72,体育馆路街道_110101015000,116.414888,39.872185,12960801,4820829
73,体育馆路街道_110101015000,116.415403,39.872397,12960858,4820858
74,体育馆路街道_110101015000,116.41493,39.878851,12960805,4821792
75,体育馆路街道_110101015000,116.415541,39.876774,12960874,4821490
76,体育馆路街道_110101015000,116.415169,39.877121,12960832,4821542
77,体育馆路街道_110101015000,116.414899,39.87752,12960802,4821600
78,体育馆路街道_110101015000,116.414783,39.877959,12960789,4821664
79,体育馆路街道_110101015000,116.414775,39.878409,12960788,4821729
80,体育馆路街道_110101015000,116.416815,39.874607,12961016,4821174
81,体育馆路街道_110101015000,116.416262,39.874473,12960954,4821156
