﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,光明街道_110113002000,116.650708,40.142045,12987010,4859863
1,光明街道_110113002000,116.650952,40.142454,12987037,4859922
2,光明街道_110113002000,116.651231,40.139326,12987069,4859468
3,光明街道_110113002000,116.650978,40.139728,12987040,4859527
4,光明街道_110113002000,116.650905,40.140174,12987032,4859592
5,光明街道_110113002000,116.650836,40.140621,12987024,4859657
6,光明街道_110113002000,116.650767,40.141068,12987017,4859722
7,光明街道_110113002000,116.650698,40.141515,12987009,4859787
8,光明街道_110113002000,116.650684,40.141963,12987007,4859852
9,光明街道_110113002000,116.650718,40.143034,12987011,4860007
10,光明街道_110113002000,116.65097,40.142628,12987039,4859948
11,光明街道_110113002000,116.650959,40.129066,12987039,4857981
12,光明街道_110113002000,116.650924,40.129513,12987035,4858046
13,光明街道_110113002000,116.651145,40.128818,12987060,4857945
14,光明街道_110113002000,116.650987,40.128591,12987042,4857912
15,光明街道_110113002000,116.651361,40.12508,12987085,4857402
16,光明街道_110113002000,116.651184,40.125506,12987065,4857464
17,光明街道_110113002000,116.651151,40.125955,12987061,4857529
18,光明街道_110113002000,116.651118,40.126404,12987057,4857595
19,光明街道_110113002000,116.651085,40.126854,12987054,4857660
20,光明街道_110113002000,116.651047,40.127302,12987049,4857725
21,光明街道_110113002000,116.651006,40.127751,12987045,4857790
22,光明街道_110113002000,116.65096,40.1282,12987039,4857855
23,光明街道_110113002000,116.651061,40.129931,12987051,4858106
24,光明街道_110113002000,116.650976,40.130374,12987041,4858171
25,光明街道_110113002000,116.651024,40.130822,12987046,4858235
26,光明街道_110113002000,116.651268,40.131228,12987074,4858294
27,光明街道_110113002000,116.651649,40.13157,12987116,4858343
28,光明街道_110113002000,116.651873,40.129917,12987142,4858103
29,光明街道_110113002000,116.651287,40.129927,12987076,4858105
30,光明街道_110113002000,116.651026,40.142539,12987046,4859935
31,光明街道_110113002000,116.652122,40.128822,12987170,4857943
32,光明街道_110113002000,116.651535,40.128825,12987104,4857945
33,光明街道_110113002000,116.651389,40.125052,12987088,4857398
34,光明街道_110113002000,116.651256,40.124616,12987073,4857335
35,光明街道_110113002000,116.651261,40.12455,12987074,4857326
36,光明街道_110113002000,116.651304,40.124101,12987078,4857260
37,光明街道_110113002000,116.651231,40.139326,12987069,4859468
38,光明街道_110113002000,116.651547,40.138175,12987104,4859301
39,光明街道_110113002000,116.651216,40.138545,12987067,4859355
40,光明街道_110113002000,116.651116,40.138984,12987056,4859419
41,光明街道_110113002000,116.651389,40.125052,12987088,4857398
42,光明街道_110113002000,116.651389,40.125052,12987088,4857398
43,光明街道_110113002000,116.651972,40.12504,12987153,4857395
44,光明街道_110113002000,116.6525,40.124846,12987213,4857366
