﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,八宝山街道_110107001000,116.223242,39.905813,12939462,4825596
1,八宝山街道_110107001000,116.222814,39.90612,12939414,4825640
2,八宝山街道_110107001000,116.223243,39.904311,12939462,4825379
3,八宝山街道_110107001000,116.223104,39.904745,12939446,4825441
4,八宝山街道_110107001000,116.223077,39.905195,12939443,4825506
5,八宝山街道_110107001000,116.223159,39.905639,12939452,4825571
6,八宝山街道_110107001000,116.223243,39.904311,12939462,4825379
7,八宝山街道_110107001000,116.223043,39.90389,12939440,4825318
8,八宝山街道_110107001000,116.223054,39.903441,12939441,4825253
9,八宝山街道_110107001000,116.223128,39.902995,12939449,4825188
10,八宝山街道_110107001000,116.223243,39.904311,12939462,4825379
11,八宝山街道_110107001000,116.22382,39.90424,12939526,4825369
12,八宝山街道_110107001000,116.223242,39.905813,12939462,4825596
13,八宝山街道_110107001000,116.223811,39.905909,12939525,4825610
14,八宝山街道_110107001000,116.223365,39.902626,12939475,4825135
15,八宝山街道_110107001000,116.223949,39.902644,12939540,4825139
16,八宝山街道_110107001000,116.224525,39.902581,12939604,4825130
17,八宝山街道_110107001000,116.225053,39.90239,12939663,4825103
18,八宝山街道_110107001000,116.223903,39.895936,12939536,4824169
19,八宝山街道_110107001000,116.223739,39.896365,12939518,4824231
20,八宝山街道_110107001000,116.223696,39.896814,12939513,4824296
21,八宝山街道_110107001000,116.223652,39.897263,12939508,4824361
22,八宝山街道_110107001000,116.223609,39.897711,12939503,4824426
23,八宝山街道_110107001000,116.223566,39.89816,12939498,4824490
24,八宝山街道_110107001000,116.223522,39.898609,12939493,4824555
25,八宝山街道_110107001000,116.223479,39.899057,12939488,4824620
26,八宝山街道_110107001000,116.223434,39.899506,12939483,4824685
27,八宝山街道_110107001000,116.223391,39.899955,12939479,4824750
28,八宝山街道_110107001000,116.223348,39.900403,12939474,4824814
29,八宝山街道_110107001000,116.223304,39.900852,12939469,4824879
30,八宝山街道_110107001000,116.223261,39.901301,12939464,4824944
31,八宝山街道_110107001000,116.223217,39.901749,12939459,4825009
32,八宝山街道_110107001000,116.223189,39.902198,12939456,4825073
33,八宝山街道_110107001000,116.224157,39.895691,12939564,4824134
34,八宝山街道_110107001000,116.224362,39.89381,12939587,4823863
35,八宝山街道_110107001000,116.2241,39.893409,12939558,4823804
36,八宝山街道_110107001000,116.22405,39.892964,12939552,4823740
37,八宝山街道_110107001000,116.224114,39.892517,12939559,4823676
38,八宝山街道_110107001000,116.224157,39.895691,12939564,4824134
39,八宝山街道_110107001000,116.22474,39.895719,12939628,4824139
40,八宝山街道_110107001000,116.224362,39.89381,12939587,4823863
41,八宝山街道_110107001000,116.224025,39.894176,12939549,4823915
42,八宝山街道_110107001000,116.223884,39.894608,12939534,4823977
43,八宝山街道_110107001000,116.223858,39.895058,12939531,4824042
44,八宝山街道_110107001000,116.223996,39.895492,12939546,4824105
45,八宝山街道_110107001000,116.224362,39.89381,12939587,4823863
46,八宝山街道_110107001000,116.228498,39.905688,12940044,4825585
47,八宝山街道_110107001000,116.228038,39.905965,12939993,4825624
48,八宝山街道_110107001000,116.227492,39.906123,12939932,4825646
49,八宝山街道_110107001000,116.22691,39.906138,12939868,4825648
