﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,八达岭镇_110119102000,115.903458,40.356575,12903835,4891040
1,八达岭镇_110119102000,115.904043,40.356627,12903900,4891049
2,八达岭镇_110119102000,115.904628,40.35667,12903965,4891056
3,八达岭镇_110119102000,115.905214,40.356714,12904030,4891063
4,八达岭镇_110119102000,115.905799,40.356761,12904095,4891070
5,八达岭镇_110119102000,115.906384,40.35681,12904160,4891078
6,八达岭镇_110119102000,115.906969,40.35686,12904225,4891086
7,八达岭镇_110119102000,115.907554,40.35691,12904290,4891094
8,八达岭镇_110119102000,115.908133,40.356859,12904354,4891087
9,八达岭镇_110119102000,115.908649,40.356646,12904412,4891056
10,八达岭镇_110119102000,115.908883,40.355515,12904438,4890892
11,八达岭镇_110119102000,115.908511,40.355166,12904396,4890841
12,八达岭镇_110119102000,115.908954,40.356331,12904446,4891011
13,八达岭镇_110119102000,115.908852,40.355888,12904434,4890946
14,八达岭镇_110119102000,115.908883,40.355515,12904438,4890892
15,八达岭镇_110119102000,115.909396,40.355296,12904495,4890860
16,八达岭镇_110119102000,115.909969,40.35521,12904558,4890848
17,八达岭镇_110119102000,115.908918,40.356489,12904442,4891034
18,八达岭镇_110119102000,115.909324,40.356814,12904487,4891081
19,八达岭镇_110119102000,115.909831,40.357037,12904543,4891114
20,八达岭镇_110119102000,115.908954,40.356331,12904446,4891011
21,八达岭镇_110119102000,115.908954,40.356331,12904446,4891011
22,八达岭镇_110119102000,115.909535,40.356255,12904510,4891000
23,八达岭镇_110119102000,115.910114,40.356211,12904575,4890994
24,八达岭镇_110119102000,115.910589,40.356477,12904627,4891033
25,八达岭镇_110119102000,115.911006,40.356683,12904674,4891063
26,八达岭镇_110119102000,115.911482,40.357005,12904727,4891110
27,八达岭镇_110119102000,115.911296,40.356724,12904706,4891069
28,八达岭镇_110119102000,115.911465,40.356294,12904725,4891007
29,八达岭镇_110119102000,115.911594,40.357036,12904739,4891115
30,八达岭镇_110119102000,115.913409,40.357378,12904941,4891165
31,八达岭镇_110119102000,115.912821,40.357373,12904876,4891164
32,八达岭镇_110119102000,115.912238,40.357318,12904811,4891156
33,八达岭镇_110119102000,115.911717,40.357114,12904753,4891126
34,八达岭镇_110119102000,115.913267,40.353017,12904925,4890530
35,八达岭镇_110119102000,115.913045,40.35343,12904901,4890590
36,八达岭镇_110119102000,115.912966,40.353876,12904892,4890655
37,八达岭镇_110119102000,115.912887,40.354322,12904883,4890720
38,八达岭镇_110119102000,115.912808,40.354768,12904874,4890785
39,八达岭镇_110119102000,115.913267,40.353017,12904925,4890530
40,八达岭镇_110119102000,115.913849,40.35308,12904990,4890540
41,八达岭镇_110119102000,115.914428,40.353163,12905055,4890552
42,八达岭镇_110119102000,115.913434,40.351857,12904944,4890361
43,八达岭镇_110119102000,115.913236,40.352278,12904922,4890423
44,八达岭镇_110119102000,115.913186,40.352726,12904916,4890488
45,八达岭镇_110119102000,115.913434,40.351857,12904944,4890361
46,八达岭镇_110119102000,115.914018,40.351857,12905009,4890361
47,八达岭镇_110119102000,115.914583,40.351978,12905072,4890379
48,八达岭镇_110119102000,115.915071,40.352225,12905126,4890415
49,八达岭镇_110119102000,115.913425,40.357383,12904943,4891166
50,八达岭镇_110119102000,115.913425,40.357383,12904943,4891166
51,八达岭镇_110119102000,115.914011,40.35742,12905008,4891171
52,八达岭镇_110119102000,115.914597,40.357459,12905073,4891177
53,八达岭镇_110119102000,115.914234,40.354802,12905033,4890790
54,八达岭镇_110119102000,115.914357,40.354361,12905047,4890726
55,八达岭镇_110119102000,115.914479,40.353921,12905060,4890662
56,八达岭镇_110119102000,115.914593,40.353479,12905073,4890598
57,八达岭镇_110119102000,115.915019,40.353021,12905120,4890531
58,八达岭镇_110119102000,115.914706,40.357466,12905086,4891178
59,八达岭镇_110119102000,115.915293,40.357463,12905151,4891177
