﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,八里庄街道_110105015000,116.471924,39.910641,12967147,4826319
1,八里庄街道_110105015000,116.472078,39.909755,12967164,4826191
2,八里庄街道_110105015000,116.47192,39.910185,12967146,4826253
3,八里庄街道_110105015000,116.471925,39.910731,12967147,4826332
4,八里庄街道_110105015000,116.472407,39.912287,12967200,4826558
5,八里庄街道_110105015000,116.472075,39.911918,12967163,4826504
6,八里庄街道_110105015000,116.471934,39.911485,12967148,4826441
7,八里庄街道_110105015000,116.471925,39.911035,12967147,4826376
8,八里庄街道_110105015000,116.472078,39.909755,12967164,4826191
9,八里庄街道_110105015000,116.472663,39.909745,12967228,4826191
10,八里庄街道_110105015000,116.472078,39.909755,12967164,4826191
11,八里庄街道_110105015000,116.471911,39.909326,12967146,4826129
12,八里庄街道_110105015000,116.4719,39.908876,12967144,4826064
13,八里庄街道_110105015000,116.471894,39.908426,12967144,4825999
14,八里庄街道_110105015000,116.471913,39.907977,12967146,4825934
15,八里庄街道_110105015000,116.472138,39.907564,12967171,4825875
16,八里庄街道_110105015000,116.472226,39.907468,12967180,4825861
17,八里庄街道_110105015000,116.472237,39.919263,12967181,4827566
18,八里庄街道_110105015000,116.472084,39.918832,12967164,4827504
19,八里庄街道_110105015000,116.472072,39.918382,12967163,4827438
20,八里庄街道_110105015000,116.47206,39.917932,12967161,4827373
21,八里庄街道_110105015000,116.472048,39.917482,12967160,4827308
22,八里庄街道_110105015000,116.472036,39.917032,12967159,4827243
23,八里庄街道_110105015000,116.472024,39.916582,12967158,4827178
24,八里庄街道_110105015000,116.472012,39.916132,12967156,4827113
25,八里庄街道_110105015000,116.472,39.915682,12967155,4827048
26,八里庄街道_110105015000,116.471988,39.915232,12967154,4826983
27,八里庄街道_110105015000,116.47199,39.914782,12967154,4826918
28,八里庄街道_110105015000,116.472178,39.914358,12967175,4826857
29,八里庄街道_110105015000,116.472407,39.912287,12967200,4826558
30,八里庄街道_110105015000,116.472075,39.912656,12967163,4826611
31,八里庄街道_110105015000,116.471936,39.91309,12967148,4826673
32,八里庄街道_110105015000,116.471925,39.91354,12967147,4826738
33,八里庄街道_110105015000,116.471975,39.913987,12967152,4826803
34,八里庄街道_110105015000,116.472197,39.91433,12967177,4826853
35,八里庄街道_110105015000,116.47278,39.914292,12967241,4826849
36,八里庄街道_110105015000,116.473364,39.914274,12967306,4826847
37,八里庄街道_110105015000,116.473949,39.914255,12967370,4826845
38,八里庄街道_110105015000,116.474533,39.914236,12967434,4826844
39,八里庄街道_110105015000,116.474324,39.920961,12967411,4827815
40,八里庄街道_110105015000,116.47374,39.920979,12967347,4827817
41,八里庄街道_110105015000,116.473155,39.920976,12967282,4827815
42,八里庄街道_110105015000,116.472572,39.920956,12967218,4827811
43,八里庄街道_110105015000,116.472237,39.919263,12967181,4827566
44,八里庄街道_110105015000,116.472107,39.919699,12967167,4827629
45,八里庄街道_110105015000,116.472119,39.920149,12967168,4827694
