﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,六里桥街道_110106008000,116.226009,39.88805,12939770,4823033
1,六里桥街道_110106008000,116.225749,39.88765,12939741,4822975
2,六里桥街道_110106008000,116.225882,39.888153,12939756,4823047
3,六里桥街道_110106008000,116.226089,39.888574,12939779,4823109
4,六里桥街道_110106008000,116.226355,39.88895,12939808,4823163
5,六里桥街道_110106008000,116.226823,39.888785,12939860,4823140
6,六里桥街道_110106008000,116.22726,39.888486,12939908,4823098
7,六里桥街道_110106008000,116.227789,39.888326,12939967,4823075
8,六里桥街道_110106008000,116.228373,39.888308,12940031,4823074
9,六里桥街道_110106008000,116.228957,39.888319,12940096,4823076
10,六里桥街道_110106008000,116.229013,39.887906,12940102,4823017
11,六里桥街道_110106008000,116.229024,39.887456,12940104,4822952
12,六里桥街道_110106008000,116.228945,39.887029,12940095,4822890
13,六里桥街道_110106008000,116.228895,39.886584,12940089,4822825
14,六里桥街道_110106008000,116.228891,39.886134,12940089,4822760
15,六里桥街道_110106008000,116.229288,39.885961,12940133,4822736
16,六里桥街道_110106008000,116.22987,39.885916,12940197,4822731
17,六里桥街道_110106008000,116.230453,39.885879,12940262,4822726
18,六里桥街道_110106008000,116.231037,39.885865,12940326,4822726
19,六里桥街道_110106008000,116.230925,39.885538,12940314,4822678
20,六里桥街道_110106008000,116.230671,39.885135,12940286,4822619
21,六里桥街道_110106008000,116.230671,39.884684,12940286,4822554
22,六里桥街道_110106008000,116.230671,39.884234,12940286,4822489
23,六里桥街道_110106008000,116.230672,39.883783,12940286,4822424
24,六里桥街道_110106008000,116.230673,39.883333,12940286,4822359
25,六里桥街道_110106008000,116.230673,39.882882,12940286,4822294
26,六里桥街道_110106008000,116.230434,39.882615,12940260,4822255
27,六里桥街道_110106008000,116.22985,39.882611,12940195,4822253
28,六里桥街道_110106008000,116.229265,39.882607,12940131,4822252
29,六里桥街道_110106008000,116.228948,39.882403,12940096,4822222
30,六里桥街道_110106008000,116.228981,39.881972,12940099,4822159
31,六里桥街道_110106008000,116.228975,39.881522,12940099,4822094
32,六里桥街道_110106008000,116.228973,39.881072,12940098,4822029
33,六里桥街道_110106008000,116.228416,39.881107,12940037,4822033
34,六里桥街道_110106008000,116.227833,39.881082,12939972,4822029
35,六里桥街道_110106008000,116.227248,39.881087,12939907,4822029
36,六里桥街道_110106008000,116.226664,39.881091,12939843,4822028
37,六里桥街道_110106008000,116.226079,39.881096,12939778,4822028
38,六里桥街道_110106008000,116.225607,39.881182,12939726,4822040
39,六里桥街道_110106008000,116.225601,39.881632,12939725,4822105
40,六里桥街道_110106008000,116.225582,39.882082,12939723,4822170
41,六里桥街道_110106008000,116.225562,39.882533,12939721,4822235
42,六里桥街道_110106008000,116.225542,39.882983,12939718,4822300
43,六里桥街道_110106008000,116.225523,39.883433,12939716,4822365
44,六里桥街道_110106008000,116.225503,39.883883,12939714,4822430
45,六里桥街道_110106008000,116.225483,39.884333,12939712,4822495
46,六里桥街道_110106008000,116.225464,39.884784,12939710,4822560
47,六里桥街道_110106008000,116.225445,39.885234,12939708,4822625
48,六里桥街道_110106008000,116.225426,39.885684,12939705,4822690
49,六里桥街道_110106008000,116.225407,39.886134,12939703,4822755
50,六里桥街道_110106008000,116.225388,39.886585,12939701,4822820
51,六里桥街道_110106008000,116.225369,39.887035,12939699,4822885
52,六里桥街道_110106008000,116.225554,39.887461,12939719,4822947
53,六里桥街道_110106008000,116.22575,39.887886,12939741,4823009
54,六里桥街道_110106008000,116.226009,39.88805,12939770,4823033
55,六里桥街道_110106008000,116.226009,39.88805,12939770,4823033
56,六里桥街道_110106008000,116.226577,39.888149,12939833,4823048
57,六里桥街道_110106008000,116.227156,39.888208,12939897,4823057
58,六里桥街道_110106008000,116.238821,39.862754,12941188,4819404
59,六里桥街道_110106008000,116.238838,39.863204,12941190,4819469
60,六里桥街道_110106008000,116.238854,39.863654,12941191,4819534
61,六里桥街道_110106008000,116.238872,39.864104,12941193,4819599
62,六里桥街道_110106008000,116.238821,39.862754,12941188,4819404
63,六里桥街道_110106008000,116.239247,39.862446,12941235,4819361
64,六里桥街道_110106008000,116.239712,39.862185,12941286,4819324
65,六里桥街道_110106008000,116.238955,39.864366,12941203,4819637
66,六里桥街道_110106008000,116.241474,39.864497,12941481,4819663
67,六里桥街道_110106008000,116.24089,39.864484,12941416,4819659
68,六里桥街道_110106008000,116.240306,39.864483,12941352,4819658
69,六里桥街道_110106008000,116.239721,39.86448,12941287,4819656
70,六里桥街道_110106008000,116.239885,39.85376,12941305,4818107
71,六里桥街道_110106008000,116.240392,39.853539,12941361,4818077
72,六里桥街道_110106008000,116.240071,39.862108,12941326,4819314
73,六里桥街道_110106008000,116.240638,39.862211,12941389,4819330
74,六里桥街道_110106008000,116.240457,39.853161,12941368,4818022
75,六里桥街道_110106008000,116.240253,39.852741,12941345,4817961
76,六里桥街道_110106008000,116.240248,39.852294,12941345,4817896
77,六里桥街道_110106008000,116.24041,39.851862,12941363,4817834
78,六里桥街道_110106008000,116.240457,39.853161,12941368,4818022
79,六里桥街道_110106008000,116.240693,39.853358,12941394,4818051
80,六里桥街道_110106008000,116.24072,39.862239,12941398,4819334
81,六里桥街道_110106008000,116.240939,39.853407,12941421,4818059
82,六里桥街道_110106008000,116.241144,39.853828,12941444,4818120
83,六里桥街道_110106008000,116.241924,39.853332,12941530,4818051
84,六里桥街道_110106008000,116.241342,39.853337,12941466,4818050
85,六里桥街道_110106008000,116.240871,39.875072,12941414,4821189
86,六里桥街道_110106008000,116.241436,39.875176,12941477,4821205
87,六里桥街道_110106008000,116.241047,39.874136,12941434,4821054
88,六里桥街道_110106008000,116.240861,39.874559,12941413,4821115
89,六里桥街道_110106008000,116.240851,39.875006,12941412,4821179
90,六里桥街道_110106008000,116.241295,39.862486,12941461,4819372
91,六里桥街道_110106008000,116.241047,39.874136,12941434,4821054
92,六里桥街道_110106008000,116.24162,39.874222,12941497,4821068
93,六里桥街道_110106008000,116.241047,39.874136,12941434,4821054
94,六里桥街道_110106008000,116.241082,39.873689,12941438,4820990
95,六里桥街道_110106008000,116.241194,39.873247,12941450,4820926
96,六里桥街道_110106008000,116.241397,39.872857,12941473,4820870
97,六里桥街道_110106008000,116.241295,39.862486,12941461,4819372
98,六里桥街道_110106008000,116.241579,39.862879,12941493,4819429
99,六里桥街道_110106008000,116.241411,39.869068,12941474,4820323
100,六里桥街道_110106008000,116.241506,39.869508,12941485,4820387
101,六里桥街道_110106008000,116.241498,39.869959,12941484,4820452
102,六里桥街道_110106008000,116.241488,39.870409,12941483,4820517
103,六里桥街道_110106008000,116.241604,39.870846,12941496,4820580
104,六里桥街道_110106008000,116.241411,39.869068,12941474,4820323
105,六里桥街道_110106008000,116.241419,39.868618,12941475,4820258
106,六里桥街道_110106008000,116.241472,39.868171,12941481,4820193
107,六里桥街道_110106008000,116.241474,39.864497,12941481,4819663
108,六里桥街道_110106008000,116.241486,39.864947,12941482,4819728
109,六里桥街道_110106008000,116.241477,39.865398,12941481,4819793
110,六里桥街道_110106008000,116.241469,39.865848,12941481,4819858
111,六里桥街道_110106008000,116.241489,39.866297,12941483,4819923
112,六里桥街道_110106008000,116.241474,39.864497,12941481,4819663
113,六里桥街道_110106008000,116.241884,39.863228,12941526,4819480
114,六里桥街道_110106008000,116.241612,39.863625,12941496,4819537
115,六里桥街道_110106008000,116.241505,39.864065,12941484,4819600
116,六里桥街道_110106008000,116.241488,39.864485,12941483,4819661
