﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,兴谷街道_110117002000,117.089187,40.145303,13035899,4860366
1,兴谷街道_110117002000,117.089169,40.145752,13035897,4860431
2,兴谷街道_110117002000,117.08915,40.146202,13035895,4860496
3,兴谷街道_110117002000,117.089132,40.146652,13035893,4860561
4,兴谷街道_110117002000,117.089113,40.147102,13035891,4860626
5,兴谷街道_110117002000,117.089094,40.147552,13035889,4860692
6,兴谷街道_110117002000,117.089087,40.148001,13035888,4860757
7,兴谷街道_110117002000,117.089244,40.148397,13035905,4860815
8,兴谷街道_110117002000,117.089821,40.148461,13035969,4860825
9,兴谷街道_110117002000,117.090408,40.148466,13036034,4860828
10,兴谷街道_110117002000,117.090994,40.14847,13036099,4860830
11,兴谷街道_110117002000,117.091336,40.144167,13036137,4860206
12,兴谷街道_110117002000,117.091918,40.144201,13036202,4860213
13,兴谷街道_110117002000,117.092084,40.148323,13036220,4860811
14,兴谷街道_110117002000,117.092084,40.148323,13036220,4860811
15,兴谷街道_110117002000,117.092612,40.148514,13036278,4860840
16,兴谷街道_110117002000,117.093188,40.148589,13036342,4860852
17,兴谷街道_110117002000,117.093774,40.148601,13036407,4860855
18,兴谷街道_110117002000,117.094357,40.148571,13036472,4860852
19,兴谷街道_110117002000,117.092234,40.1443,13036237,4860228
20,兴谷街道_110117002000,117.092223,40.14475,13036236,4860293
21,兴谷街道_110117002000,117.092212,40.1452,13036234,4860358
22,兴谷街道_110117002000,117.0922,40.14565,13036233,4860424
23,兴谷街道_110117002000,117.092189,40.1461,13036232,4860489
24,兴谷街道_110117002000,117.092178,40.14655,13036230,4860554
25,兴谷街道_110117002000,117.092166,40.147,13036229,4860619
26,兴谷街道_110117002000,117.092155,40.14745,13036228,4860685
27,兴谷街道_110117002000,117.092144,40.1479,13036227,4860750
28,兴谷街道_110117002000,117.092234,40.1443,13036237,4860228
29,兴谷街道_110117002000,117.0928,40.144191,13036299,4860213
30,兴谷街道_110117002000,117.094823,40.144261,13036524,4860228
31,兴谷街道_110117002000,117.094259,40.144149,13036461,4860211
32,兴谷街道_110117002000,117.093672,40.144143,13036396,4860209
33,兴谷街道_110117002000,117.094641,40.148504,13036503,4860843
34,兴谷街道_110117002000,117.094641,40.148504,13036503,4860843
35,兴谷街道_110117002000,117.094656,40.148054,13036505,4860778
36,兴谷街道_110117002000,117.094679,40.147604,13036507,4860713
37,兴谷街道_110117002000,117.094711,40.147154,13036511,4860648
38,兴谷街道_110117002000,117.094745,40.146705,13036515,4860583
39,兴谷街道_110117002000,117.094767,40.146256,13036517,4860518
40,兴谷街道_110117002000,117.094898,40.145821,13036532,4860455
41,兴谷街道_110117002000,117.094927,40.145775,13036535,4860448
42,兴谷街道_110117002000,117.094787,40.145341,13036520,4860385
43,兴谷街道_110117002000,117.094795,40.144891,13036521,4860320
44,兴谷街道_110117002000,117.094812,40.144441,13036522,4860254
45,兴谷街道_110117002000,117.098877,40.144192,13036973,4860227
46,兴谷街道_110117002000,117.098291,40.144187,13036908,4860225
47,兴谷街道_110117002000,117.097704,40.144181,13036843,4860223
48,兴谷街道_110117002000,117.097118,40.144176,13036778,4860221
49,兴谷街道_110117002000,117.096531,40.14417,13036713,4860219
50,兴谷街道_110117002000,117.095945,40.144165,13036648,4860217
51,兴谷街道_110117002000,117.095358,40.144163,13036583,4860215
52,兴谷街道_110117002000,117.096585,40.145877,13036719,4860466
53,兴谷街道_110117002000,117.096011,40.145798,13036655,4860454
54,兴谷街道_110117002000,117.095425,40.145782,13036590,4860450
55,兴谷街道_110117002000,117.095019,40.152157,13036545,4861374
56,兴谷街道_110117002000,117.095588,40.152249,13036608,4861389
57,兴谷街道_110117002000,117.096174,40.152254,13036673,4861391
58,兴谷街道_110117002000,117.096761,40.152259,13036738,4861393
59,兴谷街道_110117002000,117.097347,40.152263,13036803,4861394
60,兴谷街道_110117002000,117.097933,40.152268,13036868,4861396
61,兴谷街道_110117002000,117.09852,40.152273,13036933,4861398
62,兴谷街道_110117002000,117.099099,40.152219,13036997,4861391
63,兴谷街道_110117002000,117.095019,40.152157,13036545,4861374
64,兴谷街道_110117002000,117.094914,40.151717,13036533,4861310
65,兴谷街道_110117002000,117.094925,40.151267,13036534,4861245
66,兴谷街道_110117002000,117.094935,40.150817,13036536,4861179
67,兴谷街道_110117002000,117.095004,40.150372,13036543,4861115
68,兴谷街道_110117002000,117.09511,40.150187,13036555,4861088
69,兴谷街道_110117002000,117.094961,40.149755,13036539,4861025
70,兴谷街道_110117002000,117.094971,40.149304,13036540,4860960
71,兴谷街道_110117002000,117.095067,40.148861,13036550,4860896
72,兴谷街道_110117002000,117.096644,40.148605,13036725,4860862
73,兴谷街道_110117002000,117.096073,40.148703,13036662,4860875
74,兴谷街道_110117002000,117.095487,40.148705,13036597,4860874
75,兴谷街道_110117002000,117.09641,40.150196,13036699,4861093
76,兴谷街道_110117002000,117.095838,40.150174,13036636,4861088
77,兴谷街道_110117002000,117.095252,40.150183,13036571,4861088
78,兴谷街道_110117002000,117.096715,40.146267,13036733,4860523
79,兴谷街道_110117002000,117.096644,40.148605,13036725,4860862
80,兴谷街道_110117002000,117.097211,40.148711,13036788,4860879
81,兴谷街道_110117002000,117.097798,40.14872,13036853,4860881
82,兴谷街道_110117002000,117.098384,40.148725,13036918,4860883
83,兴谷街道_110117002000,117.098968,40.148752,13036983,4860888
84,兴谷街道_110117002000,117.096715,40.146267,13036733,4860523
85,兴谷街道_110117002000,117.096702,40.146717,13036732,4860589
86,兴谷街道_110117002000,117.096689,40.147167,13036730,4860654
87,兴谷街道_110117002000,117.096676,40.147617,13036729,4860719
88,兴谷街道_110117002000,117.096663,40.148067,13036727,4860784
89,兴谷街道_110117002000,117.096647,40.148518,13036726,4860850
90,兴谷街道_110117002000,117.098877,40.144192,13036973,4860227
91,兴谷街道_110117002000,117.099454,40.144261,13037037,4860238
92,兴谷街道_110117002000,117.10004,40.144267,13037102,4860239
93,兴谷街道_110117002000,117.100621,40.144311,13037167,4860247
94,兴谷街道_110117002000,117.098908,40.144133,13036977,4860218
95,兴谷街道_110117002000,117.116556,40.14439,13038938,4860268
96,兴谷街道_110117002000,117.11615,40.144252,13038893,4860248
97,兴谷街道_110117002000,117.115563,40.144249,13038827,4860248
98,兴谷街道_110117002000,117.114976,40.144247,13038762,4860248
99,兴谷街道_110117002000,117.114389,40.144244,13038696,4860247
100,兴谷街道_110117002000,117.113802,40.144241,13038631,4860247
101,兴谷街道_110117002000,117.113215,40.144239,13038566,4860247
102,兴谷街道_110117002000,117.112628,40.144236,13038500,4860246
103,兴谷街道_110117002000,117.112041,40.144233,13038435,4860246
104,兴谷街道_110117002000,117.111454,40.14423,13038370,4860245
105,兴谷街道_110117002000,117.110867,40.144227,13038305,4860245
106,兴谷街道_110117002000,117.11028,40.144224,13038239,4860244
107,兴谷街道_110117002000,117.109693,40.144221,13038174,4860243
108,兴谷街道_110117002000,117.109106,40.144218,13038109,4860243
109,兴谷街道_110117002000,117.108519,40.144214,13038044,4860242
110,兴谷街道_110117002000,117.107932,40.144209,13037978,4860241
111,兴谷街道_110117002000,117.107345,40.144204,13037913,4860240
112,兴谷街道_110117002000,117.106758,40.144199,13037848,4860238
113,兴谷街道_110117002000,117.106171,40.144193,13037783,4860237
114,兴谷街道_110117002000,117.105584,40.144188,13037717,4860236
115,兴谷街道_110117002000,117.104997,40.144183,13037652,4860234
116,兴谷街道_110117002000,117.10441,40.144178,13037587,4860233
117,兴谷街道_110117002000,117.103823,40.144173,13037522,4860232
118,兴谷街道_110117002000,117.103237,40.144167,13037457,4860230
119,兴谷街道_110117002000,117.10265,40.144162,13037392,4860228
