﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,军庄镇_110109104000,116.067835,40.031366,12922183,4843817
1,军庄镇_110109104000,116.068409,40.031278,12922247,4843803
2,军庄镇_110109104000,116.069172,40.030048,12922333,4843623
3,军庄镇_110109104000,116.069575,40.02973,12922378,4843577
4,军庄镇_110109104000,116.074074,40.003061,12922884,4839706
5,军庄镇_110109104000,116.073492,40.00311,12922819,4839714
6,军庄镇_110109104000,116.072911,40.00316,12922754,4839723
7,军庄镇_110109104000,116.072329,40.003209,12922689,4839731
8,军庄镇_110109104000,116.071748,40.003258,12922624,4839740
9,军庄镇_110109104000,116.071982,40.027241,12922648,4843211
10,军庄镇_110109104000,116.071741,40.027644,12922621,4843270
11,军庄镇_110109104000,116.073086,40.010786,12922773,4840826
12,军庄镇_110109104000,116.073165,40.011232,12922782,4840891
13,军庄镇_110109104000,116.073244,40.011678,12922791,4840955
14,军庄镇_110109104000,116.073324,40.012124,12922800,4841019
15,军庄镇_110109104000,116.073086,40.010786,12922773,4840826
16,军庄镇_110109104000,116.07355,40.010511,12922825,4840785
17,军庄镇_110109104000,116.073975,40.01021,12922873,4840741
18,军庄镇_110109104000,116.074176,40.00979,12922895,4840680
19,军庄镇_110109104000,116.073096,40.023913,12922773,4842726
20,军庄镇_110109104000,116.073309,40.024332,12922797,4842787
21,军庄镇_110109104000,116.073275,40.023516,12922793,4842669
22,军庄镇_110109104000,116.073275,40.023516,12922793,4842669
23,军庄镇_110109104000,116.07335,40.023069,12922801,4842604
24,军庄镇_110109104000,116.073457,40.022627,12922813,4842539
25,军庄镇_110109104000,116.074074,40.003061,12922884,4839706
26,军庄镇_110109104000,116.074615,40.002889,12922945,4839680
27,军庄镇_110109104000,116.075144,40.002697,12923004,4839651
28,军庄镇_110109104000,116.075673,40.002504,12923063,4839622
29,军庄镇_110109104000,116.076202,40.002312,12923123,4839593
30,军庄镇_110109104000,116.076734,40.002126,12923182,4839565
31,军庄镇_110109104000,116.074583,40.009153,12922941,4840587
32,军庄镇_110109104000,116.074583,40.009153,12922941,4840587
33,军庄镇_110109104000,116.075103,40.008952,12922999,4840557
34,军庄镇_110109104000,116.075547,40.00866,12923049,4840513
35,军庄镇_110109104000,116.075742,40.015349,12923070,4841481
36,军庄镇_110109104000,116.076321,40.015411,12923135,4841489
37,军庄镇_110109104000,116.076906,40.015414,12923200,4841488
38,军庄镇_110109104000,116.077491,40.01541,12923266,4841487
39,军庄镇_110109104000,116.076946,40.006014,12923206,4840128
40,军庄镇_110109104000,116.076845,40.006455,12923194,4840192
41,军庄镇_110109104000,116.076764,40.0069,12923185,4840256
42,军庄镇_110109104000,116.076679,40.007345,12923176,4840321
43,军庄镇_110109104000,116.076879,40.005542,12923198,4840060
44,军庄镇_110109104000,116.076944,40.005989,12923206,4840124
45,军庄镇_110109104000,116.076879,40.005542,12923198,4840060
46,军庄镇_110109104000,116.077021,40.005105,12923214,4839996
47,军庄镇_110109104000,116.077118,40.004806,12923225,4839953
48,军庄镇_110109104000,116.077317,40.004383,12923247,4839891
49,军庄镇_110109104000,116.07737,40.003942,12923253,4839827
50,军庄镇_110109104000,116.077344,40.003493,12923250,4839762
51,军庄镇_110109104000,116.077287,40.003046,12923244,4839698
52,军庄镇_110109104000,116.077229,40.002598,12923238,4839633
53,军庄镇_110109104000,116.077069,40.002167,12923220,4839571
54,军庄镇_110109104000,116.078897,40.000867,12923424,4839379
55,军庄镇_110109104000,116.078424,40.001132,12923371,4839418
56,军庄镇_110109104000,116.077951,40.001397,12923319,4839458
57,军庄镇_110109104000,116.077466,40.001648,12923264,4839495
58,军庄镇_110109104000,116.077082,40.001983,12923221,4839544
59,军庄镇_110109104000,116.077978,40.015352,12923320,4841477
60,军庄镇_110109104000,116.078211,40.014943,12923347,4841418
61,军庄镇_110109104000,116.078383,40.014636,12923366,4841373
62,军庄镇_110109104000,116.078886,40.014407,12923422,4841339
63,军庄镇_110109104000,116.079957,40.000231,12923543,4839285
64,军庄镇_110109104000,116.079414,40.000397,12923482,4839310
65,军庄镇_110109104000,116.079001,40.000711,12923436,4839357
66,军庄镇_110109104000,116.080494,40.000054,12923603,4839259
67,军庄镇_110109104000,116.080494,40.000054,12923603,4839259
68,军庄镇_110109104000,116.080627,40.000493,12923618,4839322
69,军庄镇_110109104000,116.080651,40.000939,12923621,4839387
70,军庄镇_110109104000,116.080501,40.001372,12923604,4839450
71,军庄镇_110109104000,116.080228,40.00177,12923573,4839508
72,军庄镇_110109104000,116.080526,40.000023,12923607,4839254
73,军庄镇_110109104000,116.08034,39.999597,12923586,4839193
