﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,刘斌堡乡_110119201000,116.196948,40.562502,12936548,4921026
1,刘斌堡乡_110119201000,116.196409,40.562319,12936488,4921000
2,刘斌堡乡_110119201000,116.19587,40.562136,12936428,4920975
3,刘斌堡乡_110119201000,116.19533,40.561954,12936367,4920949
4,刘斌堡乡_110119201000,116.194791,40.561771,12936307,4920924
5,刘斌堡乡_110119201000,116.194252,40.561588,12936247,4920899
6,刘斌堡乡_110119201000,116.193713,40.561405,12936187,4920873
7,刘斌堡乡_110119201000,116.193776,40.557577,12936193,4920314
8,刘斌堡乡_110119201000,116.193776,40.557577,12936193,4920314
9,刘斌堡乡_110119201000,116.193709,40.557132,12936186,4920249
10,刘斌堡乡_110119201000,116.193734,40.556683,12936188,4920183
11,刘斌堡乡_110119201000,116.193808,40.55624,12936197,4920118
12,刘斌堡乡_110119201000,116.193959,40.555805,12936213,4920054
13,刘斌堡乡_110119201000,116.19683,40.557869,12936534,4920349
14,刘斌堡乡_110119201000,116.196248,40.55782,12936469,4920343
15,刘斌堡乡_110119201000,116.195683,40.557701,12936406,4920327
16,刘斌堡乡_110119201000,116.195096,40.557674,12936341,4920325
17,刘斌堡乡_110119201000,116.194507,40.557686,12936275,4920328
18,刘斌堡乡_110119201000,116.19392,40.557695,12936209,4920331
19,刘斌堡乡_110119201000,116.195702,40.566755,12936409,4921650
20,刘斌堡乡_110119201000,116.195112,40.566768,12936343,4921653
21,刘斌堡乡_110119201000,116.194522,40.566766,12936278,4921654
22,刘斌堡乡_110119201000,116.195762,40.56553,12936416,4921471
23,刘斌堡乡_110119201000,116.195176,40.565582,12936350,4921480
24,刘斌堡乡_110119201000,116.195702,40.566755,12936409,4921650
25,刘斌堡乡_110119201000,116.195762,40.56553,12936416,4921471
26,刘斌堡乡_110119201000,116.196345,40.565463,12936481,4921460
27,刘斌堡乡_110119201000,116.196933,40.56542,12936547,4921452
28,刘斌堡乡_110119201000,116.197521,40.565376,12936612,4921444
29,刘斌堡乡_110119201000,116.198109,40.565332,12936678,4921436
30,刘斌堡乡_110119201000,116.196771,40.566643,12936529,4921631
31,刘斌堡乡_110119201000,116.196181,40.566655,12936463,4921634
32,刘斌堡乡_110119201000,116.198353,40.558609,12936704,4920454
33,刘斌堡乡_110119201000,116.19784,40.558387,12936647,4920422
34,刘斌堡乡_110119201000,116.197321,40.558174,12936589,4920392
35,刘斌堡乡_110119201000,116.196862,40.557897,12936538,4920353
