﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,前门街道_110101011000,116.393306,39.898665,12958390,4824683
1,前门街道_110101011000,116.392722,39.898667,12958325,4824683
2,前门街道_110101011000,116.392138,39.898651,12958260,4824681
3,前门街道_110101011000,116.391553,39.898632,12958194,4824678
4,前门街道_110101011000,116.390969,39.898613,12958130,4824675
5,前门街道_110101011000,116.390386,39.898583,12958065,4824670
6,前门街道_110101011000,116.391983,39.889965,12958243,4823426
7,前门街道_110101011000,116.392378,39.890291,12958287,4823473
8,前门街道_110101011000,116.392504,39.896873,12958301,4824424
9,前门街道_110101011000,116.392121,39.896767,12958258,4824409
10,前门街道_110101011000,116.392003,39.896328,12958245,4824345
11,前门街道_110101011000,116.392016,39.895878,12958246,4824280
12,前门街道_110101011000,116.392088,39.895433,12958254,4824216
13,前门街道_110101011000,116.392338,39.895028,12958282,4824157
14,前门街道_110101011000,116.39271,39.894681,12958324,4824107
15,前门街道_110101011000,116.393245,39.892551,12958383,4823800
16,前门街道_110101011000,116.392882,39.892199,12958343,4823749
17,前门街道_110101011000,116.392597,39.891806,12958311,4823692
18,前门街道_110101011000,116.392438,39.891374,12958294,4823629
19,前门街道_110101011000,116.392438,39.890925,12958294,4823565
20,前门街道_110101011000,116.392555,39.890484,12958307,4823501
21,前门街道_110101011000,116.393125,39.890386,12958370,4823487
22,前门街道_110101011000,116.392504,39.896873,12958301,4824424
23,前门街道_110101011000,116.393087,39.896863,12958365,4824423
24,前门街道_110101011000,116.39283,39.895197,12958337,4824182
25,前门街道_110101011000,116.39277,39.894749,12958330,4824117
26,前门街道_110101011000,116.392756,39.894646,12958329,4824102
27,前门街道_110101011000,116.393075,39.894393,12958364,4824066
28,前门街道_110101011000,116.393413,39.893367,12958402,4823918
29,前门街道_110101011000,116.393212,39.89379,12958380,4823979
30,前门街道_110101011000,116.393095,39.894231,12958367,4824042
31,前门街道_110101011000,116.393125,39.894436,12958370,4824072
32,前门街道_110101011000,116.39366,39.894618,12958429,4824098
33,前门街道_110101011000,116.394196,39.8948,12958489,4824125
34,前门街道_110101011000,116.393239,39.896849,12958382,4824421
35,前门街道_110101011000,116.393471,39.896437,12958408,4824361
36,前门街道_110101011000,116.393562,39.895992,12958418,4824297
37,前门街道_110101011000,116.393609,39.895545,12958424,4824232
38,前门街道_110101011000,116.393458,39.895111,12958407,4824170
39,前门街道_110101011000,116.39325,39.89469,12958384,4824109
40,前门街道_110101011000,116.393289,39.892607,12958388,4823808
41,前门街道_110101011000,116.393245,39.892551,12958383,4823800
42,前门街道_110101011000,116.393401,39.892117,12958401,4823737
43,前门街道_110101011000,116.393593,39.891691,12958422,4823675
44,前门街道_110101011000,116.393239,39.896849,12958382,4824421
45,前门街道_110101011000,116.393689,39.897136,12958432,4824462
46,前门街道_110101011000,116.394103,39.897453,12958479,4824508
47,前门街道_110101011000,116.393289,39.892607,12958388,4823808
48,前门街道_110101011000,116.393337,39.893056,12958394,4823873
49,前门街道_110101011000,116.393289,39.892607,12958388,4823808
50,前门街道_110101011000,116.393779,39.892361,12958443,4823772
51,前门街道_110101011000,116.393306,39.898665,12958390,4824683
52,前门街道_110101011000,116.393834,39.89884,12958448,4824708
53,前门街道_110101011000,116.394408,39.898925,12958512,4824721
54,前门街道_110101011000,116.394982,39.899009,12958576,4824733
55,前门街道_110101011000,116.393306,39.898665,12958390,4824683
56,前门街道_110101011000,116.393443,39.898227,12958405,4824620
57,前门街道_110101011000,116.393677,39.897821,12958431,4824561
58,前门街道_110101011000,116.394115,39.897524,12958480,4824518
59,前门街道_110101011000,116.394315,39.893492,12958502,4823936
60,前门街道_110101011000,116.39374,39.893411,12958439,4823924
61,前门街道_110101011000,116.395166,39.890995,12958598,4823575
62,前门街道_110101011000,116.394759,39.890672,12958552,4823528
63,前门街道_110101011000,116.39424,39.890471,12958494,4823499
64,前门街道_110101011000,116.393668,39.890392,12958431,4823488
65,前门街道_110101011000,116.393862,39.89232,12958452,4823766
66,前门街道_110101011000,116.394442,39.892377,12958517,4823775
67,前门街道_110101011000,116.393862,39.89232,12958452,4823766
68,前门街道_110101011000,116.394293,39.892016,12958500,4823722
69,前门街道_110101011000,116.394717,39.891705,12958547,4823677
70,前门街道_110101011000,116.39513,39.891386,12958593,4823631
71,前门街道_110101011000,116.394154,39.897496,12958484,4824514
72,前门街道_110101011000,116.394315,39.893492,12958502,4823936
73,前门街道_110101011000,116.394622,39.893876,12958537,4823991
74,前门街道_110101011000,116.395745,39.893489,12958662,4823935
75,前门街道_110101011000,116.39516,39.893494,12958597,4823936
76,前门街道_110101011000,116.394576,39.893492,12958532,4823936
77,前门街道_110101011000,116.394294,39.897504,12958500,4824515
78,前门街道_110101011000,116.394873,39.897564,12958564,4824524
79,前门街道_110101011000,116.395447,39.897491,12958628,4824513
80,前门街道_110101011000,116.395467,39.894911,12958631,4824141
81,前门街道_110101011000,116.394883,39.894935,12958566,4824144
82,前门街道_110101011000,116.395675,39.895468,12958654,4824221
83,前门街道_110101011000,116.395116,39.895335,12958592,4824202
84,前门街道_110101011000,116.395166,39.890995,12958598,4823575
85,前门街道_110101011000,116.396013,39.891307,12958692,4823620
86,前门街道_110101011000,116.395437,39.89123,12958628,4823609
87,前门街道_110101011000,116.395467,39.894911,12958631,4824141
88,前门街道_110101011000,116.395639,39.895342,12958650,4824203
89,前门街道_110101011000,116.395592,39.894758,12958645,4824118
90,前门街道_110101011000,116.395592,39.894758,12958645,4824118
91,前门街道_110101011000,116.396005,39.894442,12958691,4824073
92,前门街道_110101011000,116.396274,39.894043,12958721,4824015
93,前门街道_110101011000,116.396439,39.893611,12958739,4823952
94,前门街道_110101011000,116.395675,39.895468,12958654,4824221
95,前门街道_110101011000,116.395881,39.895889,12958677,4824282
96,前门街道_110101011000,116.396169,39.89628,12958709,4824338
97,前门街道_110101011000,116.396462,39.893536,12958742,4823942
98,前门街道_110101011000,116.395879,39.893498,12958677,4823936
99,前门街道_110101011000,116.396396,39.897088,12958734,4824455
100,前门街道_110101011000,116.395917,39.897346,12958681,4824492
101,前门街道_110101011000,116.396013,39.891307,12958692,4823620
102,前门街道_110101011000,116.396572,39.891439,12958754,4823639
103,前门街道_110101011000,116.396013,39.891307,12958692,4823620
104,前门街道_110101011000,116.396985,39.893255,12958800,4823901
105,前门街道_110101011000,116.396502,39.893,12958746,4823864
106,前门街道_110101011000,116.396304,39.896421,12958724,4824359
107,前门街道_110101011000,116.396343,39.89687,12958728,4824423
108,前门街道_110101011000,116.397189,39.895599,12958823,4824239
109,前门街道_110101011000,116.396816,39.895946,12958781,4824290
110,前门街道_110101011000,116.396443,39.896293,12958739,4824340
111,前门街道_110101011000,116.397445,39.897335,12958851,4824490
112,前门街道_110101011000,116.396876,39.897235,12958788,4824476
113,前门街道_110101011000,116.396985,39.893255,12958800,4823901
114,前门街道_110101011000,116.396505,39.893513,12958747,4823938
115,前门街道_110101011000,116.396711,39.891471,12958770,4823643
116,前门街道_110101011000,116.397209,39.891706,12958825,4823677
117,前门街道_110101011000,116.397649,39.892002,12958874,4823719
118,前门街道_110101011000,116.397221,39.893166,12958826,4823888
119,前门街道_110101011000,116.397189,39.895599,12958823,4824239
120,前门街道_110101011000,116.397725,39.895419,12958882,4824213
121,前门街道_110101011000,116.39826,39.895239,12958942,4824187
122,前门街道_110101011000,116.398765,39.895012,12958998,4824154
123,前门街道_110101011000,116.397221,39.893166,12958826,4823888
124,前门街道_110101011000,116.397638,39.893483,12958873,4823933
125,前门街道_110101011000,116.398054,39.893799,12958919,4823979
126,前门街道_110101011000,116.39847,39.894116,12958966,4824024
127,前门街道_110101011000,116.397221,39.893166,12958826,4823888
128,前门街道_110101011000,116.397436,39.892747,12958850,4823827
129,前门街道_110101011000,116.397662,39.892332,12958876,4823767
130,前门街道_110101011000,116.397388,39.899184,12958844,4824757
131,前门街道_110101011000,116.397972,39.899197,12958909,4824759
132,前门街道_110101011000,116.398555,39.899209,12958975,4824760
133,前门街道_110101011000,116.397445,39.897335,12958851,4824490
134,前门街道_110101011000,116.398014,39.897436,12958914,4824504
135,前门街道_110101011000,116.398598,39.897447,12958979,4824506
136,前门街道_110101011000,116.397445,39.897335,12958851,4824490
137,前门街道_110101011000,116.397702,39.89693,12958880,4824431
138,前门街道_110101011000,116.397728,39.892207,12958883,4823749
139,前门街道_110101011000,116.398183,39.89249,12958934,4823790
140,前门街道_110101011000,116.397728,39.892207,12958883,4823749
141,前门街道_110101011000,116.399118,39.891854,12959038,4823697
142,前门街道_110101011000,116.39854,39.891921,12958974,4823707
143,前门街道_110101011000,116.397978,39.892045,12958911,4823725
144,前门街道_110101011000,116.398404,39.896341,12958958,4824346
