﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,北京经济技术开发区_110115403000,116.469896,39.80456,12966921,4810991
1,北京经济技术开发区_110115403000,116.470429,39.804741,12966979,4811018
2,北京经济技术开发区_110115403000,116.470769,39.804018,12967017,4810914
3,北京经济技术开发区_110115403000,116.470704,39.803571,12967010,4810850
4,北京经济技术开发区_110115403000,116.47069,39.803511,12967008,4810841
5,北京经济技术开发区_110115403000,116.471067,39.803169,12967050,4810792
6,北京经济技术开发区_110115403000,116.470892,39.804805,12967031,4811028
7,北京经济技术开发区_110115403000,116.470886,39.804356,12967030,4810963
8,北京经济技术开发区_110115403000,116.470892,39.804805,12967031,4811028
9,北京经济技术开发区_110115403000,116.471231,39.805171,12967068,4811081
10,北京经济技术开发区_110115403000,116.471568,39.805539,12967105,4811135
11,北京经济技术开发区_110115403000,116.471893,39.805913,12967141,4811190
12,北京经济技术开发区_110115403000,116.471476,39.802931,12967095,4810758
13,北京经济技术开发区_110115403000,116.471889,39.802613,12967141,4810713
14,北京经济技术开发区_110115403000,116.471985,39.806019,12967151,4811205
15,北京经济技术开发区_110115403000,116.472305,39.806492,12967187,4811274
16,北京经济技术开发区_110115403000,116.472051,39.806087,12967159,4811215
17,北京经济技术开发区_110115403000,116.472058,39.802482,12967159,4810695
18,北京经济技术开发区_110115403000,116.472502,39.802194,12967208,4810654
19,北京经济技术开发区_110115403000,116.472827,39.801825,12967244,4810601
20,北京经济技术开发区_110115403000,116.472517,39.752191,12967213,4803441
21,北京经济技术开发区_110115403000,116.473097,39.752182,12967277,4803440
22,北京经济技术开发区_110115403000,116.473638,39.752016,12967337,4803417
23,北京经济技术开发区_110115403000,116.474172,39.751836,12967396,4803392
24,北京经济技术开发区_110115403000,116.474683,39.751623,12967452,4803363
25,北京经济技术开发区_110115403000,116.475167,39.751371,12967506,4803327
26,北京经济技术开发区_110115403000,116.473763,39.747466,12967351,4802761
27,北京经济技术开发区_110115403000,116.473492,39.74786,12967321,4802818
28,北京经济技术开发区_110115403000,116.473369,39.7483,12967307,4802881
29,北京经济技术开发区_110115403000,116.473246,39.74874,12967294,4802944
30,北京经济技术开发区_110115403000,116.473123,39.74918,12967280,4803007
31,北京经济技术开发区_110115403000,116.473001,39.74962,12967267,4803071
32,北京经济技术开发区_110115403000,116.472878,39.750059,12967253,4803134
33,北京经济技术开发区_110115403000,116.472755,39.750499,12967240,4803197
34,北京经济技术开发区_110115403000,116.472632,39.750939,12967226,4803260
35,北京经济技术开发区_110115403000,116.472509,39.751379,12967212,4803323
36,北京经济技术开发区_110115403000,116.47242,39.751822,12967203,4803387
37,北京经济技术开发区_110115403000,116.472305,39.806492,12967187,4811274
38,北京经济技术开发区_110115403000,116.47257,39.806894,12967216,4811332
39,北京经济技术开发区_110115403000,116.472839,39.807293,12967246,4811390
40,北京经济技术开发区_110115403000,116.473132,39.807681,12967278,4811447
41,北京经济技术开发区_110115403000,116.473511,39.808024,12967320,4811497
42,北京经济技术开发区_110115403000,116.473896,39.808362,12967362,4811547
43,北京经济技术开发区_110115403000,116.474305,39.808683,12967407,4811594
44,北京经济技术开发区_110115403000,116.474762,39.808963,12967458,4811635
45,北京经济技术开发区_110115403000,116.475217,39.809245,12967508,4811677
46,北京经济技术开发区_110115403000,116.475683,39.809516,12967559,4811717
47,北京经济技术开发区_110115403000,116.472866,39.80174,12967249,4810589
48,北京经济技术开发区_110115403000,116.473016,39.801575,12967265,4810566
49,北京经济技术开发区_110115403000,116.473287,39.801181,12967295,4810509
50,北京经济技术开发区_110115403000,116.473763,39.747466,12967351,4802761
51,北京经济技术开发区_110115403000,116.473726,39.74702,12967347,4802697
52,北京经济技术开发区_110115403000,116.473849,39.746579,12967360,4802633
53,北京经济技术开发区_110115403000,116.473972,39.746139,12967374,4802570
54,北京经济技术开发区_110115403000,116.474095,39.745699,12967387,4802507
55,北京经济技术开发区_110115403000,116.474218,39.745259,12967401,4802444
56,北京经济技术开发区_110115403000,116.474341,39.744819,12967415,4802381
57,北京经济技术开发区_110115403000,116.474465,39.744379,12967428,4802317
58,北京经济技术开发区_110115403000,116.473555,39.800992,12967325,4810482
59,北京经济技术开发区_110115403000,116.474111,39.801118,12967386,4810502
60,北京经济技术开发区_110115403000,116.474638,39.801312,12967444,4810531
61,北京经济技术开发区_110115403000,116.475154,39.801521,12967501,4810562
