﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,北宫镇_110106100000,116.086661,39.85974,12924290,4818960
1,北宫镇_110106100000,116.086151,39.859953,12924233,4818992
2,北宫镇_110106100000,116.085654,39.86019,12924178,4819026
3,北宫镇_110106100000,116.0906,39.860463,12924729,4819062
4,北宫镇_110106100000,116.090042,39.860597,12924667,4819082
5,北宫镇_110106100000,116.089469,39.86057,12924603,4819078
6,北宫镇_110106100000,116.088908,39.860454,12924541,4819062
7,北宫镇_110106100000,116.088347,39.860347,12924478,4819047
8,北宫镇_110106100000,116.087763,39.860338,12924413,4819046
9,北宫镇_110106100000,116.0901,39.862505,12924674,4819358
10,北宫镇_110106100000,116.089533,39.862597,12924611,4819371
11,北宫镇_110106100000,116.091248,39.862098,12924802,4819298
12,北宫镇_110106100000,116.091791,39.861931,12924862,4819274
13,北宫镇_110106100000,116.091903,39.857717,12924874,4818665
14,北宫镇_110106100000,116.092433,39.857527,12924933,4818638
15,北宫镇_110106100000,116.092169,39.861853,12924904,4819263
16,北宫镇_110106100000,116.092483,39.861781,12924939,4819252
17,北宫镇_110106100000,116.092359,39.861341,12924925,4819189
18,北宫镇_110106100000,116.092264,39.860961,12924915,4819134
19,北宫镇_110106100000,116.092791,39.860777,12924973,4819107
20,北宫镇_110106100000,116.092404,39.860292,12924930,4819037
21,北宫镇_110106100000,116.092428,39.859842,12924933,4818972
22,北宫镇_110106100000,116.092647,39.857383,12924957,4818617
23,北宫镇_110106100000,116.092436,39.859682,12924934,4818949
24,北宫镇_110106100000,116.092483,39.861781,12924939,4819252
25,北宫镇_110106100000,116.093049,39.861684,12925002,4819238
26,北宫镇_110106100000,116.092611,39.859687,12924953,4818950
27,北宫镇_110106100000,116.093792,39.859396,12925085,4818908
28,北宫镇_110106100000,116.093222,39.859488,12925021,4818921
29,北宫镇_110106100000,116.092681,39.859656,12924961,4818945
30,北宫镇_110106100000,116.093228,39.856156,12925022,4818440
31,北宫镇_110106100000,116.093133,39.8566,12925011,4818504
32,北宫镇_110106100000,116.092933,39.857016,12924989,4818564
33,北宫镇_110106100000,116.092703,39.85983,12924964,4818970
34,北宫镇_110106100000,116.092864,39.860264,12924982,4819033
35,北宫镇_110106100000,116.093002,39.860747,12924997,4819103
36,北宫镇_110106100000,116.093002,39.860747,12924997,4819103
37,北宫镇_110106100000,116.093159,39.861641,12925015,4819232
38,北宫镇_110106100000,116.093251,39.861201,12925025,4819169
39,北宫镇_110106100000,116.094887,39.851774,12925206,4817807
40,北宫镇_110106100000,116.094336,39.851721,12925145,4817799
41,北宫镇_110106100000,116.093758,39.85178,12925080,4817807
42,北宫镇_110106100000,116.093792,39.859396,12925085,4818908
43,北宫镇_110106100000,116.094303,39.859608,12925142,4818938
44,北宫镇_110106100000,116.094847,39.859761,12925202,4818961
45,北宫镇_110106100000,116.095396,39.859917,12925263,4818983
46,北宫镇_110106100000,116.095937,39.860085,12925323,4819008
47,北宫镇_110106100000,116.096511,39.860149,12925387,4819017
48,北宫镇_110106100000,116.09486,39.853869,12925203,4818109
49,北宫镇_110106100000,116.094278,39.853854,12925138,4818107
50,北宫镇_110106100000,116.095155,39.855658,12925236,4818368
51,北宫镇_110106100000,116.095435,39.855263,12925267,4818311
52,北宫镇_110106100000,116.095186,39.858775,12925240,4818818
53,北宫镇_110106100000,116.095761,39.858697,12925304,4818807
54,北宫镇_110106100000,116.096869,39.852029,12925426,4817844
55,北宫镇_110106100000,116.096602,39.851629,12925397,4817786
56,北宫镇_110106100000,116.096599,39.860157,12925397,4819018
57,北宫镇_110106100000,116.096869,39.852029,12925426,4817844
58,北宫镇_110106100000,116.097322,39.852313,12925477,4817885
59,北宫镇_110106100000,116.097437,39.852803,12925490,4817956
60,北宫镇_110106100000,116.097268,39.853234,12925471,4818018
61,北宫镇_110106100000,116.097073,39.853657,12925449,4818079
62,北宫镇_110106100000,116.097616,39.860042,12925510,4819002
