﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,北小营镇_110113113000,116.68,40.211021,12990301,4869814
1,北小营镇_110113113000,116.679446,40.210883,12990239,4869795
2,北小营镇_110113113000,116.685446,40.226438,12990912,4872047
3,北小营镇_110113113000,116.685212,40.226025,12990886,4871987
4,北小营镇_110113113000,116.685012,40.225604,12990864,4871926
5,北小营镇_110113113000,116.684948,40.225156,12990856,4871861
6,北小营镇_110113113000,116.684899,40.224708,12990851,4871796
7,北小营镇_110113113000,116.684852,40.224259,12990846,4871731
8,北小营镇_110113113000,116.684804,40.22381,12990840,4871666
9,北小营镇_110113113000,116.684757,40.223362,12990835,4871601
10,北小营镇_110113113000,116.684709,40.222913,12990830,4871535
11,北小营镇_110113113000,116.684662,40.222465,12990824,4871470
12,北小营镇_110113113000,116.684614,40.222016,12990819,4871405
13,北小营镇_110113113000,116.684567,40.221567,12990814,4871340
14,北小营镇_110113113000,116.684519,40.221119,12990808,4871275
15,北小营镇_110113113000,116.684472,40.22067,12990803,4871210
16,北小营镇_110113113000,116.684408,40.220224,12990796,4871145
17,北小营镇_110113113000,116.684246,40.219791,12990778,4871082
18,北小营镇_110113113000,116.684062,40.219364,12990757,4871020
19,北小营镇_110113113000,116.683824,40.218953,12990730,4870961
20,北小营镇_110113113000,116.683586,40.218541,12990704,4870901
21,北小营镇_110113113000,116.683348,40.218129,12990677,4870842
22,北小营镇_110113113000,116.68311,40.217718,12990650,4870782
23,北小营镇_110113113000,116.682872,40.217306,12990623,4870723
24,北小营镇_110113113000,116.682634,40.216895,12990597,4870663
25,北小营镇_110113113000,116.682396,40.216483,12990570,4870604
26,北小营镇_110113113000,116.682158,40.216072,12990543,4870544
27,北小营镇_110113113000,116.68192,40.21566,12990517,4870485
28,北小营镇_110113113000,116.681682,40.215249,12990490,4870425
29,北小营镇_110113113000,116.681444,40.214837,12990463,4870366
30,北小营镇_110113113000,116.681206,40.214426,12990437,4870307
31,北小营镇_110113113000,116.680983,40.214009,12990412,4870246
32,北小营镇_110113113000,116.680766,40.213591,12990387,4870186
33,北小营镇_110113113000,116.680589,40.213163,12990367,4870124
34,北小营镇_110113113000,116.680442,40.212727,12990351,4870061
35,北小营镇_110113113000,116.680296,40.212291,12990334,4869998
36,北小营镇_110113113000,116.680149,40.211856,12990318,4869935
37,北小营镇_110113113000,116.680009,40.211419,12990302,4869871
38,北小营镇_110113113000,116.687875,40.211088,12991183,4869815
39,北小营镇_110113113000,116.687301,40.211172,12991119,4869828
40,北小营镇_110113113000,116.686716,40.211131,12991053,4869822
41,北小营镇_110113113000,116.686132,40.211087,12990988,4869816
42,北小营镇_110113113000,116.685548,40.211044,12990923,4869810
43,北小营镇_110113113000,116.684964,40.211,12990857,4869804
44,北小营镇_110113113000,116.684379,40.210967,12990792,4869800
45,北小营镇_110113113000,116.683792,40.210956,12990726,4869799
46,北小营镇_110113113000,116.683205,40.210946,12990660,4869798
47,北小营镇_110113113000,116.682619,40.210935,12990595,4869798
48,北小营镇_110113113000,116.682032,40.210924,12990529,4869797
49,北小营镇_110113113000,116.681445,40.210913,12990463,4869796
50,北小营镇_110113113000,116.680858,40.210903,12990397,4869795
51,北小营镇_110113113000,116.680276,40.210936,12990332,4869801
52,北小营镇_110113113000,116.684694,40.200793,12990826,4868322
53,北小营镇_110113113000,116.685212,40.200589,12990884,4868292
54,北小营镇_110113113000,116.685661,40.200299,12990934,4868249
55,北小营镇_110113113000,116.684718,40.198089,12990828,4867929
56,北小营镇_110113113000,116.68477,40.197641,12990834,4867864
57,北小营镇_110113113000,116.684888,40.197199,12990847,4867800
58,北小营镇_110113113000,116.685625,40.196759,12990929,4867735
59,北小营镇_110113113000,116.685099,40.19696,12990871,4867765
60,北小营镇_110113113000,116.685041,40.194992,12990864,4867479
61,北小营镇_110113113000,116.685628,40.19498,12990930,4867477
62,北小营镇_110113113000,116.685218,40.199683,12990884,4868160
63,北小营镇_110113113000,116.685573,40.20004,12990924,4868212
64,北小营镇_110113113000,116.685218,40.199683,12990884,4868160
65,北小营镇_110113113000,116.685224,40.199232,12990885,4868095
66,北小营镇_110113113000,116.685224,40.199147,12990885,4868082
67,北小营镇_110113113000,116.685729,40.198923,12990941,4868049
68,北小营镇_110113113000,116.6863,40.226893,12991008,4872112
69,北小营镇_110113113000,116.685892,40.226574,12990962,4872066
70,北小营镇_110113113000,116.696603,40.240978,12992159,4874157
71,北小营镇_110113113000,116.69602,40.240969,12992094,4874156
72,北小营镇_110113113000,116.695459,40.240835,12992031,4874136
73,北小营镇_110113113000,116.694898,40.240701,12991968,4874116
74,北小营镇_110113113000,116.694333,40.240579,12991905,4874098
75,北小营镇_110113113000,116.693827,40.24035,12991849,4874065
76,北小营镇_110113113000,116.693407,40.240044,12991802,4874020
77,北小营镇_110113113000,116.693051,40.239686,12991762,4873968
78,北小营镇_110113113000,116.692696,40.239327,12991723,4873916
79,北小营镇_110113113000,116.692341,40.238969,12991683,4873864
