ID,Area,Longitude,Latitude
0,史各庄街道_110114013000,116.25255,40.110084
1,史各庄街道_110114013000,116.252876,40.110457
2,史各庄街道_110114013000,116.253202,40.110831
3,史各庄街道_110114013000,116.253528,40.111205
4,史各庄街道_110114013000,116.253854,40.111579
5,史各庄街道_110114013000,116.254179,40.111954
6,史各庄街道_110114013000,116.253228,40.100182
7,史各庄街道_110114013000,116.253653,40.099873
8,史各庄街道_110114013000,116.2541,40.099584
9,史各庄街道_110114013000,116.254641,40.099418
10,史各庄街道_110114013000,116.256269,40.1124
11,史各庄街道_110114013000,116.255685,40.112363
12,史各庄街道_110114013000,116.255101,40.112326
13,史各庄街道_110114013000,116.254579,40.112132
14,史各庄街道_110114013000,116.255399,40.099529
15,史各庄街道_110114013000,116.257273,40.09757
16,史各庄街道_110114013000,116.256776,40.097805
17,史各庄街道_110114013000,116.256349,40.098114
18,史各庄街道_110114013000,116.255927,40.098426
19,史各庄街道_110114013000,116.255525,40.098752
20,史各庄街道_110114013000,116.255268,40.099155
21,史各庄街道_110114013000,116.255399,40.099529
22,史各庄街道_110114013000,116.256066,40.099506
23,史各庄街道_110114013000,116.25548,40.099526
24,史各庄街道_110114013000,116.256878,40.100686
25,史各庄街道_110114013000,116.256346,40.100497
26,史各庄街道_110114013000,116.255831,40.100287
27,史各庄街道_110114013000,116.255453,40.099945
28,史各庄街道_110114013000,116.259244,40.102509
29,史各庄街道_110114013000,116.258667,40.102435
30,史各庄街道_110114013000,116.25813,40.102255
31,史各庄街道_110114013000,116.257597,40.102069
32,史各庄街道_110114013000,116.257063,40.101883
33,史各庄街道_110114013000,116.256529,40.101697
34,史各庄街道_110114013000,116.256269,40.1124
35,史各庄街道_110114013000,116.256612,40.112397
36,史各庄街道_110114013000,116.257191,40.112459
37,史各庄街道_110114013000,116.257775,40.112496
38,史各庄街道_110114013000,116.258359,40.112533
39,史各庄街道_110114013000,116.258944,40.112567
40,史各庄街道_110114013000,116.259529,40.112599
41,史各庄街道_110114013000,116.260113,40.112632
42,史各庄街道_110114013000,116.260698,40.112665
43,史各庄街道_110114013000,116.261282,40.112698
44,史各庄街道_110114013000,116.261867,40.112731
45,史各庄街道_110114013000,116.262452,40.112764
46,史各庄街道_110114013000,116.263036,40.112797
47,史各庄街道_110114013000,116.263621,40.11283
48,史各庄街道_110114013000,116.264206,40.112863
49,史各庄街道_110114013000,116.264785,40.112829
50,史各庄街道_110114013000,116.265358,40.112735
51,史各庄街道_110114013000,116.26594,40.112746
52,史各庄街道_110114013000,116.256612,40.112397
53,史各庄街道_110114013000,116.256648,40.111947
54,史各庄街道_110114013000,116.256682,40.111561
55,史各庄街道_110114013000,116.256884,40.111139
56,史各庄街道_110114013000,116.257088,40.110717
57,史各庄街道_110114013000,116.257291,40.110295
58,史各庄街道_110114013000,116.257495,40.109873
59,史各庄街道_110114013000,116.257777,40.109483
60,史各庄街道_110114013000,116.256878,40.100686
61,史各庄街道_110114013000,116.257355,40.100423
62,史各庄街道_110114013000,116.257846,40.100226
63,史各庄街道_110114013000,116.258375,40.100421
64,史各庄街道_110114013000,116.260819,40.09907
65,史各庄街道_110114013000,116.2604,40.098755
66,史各庄街道_110114013000,116.25989,40.098535
67,史各庄街道_110114013000,116.259354,40.098352
68,史各庄街道_110114013000,116.25882,40.098166
69,史各庄街道_110114013000,116.258285,40.097983
70,史各庄街道_110114013000,116.257748,40.097801
71,史各庄街道_110114013000,116.259922,40.095536
72,史各庄街道_110114013000,116.259393,40.095722
73,史各庄街道_110114013000,116.258959,40.096025
74,史各庄街道_110114013000,116.258531,40.096332
75,史各庄街道_110114013000,116.258102,40.096639
76,史各庄街道_110114013000,116.257673,40.096945
77,史各庄街道_110114013000,116.257359,40.097321
78,史各庄街道_110114013000,116.257922,40.109325
79,史各庄街道_110114013000,116.258094,40.108895
80,史各庄街道_110114013000,116.258264,40.108493
81,史各庄街道_110114013000,116.25879,40.108293
82,史各庄街道_110114013000,116.258561,40.101217
83,史各庄街道_110114013000,116.258666,40.100568
84,史各庄街道_110114013000,116.258594,40.101015
85,史各庄街道_110114013000,116.258666,40.100568
86,史各庄街道_110114013000,116.259252,40.100569
87,史各庄街道_110114013000,116.258957,40.101402
88,史各庄街道_110114013000,116.259593,40.101633
89,史各庄街道_110114013000,116.259066,40.101438
90,史各庄街道_110114013000,116.259127,40.108168
91,史各庄街道_110114013000,116.259648,40.108365
92,史各庄街道_110114013000,116.260076,40.105422
93,史各庄街道_110114013000,116.259922,40.105856
94,史各庄街道_110114013000,116.259751,40.106287
95,史各庄街道_110114013000,116.25958,40.106717
96,史各庄街道_110114013000,116.25941,40.107147
97,史各庄街道_110114013000,116.259239,40.107578
98,史各庄街道_110114013000,116.259123,40.108017
99,史各庄街道_110114013000,116.259598,40.100568
100,史各庄街道_110114013000,116.259263,40.100938
101,史各庄街道_110114013000,116.259244,40.102509
102,史各庄街道_110114013000,116.259593,40.101633
103,史各庄街道_110114013000,116.259483,40.102073
104,史各庄街道_110114013000,116.259255,40.102488
105,史各庄街道_110114013000,116.259328,40.102634
106,史各庄街道_110114013000,116.259798,40.102897
107,史各庄街道_110114013000,116.260333,40.103081
108,史各庄街道_110114013000,116.260869,40.103265
109,史各庄街道_110114013000,116.261404,40.103449
110,史各庄街道_110114013000,116.261939,40.103633
111,史各庄街道_110114013000,116.262474,40.103817
112,史各庄街道_110114013000,116.263034,40.103942
113,史各庄街道_110114013000,116.259598,40.100568
114,史各庄街道_110114013000,116.260289,40.100691
115,史各庄街道_110114013000,116.260049,40.101103
116,史各庄街道_110114013000,116.259766,40.101495
117,史各庄街道_110114013000,116.259888,40.110169
118,史各庄街道_110114013000,116.259598,40.110557
119,史各庄街道_110114013000,116.260222,40.100583
120,史各庄街道_110114013000,116.259922,40.095536
121,史各庄街道_110114013000,116.260388,40.095805
122,史各庄街道_110114013000,116.260923,40.095989
123,史各庄街道_110114013000,116.261459,40.096171
124,史各庄街道_110114013000,116.261995,40.096353
125,史各庄街道_110114013000,116.262515,40.09656
126,史各庄街道_110114013000,116.259922,40.095536
127,史各庄街道_110114013000,116.260167,40.09513
128,史各庄街道_110114013000,116.260569,40.094802
129,史各庄街道_110114013000,116.260975,40.094478
130,史各庄街道_110114013000,116.261439,40.094206
131,史各庄街道_110114013000,116.259888,40.110169
132,史各庄街道_110114013000,116.260457,40.110274
133,史各庄街道_110114013000,116.261013,40.110416
134,史各庄街道_110114013000,116.261593,40.110482
135,史各庄街道_110114013000,116.259888,40.110169
136,史各庄街道_110114013000,116.259878,40.109723
137,史各庄街道_110114013000,116.260037,40.10929
138,史各庄街道_110114013000,116.26019,40.108856
139,史各庄街道_110114013000,116.260076,40.105422
140,史各庄街道_110114013000,116.260653,40.105369
141,史各庄街道_110114013000,116.261214,40.105488
142,史各庄街道_110114013000,116.260289,40.100691
143,史各庄街道_110114013000,116.260222,40.100583
144,史各庄街道_110114013000,116.260359,40.100145
145,史各庄街道_110114013000,116.260176,40.108467
146,史各庄街道_110114013000,116.260479,40.108085
147,史各庄街道_110114013000,116.260641,40.107652
148,史各庄街道_110114013000,116.260801,40.107219
149,史各庄街道_110114013000,116.260961,40.106785
150,史各庄街道_110114013000,116.261121,40.106352
151,史各庄街道_110114013000,116.260289,40.100691
152,史各庄街道_110114013000,116.260826,40.100872
153,史各庄街道_110114013000,116.261363,40.101052
154,史各庄街道_110114013000,116.261898,40.101236
155,史各庄街道_110114013000,116.262439,40.101409
156,史各庄街道_110114013000,116.260421,40.099862
157,史各庄街道_110114013000,116.260664,40.099452
158,史各庄街道_110114013000,116.260819,40.09907
159,史各庄街道_110114013000,116.261355,40.098889
160,史各庄街道_110114013000,116.261253,40.105993
161,史各庄街道_110114013000,116.261363,40.105558
162,史各庄街道_110114013000,116.261939,40.105488
163,史各庄街道_110114013000,116.262521,40.105538
164,史各庄街道_110114013000,116.263103,40.10559
165,史各庄街道_110114013000,116.263686,40.105642
166,史各庄街道_110114013000,116.264268,40.105693
167,史各庄街道_110114013000,116.26485,40.105745
168,史各庄街道_110114013000,116.261629,40.0988
169,史各庄街道_110114013000,116.262113,40.099054
170,史各庄街道_110114013000,116.262641,40.099249
171,史各庄街道_110114013000,116.263175,40.099434
172,史各庄街道_110114013000,116.263681,40.099657
173,史各庄街道_110114013000,116.264058,40.1
174,史各庄街道_110114013000,116.262811,40.096856
175,史各庄街道_110114013000,116.262466,40.09722
176,史各庄街道_110114013000,116.262221,40.097629
177,史各庄街道_110114013000,116.261985,40.098041
178,史各庄街道_110114013000,116.261756,40.098456
179,史各庄街道_110114013000,116.26183,40.094107
180,史各庄街道_110114013000,116.262201,40.094455
181,史各庄街道_110114013000,116.262645,40.094748
182,史各庄街道_110114013000,116.263091,40.09504
183,史各庄街道_110114013000,116.266801,40.091196
184,史各庄街道_110114013000,116.266262,40.091365
185,史各庄街道_110114013000,116.26579,40.091631
186,史各庄街道_110114013000,116.265323,40.091902
187,史各庄街道_110114013000,116.264856,40.092174
188,史各庄街道_110114013000,116.264389,40.092446
189,史各庄街道_110114013000,116.263921,40.092717
190,史各庄街道_110114013000,116.263454,40.092989
191,史各庄街道_110114013000,116.262987,40.09326
192,史各庄街道_110114013000,116.262523,40.093535
193,史各庄街道_110114013000,116.262072,40.093821
194,史各庄街道_110114013000,116.262937,40.110557
195,史各庄街道_110114013000,116.262355,40.110568
196,史各庄街道_110114013000,116.262704,40.096643
197,史各庄街道_110114013000,116.262704,40.096643
198,史各庄街道_110114013000,116.262955,40.096236
199,史各庄街道_110114013000,116.263237,40.095842
200,史各庄街道_110114013000,116.263473,40.095432
201,史各庄街道_110114013000,116.26666,40.098036
202,史各庄街道_110114013000,116.266097,40.097912
203,史各庄街道_110114013000,116.265561,40.09773
204,史各庄街道_110114013000,116.265026,40.097546
205,史各庄街道_110114013000,116.264491,40.097363
206,史各庄街道_110114013000,116.263956,40.097178
207,史各庄街道_110114013000,116.26342,40.096996
208,史各庄街道_110114013000,116.262859,40.096866
209,史各庄街道_110114013000,116.262949,40.101463
210,史各庄街道_110114013000,116.263397,40.101751
211,史各庄街道_110114013000,116.262949,40.101463
212,史各庄街道_110114013000,116.26321,40.10106
213,史各庄街道_110114013000,116.262937,40.110557
214,史各庄街道_110114013000,116.263272,40.110188
215,史各庄街道_110114013000,116.263206,40.103946
216,史各庄街道_110114013000,116.263661,40.104226
217,史各庄街道_110114013000,116.264194,40.104413
218,史各庄街道_110114013000,116.264727,40.1046
219,史各庄街道_110114013000,116.265261,40.104786
220,史各庄街道_110114013000,116.264099,40.10215
221,史各庄街道_110114013000,116.264001,40.102591
222,史各庄街道_110114013000,116.263754,40.102999
223,史各庄街道_110114013000,116.263508,40.103407
224,史各庄街道_110114013000,116.263272,40.103819
225,史各庄街道_110114013000,116.263249,40.101
226,史各庄街道_110114013000,116.263784,40.101183
227,史各庄街道_110114013000,116.263249,40.101
228,史各庄街道_110114013000,116.263898,40.101124
229,史各庄街道_110114013000,116.263363,40.10094
230,史各庄街道_110114013000,116.263297,40.100918
231,史各庄街道_110114013000,116.263947,40.101042
232,史各庄街道_110114013000,116.263411,40.100859
233,史各庄街道_110114013000,116.263345,40.100836
234,史各庄街道_110114013000,116.263667,40.100463
235,史各庄街道_110114013000,116.264123,40.100181
236,史各庄街道_110114013000,116.264087,40.109773
237,史各庄街道_110114013000,116.263612,40.110035
238,史各庄街道_110114013000,116.263502,40.095229
239,史各庄街道_110114013000,116.263908,40.094909
240,史各庄街道_110114013000,116.263502,40.109415
241,史各庄街道_110114013000,116.263972,40.10968
242,史各庄街道_110114013000,116.26453,40.101389
243,史各庄街道_110114013000,116.263995,40.101203
244,史各庄街道_110114013000,116.263949,40.101903
245,史各庄街道_110114013000,116.263949,40.101903
246,史各庄街道_110114013000,116.264334,40.101564
247,史各庄街道_110114013000,116.264609,40.101328
248,史各庄街道_110114013000,116.264074,40.101142
249,史各庄街道_110114013000,116.264172,40.100152
250,史各庄街道_110114013000,116.264706,40.100335
251,史各庄街道_110114013000,116.265182,40.100598
252,史各庄街道_110114013000,116.266793,40.109312
253,史各庄街道_110114013000,116.266288,40.109541
254,史各庄街道_110114013000,116.265743,40.109704
255,史各庄街道_110114013000,116.265164,40.109774
256,史各庄街道_110114013000,116.264578,40.109773
257,史各庄街道_110114013000,116.264609,40.101328
258,史各庄街道_110114013000,116.265472,40.100763
259,史各庄街道_110114013000,116.265027,40.101056
260,史各庄街道_110114013000,116.265042,40.10576
261,史各庄街道_110114013000,116.265621,40.105726
262,史各庄街道_110114013000,116.266145,40.105528
263,史各庄街道_110114013000,116.265327,40.104811
264,史各庄街道_110114013000,116.265082,40.10522
265,史各庄街道_110114013000,116.266233,40.105481
266,史各庄街道_110114013000,116.265902,40.105111
267,史各庄街道_110114013000,116.265431,40.104847
268,史各庄街道_110114013000,116.266111,40.093545
269,史各庄街道_110114013000,116.265634,40.093806
270,史各庄街道_110114013000,116.265472,40.100763
271,史各庄街道_110114013000,116.265689,40.100857
272,史各庄街道_110114013000,116.265507,40.100767
273,史各庄街道_110114013000,116.265691,40.10034
274,史各庄街道_110114013000,116.265897,40.099918
275,史各庄街道_110114013000,116.266124,40.099503
276,史各庄街道_110114013000,116.265689,40.100857
277,史各庄街道_110114013000,116.266219,40.101049
278,史各庄街道_110114013000,116.266793,40.109312
279,史各庄街道_110114013000,116.266418,40.108967
280,史各庄街道_110114013000,116.266008,40.108645
281,史各庄街道_110114013000,116.266111,40.093545
282,史各庄街道_110114013000,116.266695,40.093568
283,史各庄街道_110114013000,116.266079,40.111516
284,史各庄街道_110114013000,116.26666,40.111487
285,史各庄街道_110114013000,116.266203,40.101933
286,史各庄街道_110114013000,116.266339,40.101496
287,史各庄街道_110114013000,116.266233,40.105481
288,史各庄街道_110114013000,116.266363,40.101322
289,史各庄街道_110114013000,116.267142,40.1011
290,史各庄街道_110114013000,116.266557,40.101076
291,史各庄街道_110114013000,116.266292,40.105493
292,史各庄街道_110114013000,116.266826,40.105675
293,史各庄街道_110114013000,116.266768,40.101728
294,史各庄街道_110114013000,116.266409,40.101372
295,史各庄街道_110114013000,116.267054,40.098928
296,史各庄街道_110114013000,116.266534,40.099137
297,史各庄街道_110114013000,116.267273,40.093878
298,史各庄街道_110114013000,116.266816,40.094161
299,史各庄街道_110114013000,116.266402,40.112764
300,史各庄街道_110114013000,116.26666,40.098036
301,史各庄街道_110114013000,116.267019,40.098392
302,史各庄街道_110114013000,116.26666,40.098036
303,史各庄街道_110114013000,116.266894,40.097622
304,史各庄街道_110114013000,116.267135,40.097212
305,史各庄街道_110114013000,116.267449,40.096836
306,史各庄街道_110114013000,116.267273,40.093878
307,史各庄街道_110114013000,116.266801,40.093611
308,史各庄街道_110114013000,116.268541,40.092607
309,史各庄街道_110114013000,116.268054,40.092356
310,史各庄街道_110114013000,116.267658,40.092026
311,史各庄街道_110114013000,116.267283,40.09168
312,史各庄街道_110114013000,116.266927,40.091323
313,史各庄街道_110114013000,116.269111,40.089678
314,史各庄街道_110114013000,116.268641,40.089947
315,史各庄街道_110114013000,116.268178,40.090223
316,史各庄街道_110114013000,116.267714,40.090498
317,史各庄街道_110114013000,116.267251,40.090774
318,史各庄街道_110114013000,116.266861,40.091105
319,史各庄街道_110114013000,116.268126,40.112749
320,史各庄街道_110114013000,116.267544,40.112695
321,史各庄街道_110114013000,116.266963,40.112641
322,史各庄街道_110114013000,116.266793,40.109312
323,史各庄街道_110114013000,116.2668,40.11145
324,史各庄街道_110114013000,116.266844,40.109317
325,史各庄街道_110114013000,116.266844,40.109317
326,史各庄街道_110114013000,116.267073,40.108902
327,史各庄街道_110114013000,116.267357,40.108508
328,史各庄街道_110114013000,116.26745,40.110137
329,史各庄街道_110114013000,116.267189,40.11054
330,史各庄街道_110114013000,116.266916,40.110939
331,史各庄街道_110114013000,116.267054,40.098928
332,史各庄街道_110114013000,116.267084,40.098897
333,史各庄街道_110114013000,116.26757,40.099149
334,史各庄街道_110114013000,116.268056,40.099401
335,史各庄街道_110114013000,116.268616,40.099475
336,史各庄街道_110114013000,116.269191,40.099384
337,史各庄街道_110114013000,116.267084,40.098897
338,史各庄街道_110114013000,116.267163,40.094954
339,史各庄街道_110114013000,116.267672,40.094733
340,史各庄街道_110114013000,116.267142,40.1011
341,史各庄街道_110114013000,116.267354,40.101519
342,史各庄街道_110114013000,116.268155,40.101052
343,史各庄街道_110114013000,116.267569,40.101071
344,史各庄街道_110114013000,116.2693,40.099366
345,史各庄街道_110114013000,116.269023,40.09897
346,史各庄街道_110114013000,116.268612,40.098652
347,史各庄街道_110114013000,116.26807,40.098491
348,史各庄街道_110114013000,116.267486,40.098501
349,史各庄街道_110114013000,116.267273,40.093878
350,史各庄街道_110114013000,116.267838,40.093997
351,史各庄街道_110114013000,116.267182,40.105735
352,史各庄街道_110114013000,116.267296,40.109494
353,史各庄街道_110114013000,116.267426,40.109933
354,史各庄街道_110114013000,116.268784,40.108684
355,史各庄街道_110114013000,116.268356,40.108992
356,史各庄街道_110114013000,116.267896,40.10927
357,史各庄街道_110114013000,116.267372,40.109472
358,史各庄街道_110114013000,116.267577,40.096749
359,史各庄街道_110114013000,116.268107,40.096941
360,史各庄街道_110114013000,116.268642,40.097124
361,史各庄街道_110114013000,116.269178,40.097307
362,史各庄街道_110114013000,116.269714,40.09749
363,史各庄街道_110114013000,116.27028,40.097592
364,史各庄街道_110114013000,116.267577,40.096749
