ID,Area,Longitude,Latitude
0,密云镇_110118100000,116.806629,40.374955
1,密云镇_110118100000,116.80626,40.374606
2,密云镇_110118100000,116.805937,40.37423
3,密云镇_110118100000,116.805614,40.373854
4,密云镇_110118100000,116.806363,40.384167
5,密云镇_110118100000,116.806803,40.383869
6,密云镇_110118100000,116.807251,40.383577
7,密云镇_110118100000,116.807711,40.383296
8,密云镇_110118100000,116.808172,40.383015
9,密云镇_110118100000,116.808633,40.382735
10,密云镇_110118100000,116.809093,40.382454
11,密云镇_110118100000,116.80956,40.38218
12,密云镇_110118100000,116.81004,40.381919
13,密云镇_110118100000,116.81052,40.381659
14,密云镇_110118100000,116.811,40.381399
15,密云镇_110118100000,116.81149,40.381149
16,密云镇_110118100000,116.811982,40.380901
17,密云镇_110118100000,116.806629,40.374955
18,密云镇_110118100000,116.806952,40.375331
19,密云镇_110118100000,116.80722,40.37573
20,密云镇_110118100000,116.808771,40.40664
21,密云镇_110118100000,116.808553,40.406224
22,密云镇_110118100000,116.808381,40.405793
23,密云镇_110118100000,116.808208,40.405363
24,密云镇_110118100000,116.808036,40.404932
25,密云镇_110118100000,116.807864,40.404501
26,密云镇_110118100000,116.807692,40.40407
27,密云镇_110118100000,116.80752,40.40364
28,密云镇_110118100000,116.807348,40.403209
29,密云镇_110118100000,116.807176,40.402778
30,密云镇_110118100000,116.807094,40.402336
31,密云镇_110118100000,116.807144,40.402115
32,密云镇_110118100000,116.807252,40.375806
33,密云镇_110118100000,116.807576,40.376182
34,密云镇_110118100000,116.8079,40.376557
35,密云镇_110118100000,116.808224,40.376933
36,密云镇_110118100000,116.808548,40.377309
37,密云镇_110118100000,116.808872,40.377685
38,密云镇_110118100000,116.809196,40.37806
39,密云镇_110118100000,116.809521,40.378436
40,密云镇_110118100000,116.809847,40.378811
41,密云镇_110118100000,116.810172,40.379186
42,密云镇_110118100000,116.810497,40.379561
43,密云镇_110118100000,116.810823,40.379936
44,密云镇_110118100000,116.811169,40.380299
45,密云镇_110118100000,116.811624,40.380584
46,密云镇_110118100000,116.808536,40.402064
47,密云镇_110118100000,116.807948,40.402076
48,密云镇_110118100000,116.807359,40.402057
49,密云镇_110118100000,116.810569,40.398527
50,密云镇_110118100000,116.810056,40.398746
51,密云镇_110118100000,116.809604,40.399032
52,密云镇_110118100000,116.809146,40.399316
53,密云镇_110118100000,116.808754,40.399651
54,密云镇_110118100000,116.808396,40.400008
55,密云镇_110118100000,116.808058,40.400376
56,密云镇_110118100000,116.807738,40.400754
57,密云镇_110118100000,116.807464,40.401151
58,密云镇_110118100000,116.807235,40.401565
59,密云镇_110118100000,116.8072,40.40201
60,密云镇_110118100000,116.807802,40.391334
61,密云镇_110118100000,116.808389,40.391307
62,密云镇_110118100000,116.80911,40.406752
63,密云镇_110118100000,116.808849,40.389755
64,密云镇_110118100000,116.808778,40.390202
65,密云镇_110118100000,116.808848,40.390649
66,密云镇_110118100000,116.808906,40.391097
67,密云镇_110118100000,116.808849,40.389755
68,密云镇_110118100000,116.809411,40.389631
69,密云镇_110118100000,116.808916,40.391151
70,密云镇_110118100000,116.809469,40.391306
71,密云镇_110118100000,116.815007,40.406157
72,密云镇_110118100000,116.814421,40.406129
73,密云镇_110118100000,116.813839,40.4062
74,密云镇_110118100000,116.813257,40.40627
75,密云镇_110118100000,116.812675,40.40634
76,密云镇_110118100000,116.812093,40.406411
77,密云镇_110118100000,116.811511,40.406481
78,密云镇_110118100000,116.810929,40.406552
79,密云镇_110118100000,116.810347,40.406622
80,密云镇_110118100000,116.809765,40.406693
81,密云镇_110118100000,116.809182,40.406754
82,密云镇_110118100000,116.809584,40.391339
83,密云镇_110118100000,116.80969,40.391781
84,密云镇_110118100000,116.809754,40.392229
85,密云镇_110118100000,116.809584,40.391339
86,密云镇_110118100000,116.809604,40.391328
87,密云镇_110118100000,116.810152,40.391162
88,密云镇_110118100000,116.810727,40.391097
89,密云镇_110118100000,116.809757,40.392251
90,密云镇_110118100000,116.809842,40.392692
91,密云镇_110118100000,116.809848,40.392728
92,密云镇_110118100000,116.809848,40.392728
93,密云镇_110118100000,116.80978,40.393174
94,密云镇_110118100000,116.809497,40.393554
95,密云镇_110118100000,116.809376,40.393903
96,密云镇_110118100000,116.809437,40.394351
97,密云镇_110118100000,116.809423,40.394801
98,密云镇_110118100000,116.809429,40.395251
99,密云镇_110118100000,116.809261,40.395674
100,密云镇_110118100000,116.809014,40.396083
101,密云镇_110118100000,116.808722,40.396474
102,密云镇_110118100000,116.808384,40.39684
103,密云镇_110118100000,116.80817,40.397259
104,密云镇_110118100000,116.807955,40.397679
105,密云镇_110118100000,116.80774,40.398098
106,密云镇_110118100000,116.807559,40.398521
