ID,Area,Longitude,Latitude
0,崔村镇_110114112000,116.29395,40.27876
1,崔村镇_110114112000,116.294537,40.278757
2,崔村镇_110114112000,116.295125,40.278754
3,崔村镇_110114112000,116.295712,40.27875
4,崔村镇_110114112000,116.2963,40.278747
5,崔村镇_110114112000,116.296887,40.278744
6,崔村镇_110114112000,116.297475,40.27874
7,崔村镇_110114112000,116.298062,40.278737
8,崔村镇_110114112000,116.298635,40.278645
9,崔村镇_110114112000,116.299143,40.278435
10,崔村镇_110114112000,116.300402,40.277977
11,崔村镇_110114112000,116.299843,40.278116
12,崔村镇_110114112000,116.300402,40.277977
13,崔村镇_110114112000,116.300829,40.277669
14,崔村镇_110114112000,116.301324,40.275425
15,崔村镇_110114112000,116.301248,40.275871
16,崔村镇_110114112000,116.301173,40.276317
17,崔村镇_110114112000,116.301098,40.276764
18,崔村镇_110114112000,116.301024,40.27721
19,崔村镇_110114112000,116.301652,40.275102
20,崔村镇_110114112000,116.301652,40.275102
21,崔村镇_110114112000,116.302201,40.274941
22,崔村镇_110114112000,116.301895,40.271291
23,崔村镇_110114112000,116.30198,40.271736
24,崔村镇_110114112000,116.301895,40.271291
25,崔村镇_110114112000,116.302363,40.271018
26,崔村镇_110114112000,116.302019,40.271987
27,崔村镇_110114112000,116.302546,40.272186
28,崔村镇_110114112000,116.302595,40.274826
29,崔村镇_110114112000,116.302624,40.274377
30,崔村镇_110114112000,116.30263,40.273926
31,崔村镇_110114112000,116.302653,40.273477
32,崔村镇_110114112000,116.303011,40.273152
33,崔村镇_110114112000,116.302718,40.270818
34,崔村镇_110114112000,116.303245,40.270626
35,崔村镇_110114112000,116.303142,40.272552
36,崔村镇_110114112000,116.303142,40.272552
37,崔村镇_110114112000,116.303063,40.272997
38,崔村镇_110114112000,116.303335,40.270613
39,崔村镇_110114112000,116.303803,40.270887
40,崔村镇_110114112000,116.304757,40.26757
41,崔村镇_110114112000,116.30436,40.267902
42,崔村镇_110114112000,116.303976,40.26824
43,崔村镇_110114112000,116.30376,40.268659
44,崔村镇_110114112000,116.303752,40.269108
45,崔村镇_110114112000,116.30377,40.269557
46,崔村镇_110114112000,116.303672,40.26999
47,崔村镇_110114112000,116.303409,40.270392
48,崔村镇_110114112000,116.304063,40.271216
49,崔村镇_110114112000,116.304063,40.271216
50,崔村镇_110114112000,116.305546,40.270888
51,崔村镇_110114112000,116.30501,40.271071
52,崔村镇_110114112000,116.30445,40.271206
53,崔村镇_110114112000,116.305957,40.265869
54,崔村镇_110114112000,116.305627,40.266241
55,崔村镇_110114112000,116.305287,40.266609
56,崔村镇_110114112000,116.305045,40.267016
57,崔村镇_110114112000,116.304836,40.267437
58,崔村镇_110114112000,116.307991,40.274388
59,崔村镇_110114112000,116.307731,40.273986
60,崔村镇_110114112000,116.307328,40.273659
61,崔村镇_110114112000,116.306952,40.273317
62,崔村镇_110114112000,116.306695,40.272912
63,崔村镇_110114112000,116.306411,40.272519
64,崔村镇_110114112000,116.306058,40.27216
65,崔村镇_110114112000,116.305957,40.265869
66,崔村镇_110114112000,116.306029,40.265423
67,崔村镇_110114112000,116.30609,40.264975
68,崔村镇_110114112000,116.306143,40.264526
69,崔村镇_110114112000,116.306167,40.264077
70,崔村镇_110114112000,116.30619,40.263627
71,崔村镇_110114112000,116.308356,40.260886
72,崔村镇_110114112000,116.308011,40.26125
73,崔村镇_110114112000,116.307657,40.261609
74,崔村镇_110114112000,116.307341,40.261988
75,崔村镇_110114112000,116.307025,40.262367
76,崔村镇_110114112000,116.306709,40.262747
77,崔村镇_110114112000,116.306393,40.263126
78,崔村镇_110114112000,116.307768,40.275373
79,崔村镇_110114112000,116.308237,40.275645
80,崔村镇_110114112000,116.307768,40.275373
81,崔村镇_110114112000,116.307853,40.274929
82,崔村镇_110114112000,116.307978,40.274489
83,崔村镇_110114112000,116.308356,40.260886
84,崔村镇_110114112000,116.308392,40.260437
85,崔村镇_110114112000,116.308414,40.259988
86,崔村镇_110114112000,116.308437,40.259552
87,崔村镇_110114112000,116.308637,40.259129
88,崔村镇_110114112000,116.308895,40.258725
