ID,Area,Longitude,Latitude
0,旺泉街道_110113013000,116.616819,40.132456
1,旺泉街道_110113013000,116.616965,40.132021
2,旺泉街道_110113013000,116.617111,40.131585
3,旺泉街道_110113013000,116.617226,40.131144
4,旺泉街道_110113013000,116.6173,40.130697
5,旺泉街道_110113013000,116.617374,40.13025
6,旺泉街道_110113013000,116.617448,40.129803
7,旺泉街道_110113013000,116.617504,40.129355
8,旺泉街道_110113013000,116.617541,40.128906
9,旺泉街道_110113013000,116.617577,40.128457
10,旺泉街道_110113013000,116.617607,40.128008
11,旺泉街道_110113013000,116.617616,40.127558
12,旺泉街道_110113013000,116.617624,40.127107
13,旺泉街道_110113013000,116.617632,40.126657
14,旺泉街道_110113013000,116.617641,40.126207
15,旺泉街道_110113013000,116.617649,40.125757
16,旺泉街道_110113013000,116.617657,40.125307
17,旺泉街道_110113013000,116.617665,40.124856
18,旺泉街道_110113013000,116.617674,40.124406
19,旺泉街道_110113013000,116.617682,40.123956
20,旺泉街道_110113013000,116.61769,40.123506
21,旺泉街道_110113013000,116.617698,40.123056
22,旺泉街道_110113013000,116.617706,40.122605
23,旺泉街道_110113013000,116.617715,40.122155
24,旺泉街道_110113013000,116.617728,40.121705
25,旺泉街道_110113013000,116.617746,40.121255
26,旺泉街道_110113013000,116.617763,40.120805
27,旺泉街道_110113013000,116.617781,40.120354
28,旺泉街道_110113013000,116.617798,40.119904
29,旺泉街道_110113013000,116.617816,40.119454
30,旺泉街道_110113013000,116.617833,40.119004
31,旺泉街道_110113013000,116.617851,40.118554
32,旺泉街道_110113013000,116.617868,40.118104
33,旺泉街道_110113013000,116.617886,40.117653
34,旺泉街道_110113013000,116.617903,40.117203
35,旺泉街道_110113013000,116.617923,40.116753
36,旺泉街道_110113013000,116.617948,40.116303
37,旺泉街道_110113013000,116.617974,40.115854
38,旺泉街道_110113013000,116.618004,40.115404
39,旺泉街道_110113013000,116.618012,40.114954
40,旺泉街道_110113013000,116.618019,40.114504
41,旺泉街道_110113013000,116.61806,40.114055
42,旺泉街道_110113013000,116.618209,40.112847
43,旺泉街道_110113013000,116.618023,40.11327
44,旺泉街道_110113013000,116.618015,40.11372
45,旺泉街道_110113013000,116.618209,40.112847
46,旺泉街道_110113013000,116.618041,40.112418
47,旺泉街道_110113013000,116.618048,40.111968
48,旺泉街道_110113013000,116.61808,40.111519
49,旺泉街道_110113013000,116.618137,40.111336
50,旺泉街道_110113013000,116.618111,40.110887
51,旺泉街道_110113013000,116.618099,40.110437
52,旺泉街道_110113013000,116.618112,40.109987
53,旺泉街道_110113013000,116.618125,40.109536
54,旺泉街道_110113013000,116.618238,40.109098
55,旺泉街道_110113013000,116.618209,40.112847
56,旺泉街道_110113013000,116.618794,40.11287
57,旺泉街道_110113013000,116.619369,40.112958
58,旺泉街道_110113013000,116.618294,40.109008
59,旺泉街道_110113013000,116.618881,40.109027
60,旺泉街道_110113013000,116.619459,40.109086
61,旺泉街道_110113013000,116.620026,40.109201
62,旺泉街道_110113013000,116.620598,40.109295
63,旺泉街道_110113013000,116.621181,40.10931
64,旺泉街道_110113013000,116.621767,40.109285
65,旺泉街道_110113013000,116.622352,40.109261
66,旺泉街道_110113013000,116.622938,40.109246
67,旺泉街道_110113013000,116.623524,40.109242
68,旺泉街道_110113013000,116.619754,40.088123
69,旺泉街道_110113013000,116.619578,40.088552
70,旺泉街道_110113013000,116.619438,40.088989
71,旺泉街道_110113013000,116.619301,40.089427
72,旺泉街道_110113013000,116.619165,40.089864
73,旺泉街道_110113013000,116.619043,40.090304
74,旺泉街道_110113013000,116.618946,40.090749
75,旺泉街道_110113013000,116.61885,40.091193
76,旺泉街道_110113013000,116.618753,40.091637
77,旺泉街道_110113013000,116.618701,40.092086
78,旺泉街道_110113013000,116.618662,40.092535
79,旺泉街道_110113013000,116.618622,40.092984
80,旺泉街道_110113013000,116.6186,40.093434
