ID,Area,Longitude,Latitude
0,琉璃庙镇_110116110000,116.467036,40.517308
1,琉璃庙镇_110116110000,116.467336,40.517695
2,琉璃庙镇_110116110000,116.472636,40.522603
3,琉璃庙镇_110116110000,116.472081,40.522741
4,琉璃庙镇_110116110000,116.472257,40.526128
5,琉璃庙镇_110116110000,116.472514,40.526533
6,琉璃庙镇_110116110000,116.473808,40.527843
7,琉璃庙镇_110116110000,116.474196,40.528182
8,琉璃庙镇_110116110000,116.474296,40.528268
9,琉璃庙镇_110116110000,116.474858,40.528404
10,琉璃庙镇_110116110000,116.475398,40.528583
11,琉璃庙镇_110116110000,116.475889,40.528832
12,琉璃庙镇_110116110000,116.476366,40.529097
13,琉璃庙镇_110116110000,116.477722,40.529022
14,琉璃庙镇_110116110000,116.478265,40.529185
15,琉璃庙镇_110116110000,116.47841,40.529219
16,琉璃庙镇_110116110000,116.478824,40.52954
17,琉璃庙镇_110116110000,116.480248,40.530199
18,琉璃庙镇_110116110000,116.479718,40.530002
19,琉璃庙镇_110116110000,116.47921,40.529774
20,琉璃庙镇_110116110000,116.481795,40.52977
21,琉璃庙镇_110116110000,116.481231,40.529903
22,琉璃庙镇_110116110000,116.480683,40.530068
23,琉璃庙镇_110116110000,116.483864,40.531151
24,琉璃庙镇_110116110000,116.483504,40.530794
25,琉璃庙镇_110116110000,116.483144,40.530438
26,琉璃庙镇_110116110000,116.482765,40.530093
27,琉璃庙镇_110116110000,116.482262,40.529886
28,琉璃庙镇_110116110000,116.485334,40.531433
29,琉璃庙镇_110116110000,116.485817,40.531681
30,琉璃庙镇_110116110000,116.486334,40.531898
31,琉璃庙镇_110116110000,116.486883,40.532062
32,琉璃庙镇_110116110000,116.491773,40.533371
33,琉璃庙镇_110116110000,116.491286,40.533119
34,琉璃庙镇_110116110000,116.490797,40.532866
35,琉璃庙镇_110116110000,116.490308,40.532616
36,琉璃庙镇_110116110000,116.489772,40.532427
37,琉璃庙镇_110116110000,116.489214,40.532285
38,琉璃庙镇_110116110000,116.488643,40.532173
39,琉璃庙镇_110116110000,116.495387,40.531853
40,琉璃庙镇_110116110000,116.494797,40.531831
41,琉璃庙镇_110116110000,116.494216,40.531904
42,琉璃庙镇_110116110000,116.493704,40.532122
43,琉璃庙镇_110116110000,116.493256,40.532413
44,琉璃庙镇_110116110000,116.49589,40.532087
45,琉璃庙镇_110116110000,116.49589,40.532087
46,琉璃庙镇_110116110000,116.49632,40.532396
47,琉璃庙镇_110116110000,116.502551,40.534264
48,琉璃庙镇_110116110000,116.501996,40.534111
49,琉璃庙镇_110116110000,116.50144,40.533959
50,琉璃庙镇_110116110000,116.500892,40.533792
51,琉璃庙镇_110116110000,116.500356,40.533606
52,琉璃庙镇_110116110000,116.499815,40.533426
53,琉璃庙镇_110116110000,116.49926,40.533272
54,琉璃庙镇_110116110000,116.498705,40.533119
55,琉璃庙镇_110116110000,116.498153,40.532961
56,琉璃庙镇_110116110000,116.4976,40.532803
57,琉璃庙镇_110116110000,116.497031,40.532684
58,琉璃庙镇_110116110000,116.496498,40.532496
59,琉璃庙镇_110116110000,116.502551,40.534264
