ID,Area,Longitude,Latitude
0,西集镇_110112110000,116.776233,39.810294
1,西集镇_110112110000,116.776475,39.810704
2,西集镇_110112110000,116.776233,39.810294
3,西集镇_110112110000,116.776706,39.810034
4,西集镇_110112110000,116.777215,39.809814
5,西集镇_110112110000,116.777221,39.814383
6,西集镇_110112110000,116.777037,39.813956
7,西集镇_110112110000,116.776968,39.813509
8,西集镇_110112110000,116.776907,39.813061
9,西集镇_110112110000,116.776845,39.812613
10,西集镇_110112110000,116.776789,39.812164
11,西集镇_110112110000,116.776731,39.811716
12,西集镇_110112110000,116.776663,39.811269
13,西集镇_110112110000,116.777099,39.808904
14,西集镇_110112110000,116.777363,39.809306
15,西集镇_110112110000,116.777325,39.808357
16,西集镇_110112110000,116.777146,39.808785
17,西集镇_110112110000,116.781151,39.818528
18,西集镇_110112110000,116.780666,39.818277
19,西集镇_110112110000,116.780182,39.818026
20,西集镇_110112110000,116.779691,39.817782
21,西集镇_110112110000,116.779201,39.817537
22,西集镇_110112110000,116.778721,39.817281
23,西集镇_110112110000,116.778288,39.81698
24,西集镇_110112110000,116.77788,39.816661
25,西集镇_110112110000,116.777549,39.81629
26,西集镇_110112110000,116.777322,39.815889
27,西集镇_110112110000,116.777198,39.815449
28,西集镇_110112110000,116.777094,39.815006
29,西集镇_110112110000,116.777109,39.814765
30,西集镇_110112110000,116.777292,39.814451
31,西集镇_110112110000,116.78167,39.81427
32,西集镇_110112110000,116.781122,39.814118
33,西集镇_110112110000,116.780542,39.814125
34,西集镇_110112110000,116.779963,39.814183
35,西集镇_110112110000,116.779385,39.814246
36,西集镇_110112110000,116.778808,39.814312
37,西集镇_110112110000,116.77823,39.814378
38,西集镇_110112110000,116.777652,39.814439
39,西集镇_110112110000,116.780973,39.808014
40,西集镇_110112110000,116.780584,39.808347
41,西集镇_110112110000,116.78008,39.808574
42,西集镇_110112110000,116.779571,39.808794
43,西集镇_110112110000,116.779061,39.809015
44,西集镇_110112110000,116.778552,39.809235
45,西集镇_110112110000,116.778042,39.809455
46,西集镇_110112110000,116.777785,39.807385
47,西集镇_110112110000,116.778028,39.806978
48,西集镇_110112110000,116.778147,39.806859
49,西集镇_110112110000,116.778711,39.806961
50,西集镇_110112110000,116.779239,39.807151
51,西集镇_110112110000,116.779768,39.807341
52,西集镇_110112110000,116.780297,39.807531
53,西集镇_110112110000,116.780767,39.807794
54,西集镇_110112110000,116.78167,39.81427
55,西集镇_110112110000,116.781463,39.814691
56,西集镇_110112110000,116.781296,39.815123
57,西集镇_110112110000,116.781165,39.815561
58,西集镇_110112110000,116.781033,39.816
59,西集镇_110112110000,116.780902,39.816438
60,西集镇_110112110000,116.780973,39.808014
61,西集镇_110112110000,116.781555,39.807979
62,西集镇_110112110000,116.78167,39.81427
63,西集镇_110112110000,116.783191,39.808849
64,西集镇_110112110000,116.78268,39.808636
65,西集镇_110112110000,116.782202,39.808379
66,西集镇_110112110000,116.781853,39.80802
67,西集镇_110112110000,116.781821,39.807973
68,西集镇_110112110000,116.782229,39.807654
69,西集镇_110112110000,116.782733,39.807427
70,西集镇_110112110000,116.783242,39.807207
71,西集镇_110112110000,116.783752,39.806986
72,西集镇_110112110000,116.784261,39.806766
73,西集镇_110112110000,116.784779,39.806558
74,西集镇_110112110000,116.785299,39.806354
75,西集镇_110112110000,116.785819,39.806149
76,西集镇_110112110000,116.786349,39.805961
77,西集镇_110112110000,116.786882,39.805776
78,西集镇_110112110000,116.787429,39.805625
79,西集镇_110112110000,116.784796,39.8139
80,西集镇_110112110000,116.784212,39.813916
81,西集镇_110112110000,116.783635,39.813982
82,西集镇_110112110000,116.783052,39.814005
83,西集镇_110112110000,116.782493,39.814131
84,西集镇_110112110000,116.782261,39.811328
85,西集镇_110112110000,116.782843,39.811338
86,西集镇_110112110000,116.782351,39.81929
87,西集镇_110112110000,116.782818,39.81956
88,西集镇_110112110000,116.783285,39.819829
89,西集镇_110112110000,116.783772,39.820076
90,西集镇_110112110000,116.783652,39.809322
91,西集镇_110112110000,116.783315,39.808956
92,西集镇_110112110000,116.783251,39.811302
93,西集镇_110112110000,116.783812,39.811339
94,西集镇_110112110000,116.783251,39.811302
95,西集镇_110112110000,116.783542,39.810912
96,西集镇_110112110000,116.783984,39.810621
97,西集镇_110112110000,116.783652,39.809322
98,西集镇_110112110000,116.784168,39.809531
99,西集镇_110112110000,116.784391,39.819961
100,西集镇_110112110000,116.784286,39.810501
101,西集镇_110112110000,116.78475,39.809887
102,西集镇_110112110000,116.78445,39.810274
103,西集镇_110112110000,116.785216,39.81095
104,西集镇_110112110000,116.784678,39.810775
105,西集镇_110112110000,116.784369,39.810674
106,西集镇_110112110000,116.78475,39.809887
107,西集镇_110112110000,116.785177,39.820295
108,西集镇_110112110000,116.784665,39.820078
109,西集镇_110112110000,116.784391,39.819961
110,西集镇_110112110000,116.784443,39.819512
111,西集镇_110112110000,116.784503,39.819065
112,西集镇_110112110000,116.784572,39.818617
113,西集镇_110112110000,116.784713,39.818183
114,西集镇_110112110000,116.785329,39.820697
115,西集镇_110112110000,116.784753,39.820622
116,西集镇_110112110000,116.785056,39.811191
117,西集镇_110112110000,116.784518,39.811016
118,西集镇_110112110000,116.784632,39.817159
119,西集镇_110112110000,116.784718,39.817601
120,西集镇_110112110000,116.784632,39.817159
121,西集镇_110112110000,116.784686,39.816711
122,西集镇_110112110000,116.784723,39.816261
123,西集镇_110112110000,116.784774,39.815813
124,西集镇_110112110000,116.784982,39.815395
125,西集镇_110112110000,116.78475,39.809887
126,西集镇_110112110000,116.784796,39.8139
127,西集镇_110112110000,116.785174,39.814243
128,西集镇_110112110000,116.784796,39.8139
129,西集镇_110112110000,116.784935,39.813462
130,西集镇_110112110000,116.785008,39.813016
131,西集镇_110112110000,116.784831,39.818032
132,西集镇_110112110000,116.785407,39.818102
133,西集镇_110112110000,116.785969,39.818222
134,西集镇_110112110000,116.785477,39.814535
135,西集镇_110112110000,116.785216,39.814937
136,西集镇_110112110000,116.7853,39.812343
137,西集镇_110112110000,116.78509,39.809848
138,西集镇_110112110000,116.785649,39.80998
139,西集镇_110112110000,116.78509,39.809848
140,西集镇_110112110000,116.785241,39.809413
141,西集镇_110112110000,116.785399,39.808979
142,西集镇_110112110000,116.785177,39.820295
143,西集镇_110112110000,116.785177,39.820295
144,西集镇_110112110000,116.785501,39.81992
145,西集镇_110112110000,116.7853,39.812343
146,西集镇_110112110000,116.785544,39.811934
147,西集镇_110112110000,116.785781,39.811523
148,西集镇_110112110000,116.785329,39.820697
149,西集镇_110112110000,116.785352,39.820754
150,西集镇_110112110000,116.785851,39.820986
151,西集镇_110112110000,116.786379,39.821177
152,西集镇_110112110000,116.78548,39.80882
153,西集镇_110112110000,116.785477,39.814535
154,西集镇_110112110000,116.786057,39.81449
155,西集镇_110112110000,116.785525,39.808736
156,西集镇_110112110000,116.785845,39.808365
157,西集镇_110112110000,116.785558,39.819849
158,西集镇_110112110000,116.785853,39.819461
159,西集镇_110112110000,116.786141,39.81907
160,西集镇_110112110000,116.786389,39.818663
161,西集镇_110112110000,116.785674,39.809986
162,西集镇_110112110000,116.785817,39.810423
163,西集镇_110112110000,116.785963,39.810859
164,西集镇_110112110000,116.786152,39.811284
165,西集镇_110112110000,116.785674,39.809986
166,西集镇_110112110000,116.786234,39.809857
167,西集镇_110112110000,116.785715,39.800954
168,西集镇_110112110000,116.786074,39.800598
169,西集镇_110112110000,116.786364,39.800208
170,西集镇_110112110000,116.786172,39.811385
171,西集镇_110112110000,116.785934,39.811796
172,西集镇_110112110000,116.786172,39.811385
173,西集镇_110112110000,116.785994,39.808266
174,西集镇_110112110000,116.786556,39.808382
175,西集镇_110112110000,116.786662,39.809179
176,西集镇_110112110000,116.786116,39.809019
177,西集镇_110112110000,116.786197,39.811377
178,西集镇_110112110000,116.786361,39.81143
179,西集镇_110112110000,116.786303,39.809841
180,西集镇_110112110000,116.786835,39.810028
181,西集镇_110112110000,116.786662,39.809179
182,西集镇_110112110000,116.786438,39.809595
183,西集镇_110112110000,116.786361,39.81143
184,西集镇_110112110000,116.786477,39.818336
185,西集镇_110112110000,116.786496,39.800026
186,西集镇_110112110000,116.786716,39.799608
187,西集镇_110112110000,116.787051,39.817758
188,西集镇_110112110000,116.786694,39.818111
189,西集镇_110112110000,116.78648,39.821201
190,西集镇_110112110000,116.78648,39.821201
191,西集镇_110112110000,116.786807,39.820829
192,西集镇_110112110000,116.786763,39.815136
193,西集镇_110112110000,116.78661,39.814702
194,西集镇_110112110000,116.786526,39.814496
195,西集镇_110112110000,116.786951,39.814188
196,西集镇_110112110000,116.786648,39.811479
197,西集镇_110112110000,116.786543,39.811453
198,西集镇_110112110000,116.78677,39.811038
199,西集镇_110112110000,116.789168,39.802541
200,西集镇_110112110000,116.788605,39.802425
201,西集镇_110112110000,116.788061,39.802262
202,西集镇_110112110000,116.787517,39.8021
203,西集镇_110112110000,116.786973,39.801937
204,西集镇_110112110000,116.787042,39.822096
205,西集镇_110112110000,116.786739,39.821712
206,西集镇_110112110000,116.787662,39.811862
207,西集镇_110112110000,116.787145,39.811653
208,西集镇_110112110000,116.786648,39.811479
209,西集镇_110112110000,116.786879,39.811065
210,西集镇_110112110000,116.786595,39.830381
211,西集镇_110112110000,116.786947,39.830026
212,西集镇_110112110000,116.787437,39.829784
213,西集镇_110112110000,116.7868,39.808447
214,西集镇_110112110000,116.786787,39.808895
215,西集镇_110112110000,116.787368,39.81645
216,西集镇_110112110000,116.7868,39.81655
217,西集镇_110112110000,116.787552,39.815785
218,西集镇_110112110000,116.787156,39.815454
219,西集镇_110112110000,116.7868,39.808447
220,西集镇_110112110000,116.787176,39.808104
221,西集镇_110112110000,116.787404,39.80769
222,西集镇_110112110000,116.78761,39.807269
223,西集镇_110112110000,116.787837,39.806855
224,西集镇_110112110000,116.786884,39.799306
225,西集镇_110112110000,116.787464,39.799351
226,西集镇_110112110000,116.788039,39.79943
227,西集镇_110112110000,116.788619,39.799454
228,西集镇_110112110000,116.789172,39.799318
229,西集镇_110112110000,116.787183,39.81019
230,西集镇_110112110000,116.786946,39.810602
231,西集镇_110112110000,116.787221,39.810313
232,西集镇_110112110000,116.786999,39.810729
233,西集镇_110112110000,116.787183,39.81019
234,西集镇_110112110000,116.787051,39.817758
235,西集镇_110112110000,116.787015,39.817671
236,西集镇_110112110000,116.787121,39.817228
237,西集镇_110112110000,116.787146,39.817759
238,西集镇_110112110000,116.788109,39.823287
239,西集镇_110112110000,116.787708,39.822961
240,西集镇_110112110000,116.787411,39.822574
241,西集镇_110112110000,116.787115,39.822186
242,西集镇_110112110000,116.78711,39.813226
243,西集镇_110112110000,116.787119,39.813676
244,西集镇_110112110000,116.787323,39.81278
245,西集镇_110112110000,116.787121,39.813203
246,西集镇_110112110000,116.789786,39.814243
247,西集镇_110112110000,116.789227,39.814124
248,西集镇_110112110000,116.788644,39.814099
249,西集镇_110112110000,116.788061,39.814082
250,西集镇_110112110000,116.787478,39.814049
251,西集镇_110112110000,116.787146,39.817759
252,西集镇_110112110000,116.787728,39.817789
253,西集镇_110112110000,116.787146,39.817759
254,西集镇_110112110000,116.787329,39.817332
255,西集镇_110112110000,116.787183,39.81019
256,西集镇_110112110000,116.787221,39.810313
257,西集镇_110112110000,116.78721,39.816808
258,西集镇_110112110000,116.787235,39.810217
259,西集镇_110112110000,116.787808,39.810301
260,西集镇_110112110000,116.787709,39.812102
261,西集镇_110112110000,116.787485,39.812518
262,西集镇_110112110000,116.787773,39.829687
263,西集镇_110112110000,116.787351,39.829376
264,西集镇_110112110000,116.787368,39.81645
265,西集镇_110112110000,116.788024,39.797606
266,西集镇_110112110000,116.787776,39.798012
267,西集镇_110112110000,116.787552,39.815785
268,西集镇_110112110000,116.787724,39.816215
269,西集镇_110112110000,116.787662,39.811862
270,西集镇_110112110000,116.787846,39.811719
271,西集镇_110112110000,116.787709,39.812102
272,西集镇_110112110000,116.788246,39.812279
273,西集镇_110112110000,116.788773,39.812472
274,西集镇_110112110000,116.789306,39.812655
275,西集镇_110112110000,116.7877,39.828764
276,西集镇_110112110000,116.788283,39.828788
277,西集镇_110112110000,116.787765,39.816313
278,西集镇_110112110000,116.789088,39.818279
279,西集镇_110112110000,116.788522,39.818185
280,西集镇_110112110000,116.788023,39.817958
281,西集镇_110112110000,116.787777,39.817787
282,西集镇_110112110000,116.787983,39.817365
283,西集镇_110112110000,116.788145,39.816933
284,西集镇_110112110000,116.78788,39.79258
285,西集镇_110112110000,116.788405,39.792661
286,西集镇_110112110000,116.787835,39.829683
287,西集镇_110112110000,116.787846,39.811719
288,西集镇_110112110000,116.788061,39.810463
289,西集镇_110112110000,116.787941,39.810904
290,西集镇_110112110000,116.787846,39.811719
291,西集镇_110112110000,116.788352,39.811495
292,西集镇_110112110000,116.788752,39.811172
293,西集镇_110112110000,116.787976,39.805749
294,西集镇_110112110000,116.7879,39.805616
295,西集镇_110112110000,116.788314,39.805301
296,西集镇_110112110000,116.788828,39.805089
297,西集镇_110112110000,116.78813,39.829578
298,西集镇_110112110000,116.787976,39.805749
299,西集镇_110112110000,116.787986,39.806197
300,西集镇_110112110000,116.78795,39.806645
301,西集镇_110112110000,116.788081,39.810364
302,西集镇_110112110000,116.788055,39.81033
303,西集镇_110112110000,116.78836,39.809947
304,西集镇_110112110000,116.788061,39.810459
305,西集镇_110112110000,116.788081,39.810364
306,西集镇_110112110000,116.788548,39.810634
307,西集镇_110112110000,116.788136,39.823469
308,西集镇_110112110000,116.788109,39.823287
309,西集镇_110112110000,116.788569,39.823011
310,西集镇_110112110000,116.788541,39.824389
311,西集镇_110112110000,116.788323,39.823971
312,西集镇_110112110000,116.788162,39.823538
313,西集镇_110112110000,116.78813,39.829578
314,西集镇_110112110000,116.788456,39.829951
315,西集镇_110112110000,116.788422,39.828798
316,西集镇_110112110000,116.788311,39.82924
317,西集镇_110112110000,116.788173,39.825327
318,西集镇_110112110000,116.788173,39.825327
319,西集镇_110112110000,116.788221,39.824882
320,西集镇_110112110000,116.788471,39.824476
321,西集镇_110112110000,116.788186,39.825417
322,西集镇_110112110000,116.788261,39.825894
323,西集镇_110112110000,116.78831,39.796664
324,西集镇_110112110000,116.788387,39.796218
325,西集镇_110112110000,116.788451,39.79577
326,西集镇_110112110000,116.78848,39.795321
327,西集镇_110112110000,116.788483,39.794871
328,西集镇_110112110000,116.788494,39.79442
329,西集镇_110112110000,116.788527,39.793971
330,西集镇_110112110000,116.788568,39.793522
331,西集镇_110112110000,116.788602,39.793073
332,西集镇_110112110000,116.78827,39.816427
333,西集镇_110112110000,116.789144,39.815893
334,西集镇_110112110000,116.788695,39.816181
335,西集镇_110112110000,116.788261,39.825894
336,西集镇_110112110000,116.78856,39.826279
337,西集镇_110112110000,116.788968,39.8266
338,西集镇_110112110000,116.789561,39.817605
339,西集镇_110112110000,116.789213,39.817246
340,西集镇_110112110000,116.78882,39.816914
341,西集镇_110112110000,116.788412,39.816591
342,西集镇_110112110000,116.788422,39.828798
343,西集镇_110112110000,116.788572,39.828363
344,西集镇_110112110000,116.788709,39.827925
