ID,Area,Longitude,Latitude
0,迎风街道_110111006000,115.915278,39.733976
1,迎风街道_110111006000,115.914815,39.734249
2,迎风街道_110111006000,115.914529,39.734632
3,迎风街道_110111006000,115.914437,39.735067
4,迎风街道_110111006000,115.914429,39.735516
5,迎风街道_110111006000,115.914729,39.732739
6,迎风街道_110111006000,115.915293,39.732809
7,迎风街道_110111006000,115.917761,39.732923
8,迎风街道_110111006000,115.918314,39.733067
9,迎风街道_110111006000,115.918866,39.733211
10,迎风街道_110111006000,115.919419,39.733355
11,迎风街道_110111006000,115.919934,39.73356
12,迎风街道_110111006000,115.918304,39.735362
13,迎风街道_110111006000,115.918887,39.735362
14,迎风街道_110111006000,115.91947,39.735368
15,迎风街道_110111006000,115.918759,39.737861
16,迎风街道_110111006000,115.919341,39.737859
17,迎风街道_110111006000,115.918817,39.736609
18,迎风街道_110111006000,115.9194,39.736608
19,迎风街道_110111006000,115.919089,39.740991
20,迎风街道_110111006000,115.919265,39.741417
21,迎风街道_110111006000,115.919273,39.741427
22,迎风街道_110111006000,115.92038,39.7414
23,迎风街道_110111006000,115.919819,39.741519
24,迎风街道_110111006000,115.919923,39.737859
25,迎风街道_110111006000,115.919943,39.737409
26,迎风街道_110111006000,115.919944,39.736959
27,迎风街道_110111006000,115.919958,39.736577
28,迎风街道_110111006000,115.919951,39.735363
29,迎风街道_110111006000,115.919952,39.735813
30,迎风街道_110111006000,115.919951,39.736264
31,迎风街道_110111006000,115.919951,39.735363
32,迎风街道_110111006000,115.920095,39.738855
33,迎风街道_110111006000,115.919941,39.738424
34,迎风街道_110111006000,115.919924,39.737974
35,迎风街道_110111006000,115.921468,39.737847
36,迎风街道_110111006000,115.920884,39.737853
37,迎风街道_110111006000,115.920301,39.737857
38,迎风街道_110111006000,115.922539,39.735314
39,迎风街道_110111006000,115.921956,39.735311
40,迎风街道_110111006000,115.921373,39.735325
41,迎风街道_110111006000,115.92079,39.735339
42,迎风街道_110111006000,115.920207,39.73535
43,迎风街道_110111006000,115.919976,39.735344
44,迎风街道_110111006000,115.919957,39.734894
45,迎风街道_110111006000,115.919959,39.734443
46,迎风街道_110111006000,115.920004,39.733996
47,迎风街道_110111006000,115.919958,39.736577
48,迎风街道_110111006000,115.920541,39.736598
49,迎风街道_110111006000,115.921123,39.736599
50,迎风街道_110111006000,115.920143,39.733708
51,迎风街道_110111006000,115.920095,39.738855
52,迎风街道_110111006000,115.920678,39.738878
53,迎风街道_110111006000,115.92126,39.738893
54,迎风街道_110111006000,115.920095,39.738855
55,迎风街道_110111006000,115.919936,39.739285
56,迎风街道_110111006000,115.919956,39.739734
57,迎风街道_110111006000,115.920083,39.740016
58,迎风街道_110111006000,115.92066,39.740039
59,迎风街道_110111006000,115.921231,39.739949
60,迎风街道_110111006000,115.920248,39.730666
61,迎风街道_110111006000,115.920295,39.731111
62,迎风街道_110111006000,115.921071,39.730162
63,迎风街道_110111006000,115.920589,39.730413
64,迎风街道_110111006000,115.920709,39.742883
65,迎风街道_110111006000,115.920244,39.742614
66,迎风街道_110111006000,115.920331,39.731187
67,迎风街道_110111006000,115.920897,39.731277
68,迎风街道_110111006000,115.921473,39.73133
69,迎风街道_110111006000,115.920345,39.7337
70,迎风街道_110111006000,115.92091,39.733809
71,迎风街道_110111006000,115.921471,39.733698
72,迎风街道_110111006000,115.920387,39.745605
73,迎风街道_110111006000,115.920936,39.745751
74,迎风街道_110111006000,115.92044,39.743741
75,迎风街道_110111006000,115.92092,39.743485
76,迎风街道_110111006000,115.920986,39.743456
77,迎风街道_110111006000,115.920759,39.743043
78,迎风街道_110111006000,115.920709,39.742883
79,迎风街道_110111006000,115.920959,39.742477
80,迎风街道_110111006000,115.920835,39.744395
81,迎风街道_110111006000,115.920881,39.744841
82,迎风街道_110111006000,115.921178,39.745228
83,迎风街道_110111006000,115.920835,39.744395
84,迎风街道_110111006000,115.921109,39.743998
85,迎风街道_110111006000,115.922973,39.730133
86,迎风街道_110111006000,115.92239,39.73013
87,迎风街道_110111006000,115.921807,39.730136
88,迎风街道_110111006000,115.921224,39.730145
89,迎风街道_110111006000,115.920986,39.743456
90,迎风街道_110111006000,115.921043,39.745764
91,迎风街道_110111006000,115.921076,39.746214
92,迎风街道_110111006000,115.921043,39.745764
93,迎风街道_110111006000,115.921101,39.742245
94,迎风街道_110111006000,115.921619,39.742049
95,迎风街道_110111006000,115.922159,39.741882
96,迎风街道_110111006000,115.921314,39.745398
97,迎风街道_110111006000,115.922896,39.748307
