ID,Area,Longitude,Latitude
0,镇罗营镇_110117114000,117.09755,40.325027
1,镇罗营镇_110117114000,117.097568,40.324579
2,镇罗营镇_110117114000,117.09957,40.324101
3,镇罗营镇_110117114000,117.100118,40.324264
4,镇罗营镇_110117114000,117.100658,40.324442
5,镇罗营镇_110117114000,117.101183,40.324646
6,镇罗营镇_110117114000,117.100078,40.310733
7,镇罗营镇_110117114000,117.100433,40.309925
8,镇罗营镇_110117114000,117.100134,40.310308
9,镇罗营镇_110117114000,117.100353,40.310947
10,镇罗营镇_110117114000,117.100346,40.311394
11,镇罗营镇_110117114000,117.100433,40.309925
12,镇罗营镇_110117114000,117.101017,40.309977
13,镇罗营镇_110117114000,117.101455,40.306791
14,镇罗营镇_110117114000,117.101205,40.307197
15,镇罗营镇_110117114000,117.101008,40.307619
16,镇罗营镇_110117114000,117.10118,40.309991
17,镇罗营镇_110117114000,117.101515,40.309625
18,镇罗营镇_110117114000,117.101534,40.32478
19,镇罗营镇_110117114000,117.105481,40.321057
20,镇罗营镇_110117114000,117.105163,40.321429
21,镇罗营镇_110117114000,117.104853,40.321811
22,镇罗营镇_110117114000,117.104505,40.322173
23,镇罗营镇_110117114000,117.104157,40.322536
24,镇罗营镇_110117114000,117.103809,40.322899
25,镇罗营镇_110117114000,117.103462,40.323261
26,镇罗营镇_110117114000,117.103114,40.323624
27,镇罗营镇_110117114000,117.102765,40.323986
28,镇罗营镇_110117114000,117.102381,40.324327
29,镇罗营镇_110117114000,117.10199,40.324663
30,镇罗营镇_110117114000,117.102489,40.313046
31,镇罗营镇_110117114000,117.1029,40.312724
32,镇罗营镇_110117114000,117.102719,40.301546
33,镇罗营镇_110117114000,117.102597,40.301986
34,镇罗营镇_110117114000,117.102546,40.302429
35,镇罗营镇_110117114000,117.102776,40.302839
36,镇罗营镇_110117114000,117.102843,40.302899
37,镇罗营镇_110117114000,117.102782,40.303345
38,镇罗营镇_110117114000,117.102847,40.303793
39,镇罗营镇_110117114000,117.102924,40.304238
40,镇罗营镇_110117114000,117.103069,40.304674
41,镇罗营镇_110117114000,117.103226,40.305106
42,镇罗营镇_110117114000,117.104891,40.310081
43,镇罗营镇_110117114000,117.104645,40.31049
44,镇罗营镇_110117114000,117.104399,40.310899
45,镇罗营镇_110117114000,117.104129,40.311298
46,镇罗营镇_110117114000,117.103818,40.31168
47,镇罗营镇_110117114000,117.103485,40.31205
48,镇罗营镇_110117114000,117.103161,40.312425
49,镇罗营镇_110117114000,117.104361,40.306398
50,镇罗营镇_110117114000,117.103775,40.306436
51,镇罗营镇_110117114000,117.103234,40.30661
52,镇罗营镇_110117114000,117.103305,40.310304
53,镇罗营镇_110117114000,117.103124,40.31073
