ID,Area,Longitude,Latitude
0,长哨营满族乡_110116211000,116.603716,40.838721
1,长哨营满族乡_110116211000,116.603188,40.838923
2,长哨营满族乡_110116211000,116.602653,40.8391
3,长哨营满族乡_110116211000,116.602238,40.839422
4,长哨营满族乡_110116211000,116.602054,40.83984
5,长哨营满族乡_110116211000,116.601874,40.840269
6,长哨营满族乡_110116211000,116.603716,40.838721
7,长哨营满族乡_110116211000,116.606083,40.836656
8,长哨营满族乡_110116211000,116.606582,40.836413
9,长哨营满族乡_110116211000,116.607003,40.836097
10,长哨营满族乡_110116211000,116.607417,40.835775
11,长哨营满族乡_110116211000,116.609932,40.833323
12,长哨营满族乡_110116211000,116.609654,40.83372
13,长哨营满族乡_110116211000,116.609248,40.834042
14,长哨营满族乡_110116211000,116.608783,40.834319
15,长哨营满族乡_110116211000,116.608284,40.834561
16,长哨营满族乡_110116211000,116.610256,40.833134
17,长哨营满族乡_110116211000,116.610256,40.833134
18,长哨营满族乡_110116211000,116.610463,40.832713
19,长哨营满族乡_110116211000,116.610667,40.83229
20,长哨营满族乡_110116211000,116.610764,40.831852
21,长哨营满族乡_110116211000,116.610823,40.831409
22,长哨营满族乡_110116211000,116.611074,40.831001
23,长哨营满族乡_110116211000,116.611435,40.830651
24,长哨营满族乡_110116211000,116.611779,40.830292
25,长哨营满族乡_110116211000,116.61202,40.829881
26,长哨营满族乡_110116211000,116.612261,40.829469
27,长哨营满族乡_110116211000,116.612612,40.829108
28,长哨营满族乡_110116211000,116.613003,40.82877
29,长哨营满族乡_110116211000,116.613424,40.828455
30,长哨营满族乡_110116211000,116.614797,40.82761
31,长哨营满族乡_110116211000,116.61538,40.827553
32,长哨营满族乡_110116211000,116.618437,40.826496
33,长哨营满族乡_110116211000,116.618914,40.826229
34,长哨营满族乡_110116211000,116.619432,40.826017
35,长哨营满族乡_110116211000,116.619948,40.825799
36,长哨营满族乡_110116211000,116.625907,40.824852
37,长哨营满族乡_110116211000,116.625339,40.824956
38,长哨营满族乡_110116211000,116.624768,40.825074
39,长哨营满族乡_110116211000,116.624206,40.825214
40,长哨营满族乡_110116211000,116.623658,40.825385
41,长哨营满族乡_110116211000,116.623107,40.825548
42,长哨营满族乡_110116211000,116.622528,40.825639
43,长哨营满族乡_110116211000,116.627652,40.824294
44,长哨营满族乡_110116211000,116.627073,40.824393
